galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,dsigma_dr,a_bar_kmps2_per_kpc,a_topo_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_topo_kmps,v_model_kmps,g_scale,lambda_reorg,l0_kpc
NGC3741,0.23,13.1,2.19,0.16499355869422075,0.2576261997202955,611.141304347826,49.498067608266226,660.6393719560922,11.855905701379376,3.374100702394822,12.32668063794553,300.0,0.0,1.0
NGC3741,0.47,17.3,2.39,0.22682384662709165,0.292187759145487,457.9082978723405,68.04715398812749,525.955451860468,14.670272662769428,5.655277391465419,15.722565387824593,300.0,0.0,1.0
NGC3741,0.7,23.6,2.21,0.30164497495385634,0.17105321918157507,306.4921428571429,90.4934924861569,396.9856353432998,14.647337642042666,7.95898515768875,16.670031335912654,300.0,0.0,1.0
NGC3741,0.93,26.2,2.21,0.3055083274506162,0.010817862779897602,218.4568817204301,91.65249823518485,310.10937995561494,14.253592529604598,9.232379073604047,16.982394511926813,300.0,0.0,1.0
NGC3741,1.17,27.4,2.24,0.3066071843154233,0.0026230494322339037,159.48760683760685,91.98215529462698,251.46976213223383,13.660179354605853,10.373963644370148,17.152831302578406,300.0,0.0,1.0
NGC3741,1.4,26.9,2.23,0.3067794563001729,0.0009766577181301583,123.30285714285716,92.03383689005187,215.33669403290904,13.13864528785217,11.351095614348097,17.36293096358079,300.0,0.0,1.0
NGC3741,1.64,27.4,2.21,0.30707086540258477,0.0017730806930414955,100.13719512195124,92.12125962077543,192.25845474272666,12.815030237966667,12.29141431154575,17.756797734334636,300.0,0.0,1.0
NGC3741,1.87,31.0,2.2,0.30760185956895075,0.001395295147381459,83.74898395721925,92.28055787068523,176.0295418279045,12.514415687518136,13.136386231311159,18.14318723979283,300.0,0.0,1.0
NGC3741,2.1,32.5,2.19,0.3077127011703803,0.0002534248047592058,71.88352380952382,92.31381035111409,164.19733416063792,12.28639084515872,13.923325814522174,18.569178811604452,300.0,0.0,1.0
NGC3741,2.33,33.0,2.19,0.30771843497914003,0.00017499171097767885,66.21995708154508,92.315530493742,158.53548757528708,12.42145321610962,14.666123756822007,19.21946112799261,300.0,0.0,1.0
NGC3741,2.57,36.5,2.2,0.3077980137610879,0.00021463295274293248,62.766108949416356,92.33940412832636,155.10551307774273,12.700744072691176,15.404942992747449,19.965499458060116,300.0,0.0,1.0
NGC3741,2.8,38.9,2.21,0.3078216026458261,8.238418123060476e-05,61.09385714285714,92.34648079374783,153.44033793660498,13.079097828214298,16.08011648659592,20.727589011327243,300.0,0.0,1.0
NGC3741,3.26,41.5,2.21,0.30784093727697137,2.822843685951204e-05,55.62334355828221,92.3522811830914,147.97562474137362,13.46596079008104,17.351323772464106,21.963618478221616,300.0,0.0,1.0
NGC3741,3.73,42.7,2.2,0.3078475760239733,1.0375578887555914e-05,49.99949061662199,92.35427280719199,142.35376342381397,13.656430719628025,18.56021114025447,23.042993242433287,300.0,0.0,1.0
NGC3741,4.21,44.7,2.22,0.3078507182908721,1.344722851848168e-05,47.835914489311165,92.35521548726163,140.1911299765728,14.19116626637853,19.71840402267312,24.294128039536044,300.0,0.0,1.0
NGC3741,4.67,46.7,2.24,0.30785994613591416,1.8299661370457798e-05,44.863083511777305,92.35798384077425,137.22106735255156,14.474480992422492,20.76804720084235,25.31446986481083,300.0,0.0,1.0
NGC3741,5.14,48.5,2.27,0.30786770137572195,1.830786773610038e-05,41.930972762645915,92.36031041271659,134.2912831753625,14.680776546218526,21.788345405775154,26.27274625008515,300.0,0.0,1.0
NGC3741,5.61,50.0,2.32,0.3078771555315861,1.3550517230731529e-05,38.06354723707665,92.36314665947583,130.42669389655248,14.612888147111782,22.76306773613037,27.049838313004006,300.0,0.0,1.0
NGC3741,6.07,50.2,2.4,0.30788043325416037,6.931585237013316e-06,34.45471169686985,92.36412997624811,126.81884167311796,14.46167694287215,23.678054585540302,27.745096304677446,300.0,0.0,1.0
NGC3741,6.54,50.1,2.57,0.3078835979857322,1.1974640649281554e-05,30.88785932721713,92.36507939571966,123.25293872293679,14.21290258884511,24.57778711047857,28.39144623382202,300.0,0.0,1.0
NGC3741,7.0,51.6,3.24,0.3078914659617222,1.7104295630326653e-05,27.870742857142858,92.36743978851665,120.2381826456595,13.967648334633859,25.427781627967796,29.01150252089017,300.0,0.0,1.0
