galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
UGC02953,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02953_normalized.csv,constant,200.0,computed_from_baryonic_velocity,1584.2618982369381,1.8247216208956523,115,ok,
UGC06787,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06787_normalized.csv,constant,200.0,computed_from_baryonic_velocity,1186.500287875477,2.0646950923431575,71,ok,
UGC05253,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC05253_normalized.csv,constant,200.0,computed_from_baryonic_velocity,723.7234385187704,1.2458804665481593,73,ok,
UGC06786,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06786_normalized.csv,constant,200.0,computed_from_baryonic_velocity,695.5169953336772,1.547882402597457,45,ok,
UGC03580,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC03580_normalized.csv,constant,200.0,computed_from_baryonic_velocity,645.007607115104,3.1226136037839285,47,ok,
UGC08699,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC08699_normalized.csv,constant,200.0,computed_from_baryonic_velocity,565.4682004917996,1.5078656628566731,41,ok,
NGC2976,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2976_normalized.csv,constant,200.0,computed_from_baryonic_velocity,530.9387497342863,17.00064842992718,27,ok,
UGC09133,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC09133_normalized.csv,constant,200.0,computed_from_baryonic_velocity,499.6602316369974,0.9160249297916624,68,ok,
UGC03205,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC03205_normalized.csv,constant,200.0,computed_from_baryonic_velocity,419.1773999724162,1.5072097964682911,48,ok,
NGC6789,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC6789_normalized.csv,constant,200.0,computed_from_baryonic_velocity,414.7926166851689,16.822229865912735,4,ok,
UGC02916,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02916_normalized.csv,constant,200.0,computed_from_baryonic_velocity,368.2520125136011,1.182786538621749,43,ok,
NGC2403,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2403_normalized.csv,constant,200.0,computed_from_baryonic_velocity,359.46695189150535,3.235473228984657,73,ok,
UGCA281,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGCA281_normalized.csv,constant,200.0,computed_from_baryonic_velocity,343.13483719958555,21.166029031374364,7,ok,
UGC07232,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07232_normalized.csv,constant,200.0,computed_from_baryonic_velocity,328.9032907106704,11.189762096988954,4,ok,
F571-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F571-8_normalized.csv,constant,200.0,computed_from_baryonic_velocity,319.87629582113385,7.922476425684912,13,ok,
NGC2998,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2998_normalized.csv,constant,200.0,computed_from_baryonic_velocity,306.63700898102763,1.6417855160387123,13,ok,
UGC11914,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC11914_normalized.csv,constant,200.0,computed_from_baryonic_velocity,280.6343089941345,1.0,65,ok,
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5585_normalized.csv,constant,200.0,computed_from_baryonic_velocity,279.0134202623504,6.132875345686295,24,ok,
NGC2841,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2841_normalized.csv,constant,200.0,computed_from_baryonic_velocity,257.46586003200633,0.80136851992463,50,ok,
NGC0024,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0024_normalized.csv,constant,200.0,computed_from_baryonic_velocity,254.40527542196475,4.237568399050864,29,ok,
