r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.25,20.9,3.4,55.966556302130904,1201.5091999999997,474.01114250103944,10.29262519610026,2.0897740224450523,0.2896993688338922,11327.512497278352,12529.021697278353
0.83,40.0,3.29,128.37116464494287,1476.4356626506026,628.5208439143267,47.52965930498668,2.2610831396916438,0.4957510623191206,18377.96905096269,19854.40471361329
1.38,51.5,2.96,141.85846796354508,1911.7377536231888,585.2077499185928,56.54323277180893,2.2969806325721476,0.5306845778260243,12670.744081858078,14582.481835481267
1.85,67.9,3.45,0.0,2073.3475675675672,-375.1910102497549,44.975034634791626,2.2508096385016505,0.48528308368325246,-5801.813761685689,-3728.466194118122
2.68,80.2,2.93,0.0,1423.9894402985074,-548.6612643383099,106.36822837472705,2.5080194033314944,0.6922777646428286,-11856.426350139103,-10432.436909840595
3.19,83.3,3.08,0.0,1338.141473354232,-160.16995660285534,51.344077429911216,2.276321823369525,0.5108874127517125,-2071.931065714167,-733.7895923599349
3.68,91.4,2.83,0.0,1263.819483695652,-162.3939480070522,62.606299652847945,2.321048861110201,0.5527406501968697,-2214.381812429399,-950.5623287337469
4.13,102.0,5.4,0.0,1185.491162227603,-220.816455896905,90.27501477556544,2.4347976142935255,0.6437470112941902,-3610.8322882374523,-2425.341126009849
5.23,105.0,4.21,0.0,921.5539770554492,-242.528842241477,120.30508968863029,2.579195220062375,0.7331075123421504,-4072.65949075347,-3151.105513698021
6.05,109.0,2.1,0.0,719.8357851239671,-218.59315077860273,132.028714178726,2.647540907954487,0.767205862361411,-3577.7569370547926,-2857.9211519308255
6.81,108.0,2.1,0.0,576.176798825257,-142.38729769238506,128.7198999515205,2.6272713056793844,0.7575746717720894,-2211.2304290758266,-1635.0536302505695
7.56,109.0,2.1,0.0,504.83096560846565,-81.97988300959456,115.01412778497449,2.5511013090398116,0.7176821027008793,-1108.6125229481695,-603.7815573397038
8.32,110.0,2.1,0.0,452.3871754807692,-66.18829694205029,114.60712725456172,2.548999113766761,0.7164926292491952,-828.1509680493828,-375.76379256861355
9.09,111.0,2.33,0.0,403.5628712871287,-77.36587222678432,130.06116437451533,2.635384828987455,0.7614767734574223,-990.1498272745016,-586.5869559873729
9.86,112.0,4.74,0.0,333.2437322515214,-91.32355718910043,144.07523832795115,2.7298813720468287,0.8025523264097134,-1171.3119393547354,-838.068207103214
