r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.87,47.8,8.2,157.48424061114088,27649.459080459776,657.6851631655355,1.489599556201867,2.0202747248949655,0.18377757319080495,857.7662538709326,28507.22533433071
1.74,98.9,8.2,220.29587195664053,28221.64517241379,-387.28872153961504,1.7593536685617182,2.0233213383753594,0.18873588030180327,-330.6847119904836,27890.960460423306
2.61,146.0,7.7,143.64326537057565,26975.576704980846,-3083.769026533812,39.81280373825397,2.2298020789403736,0.46319645391639797,-19070.064181485974,7905.512523494872
3.5,164.0,6.4,0.0,22794.211685714283,-6000.645348029733,100.30958594098232,2.4795422673209986,0.6742429641027302,-44623.49305360033,-21829.281367886048
4.37,174.0,5.95,0.0,16414.440892448514,-6103.503579137365,127.33562608620652,2.619037399935557,0.7535494044622548,-45568.09472405831,-29153.653831609798
5.24,175.0,6.0,0.0,12174.115458015267,-3951.419469953197,129.12972584016586,2.62973598576363,0.7587667330653776,-33818.56916678784,-21644.453708772577
6.11,184.0,6.4,0.0,9538.97101472995,-2560.8126253125974,127.71024072978125,2.6212520171944593,0.754638578063661,-24132.94594166426,-14593.97492693431
6.98,185.0,6.4,0.0,7718.301489971347,-1732.7387045633004,125.86508694736973,2.610438978081477,0.7492745807004138,-17128.996822534726,-9410.695332563379
7.85,188.0,6.65,0.0,6524.005668789809,-1407.4698864118784,128.96449941712592,2.628740810665411,0.7582861162459196,-13850.869245272854,-7326.863576483045
8.72,190.0,7.35,0.0,5269.303887614678,-1277.6217928798906,136.87543248218307,2.6789000237528215,0.7813578659847144,-12474.395099685058,-7205.09121207038
9.6,191.0,6.4,0.0,4288.16753125,-958.6002894433449,137.35763646915441,2.6821397038749457,0.7827699475029686,-9420.659652543609,-5132.492121293609
10.47,191.0,5.55,0.0,3591.753381088825,-700.8525855097547,135.74230645963513,2.67137616132697,0.7780429206696946,-6814.852897227277,-3223.099516138452
11.35,189.0,5.95,0.0,3061.6755066079295,-545.2907938012848,135.3857710770363,2.66903403027731,0.7770007766029217,-5164.878628220175,-2103.203121612246
12.19,186.0,6.85,0.0,2653.8532157506156,-435.2769974979347,135.01276081994035,2.666596320880868,0.7759109073727316,-3994.1228966417925,-1340.269680891177
13.12,183.0,6.4,0.0,2291.2352210365852,-359.9880027695668,136.04091309202153,2.673346953073124,0.7789160611211575,-3187.0388367697356,-895.8036157331503
13.94,179.0,6.85,0.0,2023.8742109038737,-295.4372644530427,135.609233392989,2.670500593883498,0.7776539033732047,-2519.947065692872,-496.07285478899826
14.86,177.0,7.25,0.0,1777.174380888291,-242.33439536388641,135.46653426483292,2.6695635343616995,0.7772368095996356,-1980.8579442640157,-203.68356337572482
15.79,177.0,8.55,27.42176522005222,1575.555579480684,-196.20158230604724,134.44035146052536,2.662880262335679,0.7742392467034322,-1527.9334637249103,47.62211575577362
16.72,178.0,12.0,38.963590930755295,1412.2394377990431,-175.60875449638803,136.32490067960578,2.6752291296425206,0.7797467346851825,-1321.4403099151175,90.79912788392562
