r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.5,24.2,2.18,110.41226895060754,1229.6083999999998,661.2012000000009,35.50036041170492,2.2118950730318825,0.44362295471468316,23152.129869642584,24381.738269642585
1.0,42.0,2.91,60.49348416703937,1560.2090000000003,195.4456,14.003732051445015,2.1113234915341548,0.31966224974170143,2099.2526266678424,3659.4616266678427
1.5,59.4,2.4,0.0,1425.0539999999999,-302.6210000000003,42.69628214039437,2.241583290557591,0.47569699638643637,-5858.313867043026,-4433.259867043026
2.0,63.9,2.01,0.0,1257.588,-368.9506957121413,74.7465528876331,2.3697846726699985,0.5942784835632569,-8763.413504953714,-7505.825504953715
2.49,66.0,2.0,0.0,1059.79281124498,-360.5518333333332,95.69191232441587,2.4586173151448687,0.660320774048424,-8879.849239457037,-7820.056428212057
3.0,67.2,2.07,0.0,897.0361666666668,-316.71358488394844,107.68353962353137,2.5143745267094593,0.6961642388418259,-7618.114991246631,-6721.078824579964
3.49,68.7,2.38,0.0,743.0792263610315,-214.45816666666678,105.06858678865872,2.501803431921671,0.6884283008303183,-4842.295808800862,-4099.216582439831
4.0,71.3,2.91,0.0,682.578,-110.37009495791335,80.34224193216812,2.392755739161673,0.6124965038167773,-1892.2347080401942,-1209.6567080401942
4.49,72.5,3.21,0.0,632.7091314031181,-86.09159502776632,77.06391840096244,2.3792468188697384,0.6018842820095731,-1303.239495961202,-670.5303645580839
5.01,74.0,3.41,0.0,595.625489021956,-70.26905899498648,75.16456019819097,2.371486587949891,0.5956571431667188,-950.4341354352283,-354.8086464132723
5.5,76.2,3.17,0.0,561.7373818181818,-69.15940245668203,82.98092850077398,2.403748033701312,0.6209226469245377,-942.16104457544,-380.42366275725817
