r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.11,9.1,8.5,27.237756882680337,0.0,6744.503636363636,-11714.264069264083,45.68956629006269,2.169894608804907,0.45993180569729286,-755571.0189640425,-748826.5153276789
0.14,17.6,7.4,29.917062021528785,0.0,6393.075714285714,-9956.933155080225,43.51557225112283,2.1538359669275873,0.4495409197766741,-550332.3220850984,-543939.2463708126
0.17,19.3,7.4,32.32653553970793,0.0,6147.087647058823,-4989.047619047637,40.671263757997835,2.141717139261243,0.4416993254043336,-359870.3440517233,-353723.2564046645
0.21,24.8,6.4,35.62593016329538,0.0,6043.842380952379,-1921.014005602242,37.56278596562382,2.1268832325803047,0.4321009151990206,-181608.7200860725,-175564.87770512013
0.24,30.0,7.2,37.98720837334589,0.0,6012.616666666666,-1909.0289115646026,34.35621795447777,2.110346952172522,0.4214009690528083,-144861.71872853936,-138849.1020618727
0.28,35.0,7.3,40.67995698129486,0.0,5910.210357142857,-2214.6419270833117,31.346506046976163,2.0935336387046624,0.41052176622066383,-122230.9708593927,-116320.76050224985
0.32,38.3,7.6,43.212758532637096,0.0,5835.445312500001,-1571.7520408163193,28.131207077528515,2.087075644625354,0.4063430641693467,-79874.91116454946,-74039.46585204946
0.35,42.7,8.8,45.056250398807045,0.0,5800.187714285715,-1239.7498855311562,26.165827991213654,2.0847002835445947,0.404806065822973,-58820.4667170115,-53020.27900272579
0.39,47.0,5.3,47.3495353725884,0.0,5748.66282051282,-1480.8278911564619,26.266043717793455,2.0760892626202456,0.39923422875427655,-59095.47182115071,-53346.80900063789
0.42,49.8,5.6,48.91362284681028,0.0,5696.529761904762,-1260.745261984383,27.972297197150134,2.061127514516343,0.38955309762822177,-52960.88769331699,-47264.357931412225
0.46,52.2,6.2,51.02733483144108,0.0,5660.410652173913,-617.8041788143803,30.424365376279404,2.0775499575052176,0.400179384268082,-31752.25381306785,-26091.84316089394
0.49,53.4,6.3,52.63182402311362,92.8537747218288,5653.283469387756,188.20631665296656,33.80934281229,2.1129166577429963,0.4230637197160564,11942.274653249251,17595.558122637005
0.53,54.6,5.9,54.83612039522854,58.912291875834185,5673.585094339621,11.952988338167145,39.005441103424516,2.1376831206097977,0.4390890780416338,874.8264793650551,6548.411573704676
0.56,55.5,6.9,56.269950239892694,0.0,5654.1201785714275,-2020.7918238993327,46.58893677828179,2.1510179048451934,0.44771746784100747,-86731.52533947237,-81077.40516090095
0.6,55.9,7.5,57.61317384071112,0.0,5532.129666666668,-2966.265589569141,54.23851328679594,2.175172916410517,0.4633471812068052,-112787.1555661334,-107255.02589946674
0.63,58.3,7.4,58.57715766405878,0.0,5446.481587301588,-2377.186363636366,60.35778799589807,2.2206516561888097,0.49277460106334736,-108251.84822493535,-102805.36663763376
0.66,59.3,6.3,59.64116866728887,0.0,5389.4984848484855,-1531.8900226757391,65.12959409917312,2.2819912409514527,0.5324649206156458,-88332.84403929715,-82943.34555444866
0.7,59.5,6.7,61.13488774832256,0.0,5339.249285714286,-1701.4952480469742,68.9711333702797,2.3113879069158583,0.5514862927102612,-93652.58854218195,-88313.33925646768
0.87,59.1,5.1,66.16646053704248,0.0,5032.184482758621,-2011.9936054421767,72.03777829471262,2.307496526540186,0.5489683407024734,-86128.05267766293,-81095.86819490431
1.05,62.6,5.5,69.76248347070222,0.0,4635.051523809524,-2051.380489380603,72.86494431245252,2.291637511235382,0.5387066249170119,-72906.34629428347,-68271.29477047395
1.22,65.6,4.8,72.54878083055566,0.0,4314.20131147541,-1523.810476190476,71.58731374154472,2.2748648690632503,0.5278537388056325,-52362.52021434092,-48048.31890286551
1.4,70.7,4.6,75.77865794536085,0.0,4101.717857142858,-851.9673503483069,71.2880231629196,2.277075046493855,0.5292838536136708,-31084.47311779881,-26982.755260655955
1.57,73.9,4.0,79.40491168687237,0.0,4016.0127388535025,-384.08824489796245,72.98715997018995,2.2487402876346207,0.5109495978812252,-15153.086505486968,-11137.073766633466
1.75,78.5,4.2,83.32317924803397,127.90665693792234,3967.2869714285707,130.44723422808866,76.5659522274619,2.2364086567347004,0.5029703072989238,5381.348965163062,9348.635936591632
1.92,82.4,4.6,88.30857829225879,203.77418269087258,4061.6692708333335,507.92565986394544,82.05941820580794,2.2997367095603582,0.5439472826567023,17565.371110069333,21627.040380902665
2.1,87.1,4.9,93.2985959165517,171.1761628005004,4145.060952380952,260.26526772603046,88.7014798353982,2.377795954112275,0.5944562056020601,9807.928910049246,13952.989862430197
2.27,89.6,5.4,97.09155473057375,0.0,4152.762114537444,-680.859280855198,97.35140026496578,2.4450497746545423,0.6379733835999979,-22185.180782923526,-18032.418668386083
2.45,94.9,5.7,97.83436257266666,0.0,3906.7602040816323,-1460.6100764319551,107.06464686070429,2.5185975258525604,0.6855631049634214,-38032.65123130161,-34125.89102721997
2.62,98.1,5.0,97.67731210470527,0.0,3641.5485877862598,-1294.5013381696758,115.29604294405317,2.584490837346104,0.7281999535768908,-35578.8538703697,-31937.30528258344
2.79,99.3,5.7,98.34580316414117,0.0,3466.6297491039427,-939.9077496153843,121.90954327382842,2.656742080166201,0.7749507577546006,-28590.7493975738,-25124.119648469856
2.97,98.6,7.2,99.18853361150168,0.0,3312.580875420875,-899.5018022309766,127.39772465518567,2.7019286947453205,0.8041891554234426,-27215.99417605182,-23903.413300630946
3.16,101.0,8.7,99.51307703010696,0.0,3133.8140822784812,-1018.7235695291233,131.6959650940018,2.719621386740603,0.8156373678909785,-28821.85167170664,-25688.03758942816
3.33,103.0,9.4,99.04366966141754,0.0,2945.840390390391,-1067.0740975152394,134.91967396016813,2.7390767476695816,0.8282261308450234,-28909.210210067045,-25963.369819676656
3.51,107.0,9.1,98.4316356665884,0.0,2760.338148148148,-974.3014259601241,136.98578389458473,2.763770886519023,0.8442046912770149,-26179.81068897959,-23419.47254083144
3.68,114.0,7.4,97.90706001101248,0.0,2604.8348913043474,-935.718159182862,138.43181032047823,2.7846821267689132,0.8577354937916497,-24537.399730041325,-21932.564838736977
3.85,112.0,8.1,96.966214734824,0.0,2442.1939740259745,-913.9752654778591,139.70832936060262,2.795246221028658,0.864571084195014,-23284.072199515875,-20841.8782254899
4.03,114.0,7.6,95.96000468945383,0.0,2284.9435483870966,-872.7688373531247,140.7515154956478,2.8002631814195045,0.8678173526832087,-21691.21012124696,-19406.266572859866
4.2,116.0,7.2,94.73248914707139,0.0,2136.7248809523808,-843.3906340087952,141.49055152847725,2.807340538296092,0.8723968188974713,-20416.44257395057,-18279.71769299819
4.38,114.0,7.8,93.35488685655402,0.0,1989.7568264840186,-709.996165345551,141.99454646600603,2.8153053320972505,0.8775505090041033,-17310.160466460147,-15320.403639976128
4.73,114.0,11.4,91.25140711243854,0.0,1760.4269133192386,-557.0313823844765,142.4195261676152,2.819451388901343,0.8802332516420455,-13325.32736279462,-11564.90044947538
5.25,109.0,9.9,88.89309590738755,0.0,1505.139523809524,-487.6889700090953,142.8277455157931,2.8228333067314133,0.8824215514144439,-10817.852749150947,-9312.713225341422
5.78,107.0,12.6,84.94400037671878,0.0,1248.3534948096885,-419.2936659108089,143.1759217406568,2.8265087657805577,0.8847997896227138,-8693.60466061934,-7445.251165809651
6.3,105.0,12.5,81.90696795755535,0.0,1064.8811746031747,-307.7891854559661,143.4426038238533,2.8315459026983043,0.8880591135106675,-6131.586077352301,-5066.704902749127
6.82,101.0,5.2,79.56559369476231,0.0,928.2527419354838,-257.09861138106044,143.6613671603829,2.835833496712799,0.8908334390494581,-4838.101883831143,-3909.849141895659
7.35,94.5,4.6,76.43767461141135,0.0,794.9276326530613,-226.0448694901989,143.84168940477997,2.838351177083819,0.8924625263483534,-4003.5272320784165,-3208.5995994253553
7.87,90.8,6.1,73.73891306494828,0.0,690.905628970775,-200.04231477362745,143.98094139758965,2.8396103345368866,0.8932772752885736,-3348.6885816716626,-2657.7829527008876
