r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.09,231.0,52.9,81.4097967077673,601.1267956881853,73639.5,870755.0000000001,61.50067189380336,2.2457361388671595,0.5090057369140444,3941398.5499371705,4015038.0499371705
0.17,231.0,27.9,156.08005317784847,602.6014861778722,143299.90000000002,534481.3348416288,58.978672551148776,2.223429260205929,0.4945718742508953,1992750.4008457658,2136050.300845766
0.26,231.0,16.4,206.8099248101986,586.7749622407042,164501.3269230769,65582.4740484427,56.5301091928689,2.202747690287178,0.48118968195052697,1159748.1204329995,1324249.4473560764
0.34,231.0,11.9,229.156350555685,0.0,154448.92058823528,-158894.37040934453,54.99636859887354,2.183372202808762,0.4686526018174343,-906082.1238664723,-751633.203278237
0.43,232.0,8.04,243.14685295105093,0.0,137489.28395348834,-177139.19377162625,53.948957575220504,2.1654721889778448,0.4570702399268407,-705353.5722181447,-567864.2882646563
0.51,232.0,6.53,251.81537165153364,0.0,124335.25764705882,-145767.1732558139,53.71534383726822,2.1676146467739814,0.4584565361478703,-588117.4095054906,-463782.15185843175
0.6,232.0,4.75,260.04868524951246,0.0,112708.86449999998,-118823.0207445296,54.208948776769624,2.1952364871942582,0.4763294917139318,-500149.0168507339,-387440.15235073393
0.69,232.0,4.0,266.5211222398705,0.0,102947.1139130435,-99869.26100076377,55.34619960908056,2.2106581830348286,0.48630823608135965,-440144.534407866,-337197.4204948225
0.77,233.0,5.69,271.50126961029116,0.0,95731.09012987014,-84683.63519300566,57.07866795699376,2.215745060021286,0.4895997447196555,-402792.750858288,-307061.6607284179
0.86,233.0,4.83,275.95972622830305,0.0,88550.89593023254,-73639.49838231939,58.76553145080556,2.218671371306037,0.4914932402568475,-367759.10356099595,-279208.2076307634
0.95,234.0,10.8,279.91459661832573,0.0,82475.98042105265,-60366.391822613026,59.56890027773678,2.2192910554670813,0.4918942123610526,-332132.76712823636,-249656.7867071837
1.03,235.0,10.3,283.96701850743153,0.0,78288.60932038832,-50826.71265410168,60.002028911639265,2.2190538505346016,0.4917407268165069,-303564.09297927277,-225275.48365888445
1.11,235.0,10.6,287.2655811265944,0.0,74343.70639639637,-44476.10433561753,60.46243399223964,2.2199691636100107,0.49233298821824223,-279751.668840578,-205407.9624441816
