r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.41,15.0,4.1,15.376687371586245,431.5280487804878,396.51695419393207,54.00719570067916,2.159661483525285,0.45644098901685665,0.33639233440600236,24371.209302861025,145.1610110329267,0.33638835631462755,576.6890598134145
0.82,23.4,1.3,25.669404882913906,594.0999999999999,94.07833221161597,57.82676520913674,2.1732908644669613,0.46552724297797415,0.35270179827927156,6144.953426777157,209.45895980849303,0.35256515705856434,803.558959808493
1.24,29.2,1.5,19.879191194149335,509.61306451612904,-230.9666121356334,62.72978838031227,2.1916846841551334,0.47778978943675554,0.3747024174843368,-8080.254549671582,-190.91770763423838,0.3746326790415239,318.6953568818907
1.64,36.2,1.1,19.92413039060332,404.7073780487805,-166.07317837036808,68.2789088773115,2.21318419900632,0.49212279933754655,0.40201414400266133,-5574.4145939465425,-162.65190742575442,0.40190003011546166,242.0554706230261
2.06,44.0,1.1,20.870419133718872,373.4330582524272,-96.33160518047313,74.33922009943262,2.2373160956941898,0.5082107304627932,0.4341528332231071,-3208.5475552747666,-161.989177273253,0.433783709539058,211.4438809791742
2.47,52.1,1.2,20.669558699002877,324.7521457489878,-110.00080808334295,80.92901216890978,2.264413519835026,0.5262756798900172,0.4677247942490827,-3252.023747480847,-151.78426849735806,0.4673849595274957,172.96787725162974
2.89,52.9,1.7,20.17828309983181,282.13238754325255,-94.58867505354503,86.95391769484338,2.289701412913752,0.5431342752758347,0.5011162598385205,-2633.9133429808967,-141.24549866541244,0.500635534599014,140.8868888778401
3.3,54.8,2.2,19.557876661466242,246.24354545454545,-77.292077373436,92.28356257430414,2.3126841375146103,0.5584560916764069,0.529992274884009,-2050.627051039629,-130.33126075602243,0.5292778761589124,115.91228469852302
3.71,55.0,2.5,19.04944127152762,218.75288409703504,-67.91348190644308,96.88286592607355,2.333137787301412,0.5720918582009412,0.5537999715613855,-1702.2904625844453,-120.94123645353643,0.5528669345446845,97.8116476434986
4.12,52.0,2.7,18.351154047746846,190.5544902912621,-68.77657025798271,100.68312558656051,2.3506722100632644,0.5837814733755096,0.5719165129069659,-1611.6199178348454,-108.81544784365641,0.5710463588516452,81.7390424476057
