r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
1.45,216.0,10.0,207.2663847990955,40022.6275862069,-14855.529780564266,44.88308891387743,2.129706744173016,0.43647116278201076,0.31236139555674847,-15713.442095913315,-10395.48671194019,0.2597402354342875,29627.14087426671
2.88,215.0,7.0,198.93082576479443,18779.22,-9447.883455885609,45.5305613826011,2.1317557670962866,0.43783717806419103,0.31530010444778667,-8025.407825345355,-5038.430611297568,0.2682981833802239,13740.789388702433
4.33,215.0,5.0,201.18310390172462,12812.72323325635,-2930.7334446963373,46.30812069234598,2.1342189278065553,0.4394792852043702,0.32002276172862726,-5428.970160798626,-3465.2310171981235,0.27045234288709724,9347.492216058228
5.78,214.0,4.0,208.10919088097782,10280.093010380622,-1549.2317257958407,47.8267972618726,2.139137080396588,0.44275805359772524,0.3272178701006919,-4181.759221132156,-2787.1111195267717,0.2711173057201336,7492.981890853851
7.22,215.0,4.0,208.6056004608641,8335.443545706372,-1003.0394161332513,50.1700538207281,2.1469242470219276,0.4479494980146184,0.3376484353005543,-3394.431289696326,-2308.2556587759464,0.2769205557111523,6027.1878869304255
8.66,221.0,3.0,223.60269935539154,7391.339491916859,-337.1372374935486,53.23919670625254,2.1573761623434495,0.4549174415622997,0.3514053232622828,-1813.5219617726198,-1617.8790809448483,0.21888848194757593,5773.46041097201
11.55,233.0,3.0,262.418518189932,6875.639307359306,-194.45066121485394,57.349405719602046,2.1718619230245304,0.4645746153496869,0.3685626647474775,-920.9035612373752,-913.4333602597669,0.13285068041339487,5962.205947099539
14.48,237.0,3.0,272.3495802224827,6259.636643646409,-303.36776399360923,62.5320644456907,2.190818032396241,0.477212021597494,0.38884295797353596,-1173.6049767774005,-1137.1025381655706,0.18165631695567197,5122.534105480838
17.28,242.0,3.0,264.70714704941605,5137.342019675925,-326.20180538718967,68.22882434997234,2.2123555360613367,0.4915703573742245,0.41190392921639474,-1135.7962579038458,-1082.3724769073385,0.21068725281709333,4054.9695427685865
20.2,241.0,3.0,267.94672684526273,4393.762316831684,-253.82044318288294,73.9645984324545,2.234741499743487,0.5064943331623247,0.4369362756717442,-858.9763785710371,-839.5321966787209,0.1910736485363875,3554.230120152963
23.12,240.0,3.0,256.8818595961619,3655.030631487889,-261.0902834568068,79.70258510546651,2.2579566094289665,0.5219710729526443,0.46279670768970405,-828.2896000058782,-800.8658482014596,0.21911330682212185,2854.164783286429
26.04,234.0,3.0,237.2176112777977,2868.9950614439326,-242.45634288109187,85.54952488014743,2.2820353971203358,0.5380235980802238,0.48832361568338817,-741.0362721394663,-708.0044661926141,0.24677786159599854,2160.9905952513186
28.84,226.0,3.0,223.74217421003408,2268.180350208044,-181.51457528634378,90.7317603625225,2.3040373364816125,0.5526915576544082,0.5124384247291904,-547.8984432847283,-532.3772808518287,0.23471558635229228,1735.803069356215
31.76,213.0,3.0,215.19150455290594,1830.7316908060457,-128.4912869978303,95.13230463408262,2.323374739860909,0.5655831599072725,0.534308068739485,-376.86235401129466,-372.6906444665199,0.20357469439032294,1458.0410463395258
34.68,207.0,3.0,206.52922375021174,1517.791234140715,-102.97272424738699,98.86798947881329,2.3403767765254995,0.5769178510169997,0.553292628098818,-289.6001669234816,-287.85120349293453,0.18965138091333036,1229.9400306477805
37.48,208.0,4.0,195.36442198936444,1241.7277081109926,-83.40734637577411,101.65704245168288,2.3536409810787835,0.5857606540525223,0.5689029328122335,-224.21186367519886,-223.39106512170585,0.17990342299886725,1018.3366429892867
40.4,209.0,4.0,189.24194045305987,1040.7012128712872,-60.53567990111894,103.51430515942762,2.362872822720123,0.5919152151467486,0.5807579139233559,-154.3755900408654,-154.252895385162,0.1482201552927755,886.4483174861252
43.32,207.0,4.0,183.39064311905977,888.1993374884578,-46.38741839467813,104.74783254456658,2.3691846068163396,0.596123071210893,0.5893123583806438,-111.85370185745366,-111.83442558581814,0.12591140396709813,776.3649119026396
46.24,213.0,6.0,176.98634208156017,769.7986894463668,-40.54816713770238,105.57392386726785,2.3734940872598194,0.5989960581732129,0.5949648700344097,-92.38209792239695,-92.37296964941534,0.11999626774611588,677.4257197969514
