r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.63,29.5,2.53,27.028233636293677,1679.2553968253974,-196.39279415470037,17.97628851585071,2.0506868759073216,0.383791250604881,0.3105221514133911,-5179.2529032042585,-519.6912484157515,0.30947719411723706,1159.564148409646
1.26,50.8,3.76,36.57460030437494,1555.5279365079361,-113.45738129010496,22.993881601059485,2.0656934128798854,0.39379560858659024,0.3240853262681484,-2014.7708070489082,-493.86016871048906,0.31748717404534343,1061.6677677974471
1.88,68.2,2.58,62.15148473603735,1537.4336702127662,151.04515676974663,29.426920955306777,2.0856261103276728,0.40708407355178183,0.3425363972581222,2254.216242982221,517.2509334541933,0.3364378857285015,2054.6846036669594
2.51,84.3,2.28,75.65493681981975,1744.3343824701194,56.18791367004269,37.246286122466884,2.1109403176642907,0.42396021177619375,0.36582531241767924,828.1401948628106,536.0120180123187,0.30728742344302246,2280.346400482438
3.13,95.3,2.01,55.410542825865456,1607.6685623003195,-282.71807964135166,46.16743042832116,2.141073767552481,0.44404917836832075,0.39391263198547816,-3573.3126421739585,-626.7330171702653,0.3898396920031262,980.9355451300543
3.77,106.0,3.58,55.09241947396276,1388.1096021220162,-266.0852927827317,55.60775584435581,2.173647390106027,0.46576492673735126,0.42416032122212177,-3417.3458971005157,-583.0234791790266,0.42001256837914897,805.0861229429896
4.39,112.0,4.25,55.50363344127857,1272.4010933940776,-203.73419962590003,64.73458390976676,2.2058874593696705,0.48725830624644695,0.45504415593668157,-2760.9740810128114,-570.6577391380829,0.44848887831106526,701.7433542559947
5.02,115.0,3.18,54.348410301000726,1133.4418525896413,-273.69322625039155,73.56227384039485,2.237864696555055,0.5085764643700367,0.4848980427427238,-3466.91878011782,-545.045497560573,0.48087645282841424,588.3963550290682
5.65,116.0,2.32,50.70904270729637,927.5476283185841,-296.99024798591483,81.45788383719363,2.2672682387467082,0.5281788258311388,0.5122596168783158,-3617.367771707676,-472.4313429574501,0.50933378355336,455.116285361134
6.28,116.0,2.01,47.211151882460065,759.2341401273884,-233.6691635244325,87.74658545064878,2.291440298511851,0.5442935323412339,0.535955181071542,-2927.448504288783,-404.3148945750456,0.5325299182505248,354.9192455523428
6.9,116.0,2.28,44.34509853870837,635.4611739130435,-198.4580666667202,92.38840154421152,2.30989078912991,0.55659385941994,0.5553116267920312,-2452.085070401924,-350.4629471872819,0.5515096147089534,284.9982267257616
7.54,114.0,3.05,40.81113572304256,509.176976127321,-170.51376041962678,95.61477136873573,2.3234151192727457,0.5656100795151637,0.5700022291069565,-2035.9680892294243,-288.28190994633945,0.5661723201605523,220.89506618098153
8.16,112.0,3.69,38.23102125356117,420.6138357843138,-117.42736019650992,97.45481538034713,2.331557939526751,0.5710386263511674,0.5802806276516688,-1362.0936782982235,-241.4948423909013,0.5741485939010748,179.11899339341247
8.79,109.0,5.1,36.891235656456516,362.3927758816837,-70.44332367527254,98.19308025326434,2.3348815172291837,0.5732543448194558,0.5869318423511686,-778.5926125019184,-207.56191487369637,0.5727540080475073,154.83086100798732
9.41,107.0,6.39,37.01202829026267,332.5596811902231,-48.117894663646034,98.41216401600121,2.335764922266261,0.5738432815108405,0.5908144340141421,-500.72678556949097,-186.98154748573805,0.5622495992795506,145.57813370448505
