r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
5.03,214.0,6.0,167.6295591392909,6359.308648111331,-262.4762006328472,-261.01185791420056,-143.34142161747232,31.19230821137719,2.088963097221365,0.4093087314809099,0.3216471666648757,-817.1197912042685,-772.893320629616,0.1215373185038219,5586.415327481715
7.55,220.0,6.0,194.251915029451,5697.868622516557,-245.93706133417484,-277.6444391263671,-144.29095392222445,35.24423922001446,2.1015047953659822,0.41766986357732144,0.3366701789952664,-712.6917226357682,-700.0134579325755,0.12285531736661966,4997.855164583981
10.07,235.0,4.0,213.19711323121703,5119.78585898709,-271.6936263382862,-288.6151594001123,-145.00427245525026,39.974109185251756,2.1164195521373403,0.4276130347582269,0.35636904593393,-590.0402884637901,-606.0808847940039,0.11838012399094994,4513.704974193086
12.58,235.0,4.0,218.6509633582538,4331.249682034977,-345.6391066936799,-280.8121815886911,-144.59639367806528,45.32238804114586,2.133602967508017,0.43906864500534465,0.3804698026011008,-526.4626419153138,-530.91233883208,0.1225771723653295,3800.337343202897
15.1,230.0,2.0,209.24736447762228,3381.2211523178808,-317.3298020015732,-266.16432277669685,-142.77950143153328,51.06322919532032,2.152277911193082,0.4515186074620547,0.4086533425952511,-483.8603467369832,-481.58807014364857,0.14243021927551597,2899.633082174232
17.61,231.0,2.0,201.13266990117404,2735.080777967064,-223.4613115757411,-242.0395735859838,-138.18051829481556,57.06922200318581,2.1719844026856503,0.4646562684571002,0.437366155892446,-443.65927531900354,-437.8433616368741,0.16008425241550456,2297.23741633019
20.13,232.0,2.0,193.8350102983536,2257.210755091903,-172.69776727420373,-197.32113852417086,-128.75489121811142,62.590440543168455,2.1905362632017096,0.4770241754678064,0.46525939915233094,-397.2146888144793,-390.7422395746228,0.17310844310535528,1866.4685155172804
22.65,225.0,7.0,185.93323518446346,1864.6840309050774,-151.069880384721,-150.10385710794907,-115.13379138682274,67.57585121005555,2.2077432428106927,0.4884954952071284,0.49116982876972387,-342.6160327792191,-338.3631502798677,0.1814587054277681,1526.3208806252096
25.16,224.0,7.0,174.76492081264396,1497.3292567567564,-122.04693138461529,-118.54296258626454,-99.59988985398414,71.74385007733989,2.222515574864508,0.4983437165763387,0.5141539482095113,-285.06283612396504,-283.38738288355637,0.18926190188614817,1213.9418738732002
27.68,229.0,2.0,168.07457423856147,1250.7879660404624,-81.24339492046437,-95.194863875205,-84.14315204222032,74.89816693735362,2.2339762357922446,0.5059841571948297,0.5333432648509351,-229.66697475280142,-230.2293495132328,0.1840674484917334,1020.5586165272296
30.2,218.0,2.0,165.35235842647157,1087.862546357616,-65.65683896731824,-74.0158782248514,-69.30069472073014,77.2693586410005,2.242803039708839,0.5118686931392261,0.5485773904117297,-180.37379092073598,-182.51809479482404,0.16777679809451254,905.3444515627921
32.71,214.0,2.0,159.53922335749485,920.5340660348515,-55.95727371890609,-57.295939190497904,-56.410731207461836,78.93553636544094,2.2491449851613305,0.5160966567742203,0.559806554606032,-139.54190323093871,-142.40004617815248,0.15469285867011162,778.1340198566991
35.23,213.0,2.0,156.5781372943766,806.3974595515186,-45.17495213295307,-47.26290286809956,-46.38068841060599,79.89587468878761,2.2528581972799815,0.5185721315199876,0.5673927067222265,-107.98420820480203,-110.49302927684784,0.13702055725510223,695.9044302746709
37.75,211.0,2.0,151.35708501318751,692.8523072847681,-38.4472362128478,-39.46174295769436,-38.810652949196225,80.38041347647203,2.254740818499336,0.5198272123328905,0.5719138255896463,-84.18469657820916,-85.99224943869466,0.12411339117234277,606.8600578460735
40.26,217.0,2.0,148.24543687749699,613.0078614008942,-31.078213308472577,-32.512906911720904,-32.38550732719835,80.4707969804559,2.2550688008535267,0.5200458672356845,0.5739344612112285,-65.86967955721369,-67.13827483855076,0.10952269793917659,545.8695865623434
42.78,216.0,3.0,143.90571800951395,536.528894343151,-26.651039415292278,-26.799937094375583,-26.753837805358206,80.33292924536543,2.2544875788431207,0.5196583858954138,0.5741160489119139,-51.37784326990878,-52.45092155601352,0.09775973318310638,484.0779727871375
45.29,215.0,3.0,140.80663467580993,478.953133141974,-21.21309348903878,-21.855634320400732,-22.176654028790267,79.9808397843502,2.2530305901214116,0.518687060080941,0.5734165848026902,-40.108991996202604,-41.18522921777441,0.08599010293052213,437.7679039241996
47.81,217.0,5.0,137.6878710132779,429.82703409328593,-16.610103046226456,-18.385136127300925,-18.58228610251411,79.56602193172648,2.251319052720843,0.5175460351472285,0.5722704220455883,-32.06959407665067,-33.300160548649814,0.07747339722103806,396.52687354463615
50.33,214.0,5.0,135.73560010441093,395.23821378899265,-13.725722342973546,-15.800072712837176,-16.594547799751084,79.22168911295977,2.2499102904966124,0.516606860331075,0.5710464373279993,-27.722004758121265,-29.17119340940674,0.07380661178926509,366.0670203795859
