r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.25,3.17,3.22,8.141023765687935,170.7364,794.4256,702.6212,147.39758531897047,79.58612754687249,2.2518015717095117,0.5178677144730077,0.40199615466960087,38914.52438582454,94.36867181398301,0.5527156002702588,265.10507181398305
0.5,10.5,3.32,15.825437607521962,369.3428,592.3815999999998,652.176082489885,147.29859073084043,77.72358459607021,2.2446621452071125,0.5131080968047417,0.39485461827748214,28146.466389441095,131.54615093914097,0.35616275974282147,500.88895093914095
0.75,17.5,4.47,22.171721392964262,466.9271999999999,537.4476,503.4569891565515,145.18324949828283,75.52027263418385,2.236324293863691,0.5075495292424606,0.3858757325970418,15482.810447904363,188.51977270297212,0.40374553614133457,655.4469727029721
1.0,22.7,4.96,29.461495047373777,638.0666,542.2000124494244,281.1007775259598,123.12095109484684,72.54853213158842,2.2253745120119213,0.5002496746746141,0.375533463378896,8800.8295608194,229.91309042642956,0.3603277313472129,867.9796904264296
1.26,29.7,5.29,32.47521304989598,743.4492063492064,50.83013333333338,91.32672071979466,51.91032511003661,69.20626913105666,2.2132118492777226,0.4921412328518151,0.36397150271019885,3373.1254066309157,93.56624018740797,0.12585424718774785,837.0154465366144
1.5,34.5,4.7,30.26270036092392,663.4816666666667,-317.35545815295836,-71.68652293265909,-37.51457853094899,66.5371070005442,2.2032836216312424,0.4855224144208282,0.3525380753429491,-908.958146733992,-52.92764457662352,0.07977258036764169,610.5540220900432
1.76,36.0,3.51,26.13654591910103,584.7714772727272,-356.4886840308262,-192.33932524811735,-106.7226067947604,64.54725424989118,2.19591649649187,0.4806109976612465,0.3423729397876179,-3064.0613556942935,-196.63566330609268,0.3362606949011387,388.13581396663454
2.01,37.3,3.45,25.052473286310704,481.6724378109454,-277.6186182622687,-189.30514670765305,-115.72038296332408,62.775005693704614,2.189325820208102,0.476217213472068,0.3347449944636353,-3292.8631914359867,-169.4204886759646,0.3517338244345663,312.2519491349808
2.26,35.6,3.57,25.761666187220566,445.96216814159294,-61.06399912786685,-110.36876858184625,-87.00535161903086,61.05468663335823,2.1828809311488735,0.4719206207659156,0.330566136529493,-2352.256955014601,-152.3057766629277,0.3415217422984872,293.6563914786652
2.51,34.9,3.88,27.444206009894128,451.14043824701196,66.00102603565472,-42.18597659684839,-45.19091992452425,60.66243101395027,2.181396371071805,0.4709309140478701,0.3308589105643484,-1270.9536889559545,-151.06695477549442,0.3348557166865655,300.07348347151753
2.76,32.7,3.27,29.819818463045035,478.9626811594203,77.32643247607575,-0.9841135988134191,-16.633004695219526,61.428116863615294,2.1841564495929995,0.47277096639533295,0.3362213243720983,-609.5215001646854,-156.78095175037623,0.3273343788932743,322.18172940904407
3.01,32.8,3.21,31.33902140686877,489.80365448504983,-15.574724105836891,-7.851273631475751,-17.442634639478612,63.19066642381428,2.190631138502602,0.47708742566840134,0.3467737769836196,-535.1897414600564,-163.51320174744882,0.33383418079915467,326.290452737601
3.27,33.2,3.21,31.438014243473372,471.0195718654435,-71.60930327209383,-44.83268959394681,-42.46014268412769,66.93946280547426,2.204865643778854,0.48657709585256936,0.3627666105897827,-884.9863132050465,-168.77225089515764,0.358312607322761,302.24732097028584
