r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
0.11,9.1,8.5,19.903155991515906,27.237756882680337,6744.503636363636,-11714.264069264083,-10017.754596384024,-1567.130900243063,108.94747299718254,2.309962035169165,0.563984814067666,0.47562531932193897,0.7993493401307123,-1438533.7955816113,-3143.270741612586,3601.2328947510505,0.4660492322467351,0.0
0.14,17.6,7.4,21.691520474343623,29.917062021528785,6393.075714285714,-9956.933155080225,-8059.104583651655,-1566.6982579880332,108.24428703844448,2.29566902611381,0.558267610445524,0.47146735305129017,0.8013399971265742,-1249323.239842381,-3032.203853650939,3360.8718606347747,0.4742950012112787,0.4326422550298048
0.17,19.3,7.4,23.49707019952186,32.32653553970793,6147.087647058823,-4989.047619047637,-6098.057552111758,-1561.801003791299,107.16200267090178,2.2825320323363694,0.5530128129345478,0.46764568213421664,0.8041063761305908,-986922.7024062121,-2899.368188463186,3247.7194585956368,0.47166534055365833,4.8972541967341385
0.21,24.8,6.4,26.02861758818082,35.62593016329538,6043.842380952379,-1921.014005602242,-4198.133123675604,-1521.5950444815999,105.57093074848532,2.2728526369375066,0.5491410547750027,0.4648298580181838,0.8072992262806625,-788943.064507866,-2817.704602134494,3226.137778817885,0.4662108017599368,40.20595930969921
0.24,30.0,7.2,27.928902035251816,37.98720837334589,6012.616666666666,-1909.0289115646026,-2521.096900822823,-1423.3467419651836,104.10235716137639,2.258164880941337,0.5432659523765349,0.4605570562738436,0.8095819639784169,-621895.8417357727,-2762.5184629387786,3250.0982037278873,0.4594536149716478,98.24830251641629
0.28,35.0,7.3,29.88752708439253,40.67995698129486,5910.210357142857,-2214.6419270833117,-1771.2373541195263,-1319.0552702207683,102.60489253935921,2.2506847206916856,0.5402738882766743,0.4583810096557631,0.8111031419738288,-495498.5061111428,-2719.980802784654,3190.229554358203,0.4602172576645073,104.29147174441528
0.32,38.3,7.6,31.743321158100734,43.212758532637096,5835.445312500001,-1571.7520408163193,-1683.2001312303703,-1232.8352600510316,100.12492419043639,2.254767649997992,0.5419070599991969,0.4595687709085068,0.8124723558101761,-394996.7955869066,-2686.575193292733,3148.870119207268,0.4603890619174974,86.22001016973672
0.35,42.7,8.8,33.14398308672798,45.056250398807045,5800.187714285715,-1239.7498855311562,-1553.5434013143265,-1152.3393242601373,95.94389576003826,2.2567954666229615,0.5427181866491847,0.46015868119940706,0.8135376090682332,-310634.2814115053,-2661.548814704828,3138.6388995808866,0.45887287546737515,80.49593579089424
0.39,47.0,5.3,34.85911743341949,47.3495353725884,5748.66282051282,-1480.8278911564619,-1234.17585166054,-1005.6309005037506,89.30440299001887,2.2501421079919157,0.5400568431967664,0.45822315868855734,0.8146871388133912,-235635.74439040167,-2632.872901956587,3115.789918556233,0.4579974481303318,146.70842375638676
0.42,49.8,5.6,36.075209227427834,48.91362284681028,5696.529761904762,-1260.745261984383,-882.184180166683,-809.600694110209,83.39124594870492,2.2415070679225457,0.5366028271690183,0.4557111470320133,0.815468722149522,-170222.15599444293,-2597.908998088823,3098.6207638159394,0.4560511586303297,196.03020639354156
0.46,52.2,6.2,37.64537591351719,51.02733483144108,5660.410652173913,-617.8041788143803,-631.8436053928183,-696.179632334591,79.05513771487355,2.232348724144625,0.5329394896578501,0.4530469015693456,0.8152059834019556,-132825.28066814714,-2579.5968963695213,3080.813755804392,0.45572610449717327,113.421061775618
0.49,53.4,6.3,38.743761772876816,52.63182402311362,5653.283469387756,188.20631665296656,-739.8363919413925,-741.9817089629721,77.98219845433974,2.2435054864673942,0.5374021945869577,0.4562925051541511,0.8133693129284556,-126070.5274360842,-2589.856783033815,3063.4266863539406,0.4581154999670119,45.80207662838109
0.53,54.6,5.9,40.2220848264997,54.83612039522854,5673.585094339621,11.952988338167145,-1080.940457458344,-919.8626447398195,80.94218142222726,2.2665817352950133,0.5466326941180054,0.46300559572218575,0.8100975353156112,-144959.65972897716,-2621.1018720940783,3052.4832222455425,0.4619833541774282,177.88093577684742
0.56,55.5,6.9,41.090484083568114,56.269950239892694,5654.1201785714275,-2020.7918238993327,-1432.8168944227414,-1114.4163014936464,88.59776371336979,2.291016792677301,0.5564067170709205,0.47011397605157856,0.805061133112383,-172573.36145864244,-2639.0703888893486,3015.049789682079,0.46675173246072343,194.55365675382689
0.6,55.9,7.5,41.647701749737074,57.61317384071112,5532.129666666668,-2966.265589569141,-1776.8361622884822,-1259.0226093189567,95.75309695942221,2.311211821967527,0.5644847287870108,0.4759888936632807,0.7999333434152308,-197638.51177433348,-2641.2445649415804,2890.885101725087,0.4774372120841913,144.6063078253103
0.63,58.3,7.4,42.119013173733144,58.57715766405878,5446.481587301588,-2377.186363636366,-2119.525809565511,-1338.0038409573622,101.55207498882443,2.336939129174257,0.5747756516697029,0.48347320121432935,0.7955117740334678,-210748.61292578623,-2630.5906813823717,2815.890905919216,0.4829889974319504,78.98123163840546
0.66,59.3,6.3,42.71741104896438,59.64116866728887,5389.4984848484855,-1531.8900226757391,-2117.7661658740794,-1354.5062364061969,105.07445554545617,2.3499156753094437,0.5799662701237775,0.48724819645365636,0.791937482565039,-210552.54838836542,-2624.684535263358,2764.8139495851274,0.48699977236140657,16.502395448834704
