r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
1.03,39.15,4.06,16.366356908805205,21.96538413049041,468.4253398058252,-71.03765022206345,-79.60153327802512,-29.024626937162832,109.15574451687908,2.2873861700147784,0.5549544680059114,0.46905779491339017,0.8196735196066637,-2557.7006914657495,-208.36938012971277,260.0559596761125,0.44482943688761034,0.0
2.07,49.15,1.65,21.093998502820504,28.578148995342577,394.54618357487925,-94.2099161089641,-74.88663382055422,-28.895182818217314,108.97953905083814,2.3182190323853087,0.5672876129541236,0.47802735487572623,0.8160070867948579,-1863.6183305749873,-179.59122085169386,214.9549627231854,0.4551842808982843,0.12944411894551777
3.09,55.05,0.6,20.343097191926873,29.116155309381078,274.3529126213592,-90.68479961497113,-65.95861721671875,-28.531830297539408,107.61562684464198,2.3440803055529638,0.5776321222211855,0.4855506343426804,0.8132197179371307,-1068.668965485954,-140.42359114557183,133.9293214757874,0.5118356127655683,0.3633525206779069
4.13,59.35,0.41,20.46526822609187,29.290742564844614,207.73549636803872,-47.46315293470899,-54.97686897406175,-27.29157221215135,104.58011229631803,2.3658251654974296,0.5863300661989719,0.49187641178107044,0.8122495156840583,-715.3899945122832,-106.32455119470086,101.41094517333786,0.5118265922465598,1.2402580853880565
5.16,63.85,0.46,21.50664449739671,30.144611458766555,176.10418604651161,-26.397567202886083,-38.03053817065691,-23.921814604609906,99.52765318945548,2.36523546786864,0.5860941871474561,0.49170486337996805,0.8138002558529609,-480.1094801494869,-86.4654733454643,89.63871270104731,0.49099044881663145,3.3697576075414446
6.2,68.2,0.86,22.03934805304939,30.808662742806607,153.09253225806452,-16.128909008778443,-21.88633745725686,-19.14043028615437,93.23706983533,2.3528272572003126,0.581130902880125,0.4880952020946364,0.8164631315689783,-308.2431666806305,-74.74852216073357,78.34401009733095,0.48825714133940723,4.781384318455537
7.23,71.7,1.07,23.52245642186737,32.12236603987944,142.71734439834023,-9.478262091939925,-14.753990958297038,-14.556331092290026,87.15931244423699,2.351521694178887,0.5806086776715548,0.48771540194294893,0.8191089477914759,-195.0300637131689,-66.18816651194334,76.5291778863969,0.463771006887605,4.584099193864343
8.26,73.5,1.07,24.70963948049231,33.21544821314323,133.56731234866828,-9.963796047970844,-12.136328829371593,-12.09948466497432,83.1305042767462,2.3633528747647476,0.5853411499058991,0.49115719993156304,0.8192633836416121,-132.98799070295277,-59.64887611913992,73.91843622952837,0.446582888210183,2.456846427315707
9.28,73.15,1.0,25.249830979533417,33.68776780969615,122.29156250000001,-11.80142043990989,-11.785076031939262,-11.579918487778517,81.5107960154507,2.385109061762338,0.5940436247049352,0.4974862725126802,0.8164146385786215,-106.33498006410582,-53.58962667079683,68.70193582920318,0.43821197125351,0.5195661771958022
10.34,72.5,0.74,25.125240000445135,33.57484921782971,109.02035783365571,-13.309256558258854,-12.823866944833258,-12.029334771553252,82.10644932093798,2.4164875821811673,0.606595032872467,0.5066145693617942,0.8120917642324856,-96.99424661270876,-47.968357342362836,61.05200049129287,0.43999449548270064,0.44941628377473464
11.4,73.0,1.07,24.18254737726673,32.748522104058374,94.07593859649123,-14.372645021616789,-13.76555106652107,-12.731669727398636,83.9439842776653,2.442448730116799,0.6169794920467198,0.5141669033067052,0.8078672456325104,-93.53499013159218,-42.778079153179824,51.2978594433114,0.4547186006473214,0.7023349558453837
12.37,74.7,2.09,22.379594862343566,31.42720000254556,79.84388843977364,-14.672216656409905,-14.339710309821072,-13.142259545770607,85.9673923902256,2.45925975761901,0.623703903047604,0.5190573840346211,0.8045301822228508,-92.13947458343783,-39.35510378313381,40.48878465663982,0.49290064089024704,0.41058981837197095
