galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,projection_mean,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,sigma_flip_severity,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F563-V1_normalized.csv,local_structural_coupling_v6,94.11141958428597,100.45567728441635,2.216334237998222,2.3126278820405384,0.48653369519928874,0.20386226629866921,0.308297683964927,0.1363321656920623,0.21891015535844835,7.156700740577511,baryonic_velocity_components,0.6347092055863509,0.0292213866354349,6,ok,
UGC07577,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07577_normalized.csv,local_structural_coupling_v6,94.65425888273857,106.28341984973122,2.2279628804383065,2.406784328246669,0.4911851521753225,0.213328676745453,0.3187038482962595,0.18438433310124613,0.2735835038450357,47.02284000209289,baryonic_velocity_components,2.6290258025754945,0.22338260088498563,9,ok,
PGC51017,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\PGC51017_normalized.csv,local_structural_coupling_v6,100.46268742474676,109.40772036187273,2.3188307222233755,2.459553279870081,0.5275322888893502,0.24282297054275828,0.3746440814513547,0.24842470909558634,0.29287954048613857,35.76240270916307,baryonic_velocity_components,4.115496398231132,0.11307739152096279,6,ok,
UGC04305,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC04305_normalized.csv,local_structural_coupling_v6,100.92337283707046,109.74614919044117,2.3222475950973323,2.465375198419041,0.528899038038933,0.23284483234688594,0.38178069931417313,0.22178962001703437,0.31901704957129196,89.4249036409856,baryonic_velocity_components,4.20325986129611,0.1733664891656272,22,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F561-1_normalized.csv,local_structural_coupling_v6,87.45542425792314,88.93608281266165,2.1187041248553586,2.139700669195973,0.4474816499421434,0.19999999999999998,0.255934157902848,0.15182281092949484,0.18899963431798214,2.983417155858916,baryonic_velocity_components,4.633985306322775,0.10199168028690457,6,ok,
UGC06628,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06628_normalized.csv,local_structural_coupling_v6,90.00985708905525,93.41418560972488,2.15549886583995,2.205122153744587,0.4621995463359801,0.19999999999999998,0.2764169879939812,0.18642975708047577,0.20589573956963855,10.317965934512813,baryonic_velocity_components,4.9671562685378925,0.09873990593383161,7,ok,
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\CamB_normalized.csv,local_structural_coupling_v6,98.11977668286337,108.87197372305059,2.279323403689815,2.450380454568983,0.5117293614759261,0.22299759203320363,0.354593609566255,0.20164118973460296,0.3093801208551006,104.2082801709764,baryonic_velocity_components,5.064472925554681,0.6359264418891357,9,ok,
F574-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F574-2_normalized.csv,local_structural_coupling_v6,84.56680829191752,85.53511304155515,2.0777901211051115,2.0913078847223545,0.43111604844204454,0.2,0.235777269211131,0.1116821221590194,0.1849322536011265,2.9531182988523756,baryonic_velocity_components,5.5834127933203765,0.2454462838583217,5,ok,
NGC4068,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4068_normalized.csv,local_structural_coupling_v6,90.16631010546719,95.23403648431945,2.158113320665319,2.2323256227080734,0.4632453282661276,0.19999999999999998,0.2804670872937989,0.1614111496468351,0.2687955229777375,89.70575259754845,baryonic_velocity_components,7.501179773631234,0.308247551324244,6,ok,
UGCA281,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGCA281_normalized.csv,local_structural_coupling_v6,99.46037619955068,106.4527561053052,2.298330124845159,2.409600746216647,0.5193320499380638,0.22220731745754804,0.36375057061872723,0.1964785264412039,0.3566763100466581,383.5472544916239,baryonic_velocity_components,7.742936211727687,0.273348284705811,7,ok,
