r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
3.44,285.0,14.4,256.12956572855944,289.9312589218348,24436.085726744186,-8265.154641769614,-7463.5235303920035,-1027.0900157148044,101.62756874577956,2.331150926358292,0.5324603705433169,0.23026800914479456,0.4530678666428233,-29919.21593783188,-13555.435336579447,-5365.63385456382,19070.451872180365,0.21957828739696134,96.31337270453025
3.77,297.0,13.6,249.26727037055187,286.07929722368937,21708.584694960213,-7066.391954049017,-6716.961758540679,-1027.0821371685809,106.70859099499567,2.4138650323018247,0.5655460129207299,0.2632876914384614,0.5172171685786793,-28641.84191366127,-14814.052377462021,-5227.371942178832,16481.21275278138,0.24079745481484105,96.31337270453025
4.13,303.0,8.47,245.78703406106274,284.22515177232293,19560.275278450365,-5455.761772602161,-5819.0410705867525,-1027.0212783372958,106.61007517283181,2.412221641526834,0.5648886566107336,0.262610328706406,0.5149951955266991,-26656.452936150596,-13727.94519190113,-4932.850069604356,14627.425208846009,0.2521871496889871,96.31337270453025
4.47,306.0,5.93,244.92522213114358,282.78312361242496,17889.551454138702,-4532.345782512988,-4787.613842900141,-1026.688988975996,106.17636702580822,2.405006306767276,0.5620025227069103,0.25964658325824025,0.508350801082961,-24498.69700492493,-12453.932247942326,-4469.335696646525,13420.215757492177,0.24982938829428034,96.31337270453025
4.8,307.0,5.93,244.39875127288272,281.6261658653187,16523.603604166663,-3775.5512019999837,-3916.297699704799,-1025.6198031709234,105.76059018168495,2.3981189159212497,0.5592475663684999,0.25683308385223974,0.502043300303816,-22663.3828659566,-11377.999530073808,-4079.6974325532456,12443.906171613417,0.24690119239634215,96.31337270453025
5.13,304.0,8.47,244.33749725042128,281.0518416591501,15397.687660818712,-3108.0185033365524,-3313.8602465828812,-1022.6167709738022,105.37322243711951,2.3917278821120074,0.556691152844803,0.25423592437119547,0.49617552292385575,-21031.122595030574,-10435.128251265014,-3760.1023659649813,11637.58529485373,0.24419915826277078,96.31337270453025
5.48,308.0,8.47,244.7838336571833,281.0117926351134,14410.151021897806,-2709.8112380723087,-2775.583913791962,-1015.1875348029083,105.2088046901288,2.3890226493324747,0.5556090597329899,0.25314052128407816,0.49320238081687934,-19484.885982764452,-9609.992156644867,-3476.0040839584676,10934.146937939338,0.24121912939540316,96.31337270453025
5.83,313.0,12.7,245.09097338225385,280.55263213878425,13500.819794168096,-2443.574506992572,-2294.6556121674757,-1000.9729154275806,104.6005973760791,2.379053591129731,0.5516214364518923,0.24912406550805985,0.4845549194980452,-17943.777376624726,-8694.74560222124,-3197.2888793377924,10303.530914830302,0.23682183216154878,96.31337270453025
6.16,314.0,9.32,246.00106501050323,280.233626461922,12748.520357142857,-1840.9641185583932,-1940.7443037039418,-978.0339807479954,103.1784630388222,2.355971785932298,0.5423887143729194,0.2399466460418163,0.4659579871868507,-16356.515172791225,-7621.448887304983,-2924.409320405548,9824.11103673731,0.22939205793925985,96.31337270453025
6.51,315.0,6.78,249.38312203980482,282.3840592172299,12248.964193548389,-1370.9096938775522,-1659.8260270585913,-943.1252809740449,101.66455497672415,2.3317387351927046,0.5326954940770818,0.23049494000231815,0.44684290898786094,-14802.718856750642,-6614.48995487992,-2695.670559397822,9553.293634150567,0.22007334798297884,96.31337270453025
