r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
1.74,54.7,8.3,47.827156355932786,52.62,1591.3013793103448,-316.2491440886698,-253.40298631641645,-83.28599190491622,91.41195597396533,2.175615683064488,0.47024627322579526,0.2,0.3372705951199913,-3672.1434216141824,-1238.5059971737764,-276.6824798305509,1314.618899479794,0.17387182806971643,11.899118825047594
3.5,85.4,7.0,53.11800326766169,60.17856844425597,1034.702885714286,-223.1238564659873,-201.27651856746527,-81.78309057430134,96.95335508904279,2.2583840895706797,0.503353635828272,0.2030295191187134,0.3803900442643619,-2692.111283995702,-1024.0523304837131,-228.55366538762348,806.1492203266624,0.22088820717828206,11.899118825047594
5.24,93.8,6.2,57.890000552028795,65.16385270991886,810.3678816793893,-95.14364285008544,-147.1529831846511,-76.33428336382354,98.5325379837382,2.2826425238377896,0.5130570095351159,0.2119217940796044,0.3837302756856903,-1538.4270008359392,-590.3410171530846,-170.81594200116515,639.5519396782241,0.21078814432670975,11.899118825047594
6.98,98.7,5.2,62.60684991532613,70.07959046683992,703.6030085959885,-55.61680534391397,-92.45137126325592,-65.32365041577137,97.70890594203087,2.2699506506809657,0.5079802602723863,0.20724591879916268,0.36223741812762406,-985.9207843341532,-357.1373993955657,-142.05320110026196,561.5498074957266,0.2018939648705076,11.899118825047594
8.72,103.0,5.2,65.56852061352713,73.33950231628245,616.8213990825686,-45.63146717459904,-56.982018552387565,-53.424531590723774,99.23036609047304,2.293465309814472,0.5173861239257889,0.21594978883837287,0.36387734441231806,-655.4943617294058,-238.51954762334358,-123.79033309099395,493.0310659915747,0.2006907238871964,11.899118825047594
10.47,107.0,5.2,67.2195535035584,75.49394677720856,544.3491881566379,-42.74108448169385,-48.03708525530592,-45.09915768503818,103.10111801436538,2.3547254078728255,0.5418901631491302,0.23945593260287792,0.3883482187454522,-475.042395608294,-184.4818681630534,-112.7858287280084,431.5633594286295,0.2071938953559236,11.899118825047594
12.19,109.0,5.2,66.69575631762078,75.57205105063643,468.509835931091,-45.777092911645475,-46.528026496449314,-42.28232720433338,107.55652402804793,2.4280788529888375,0.5712315411955351,0.2691823195370728,0.4198336647268342,-381.3862698515883,-160.11879534828964,-103.59401060053713,364.91582533055384,0.22111384362861886,11.899118825047594
13.94,108.0,7.4,64.06728165405083,73.30693896214737,385.5026757532281,-50.41897636467724,-45.01374779328306,-41.291395590588344,110.3896505341613,2.4765048862149355,0.5906019544859742,0.28975047319405534,0.43359649386938504,-328.51434384178845,-142.44266767560106,-91.05385376330861,294.4488219899195,0.23619512779100638,11.899118825047594
15.68,108.0,7.4,58.101314127091065,67.72847628582826,292.5476084183674,-48.07151154963096,-44.077545628697834,-40.27383812557255,111.15062695470407,2.4897692205830224,0.595907688233209,0.2955152040721265,0.4236488886838827,-291.4968411610493,-123.4923128127408,-77.25661968782457,215.29098873054284,0.26408221248331376,11.899118825047594
16.61,108.0,7.4,56.13707681030504,65.35510997619085,257.15173991571345,-38.06007365876772,-42.534141778122276,-39.63655446999171,109.80100435765078,2.4663208844936633,0.5865283537974654,0.2853626744286181,0.39950774430314645,-269.84213930364956,-107.80402439113645,-67.42438333497367,189.72735658073978,0.26219687783202766,11.899118825047594
