r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
0.85,10.3,0.2,10.616523532994455,9.59,108.19776470588235,61.7502971424505,27.891884466916736,0.8921896506232022,94.75476157060874,2.1207096327083064,0.49588124739997413,0.30398931499509185,0.3126296348559427,99.4579030830191,31.093487924382,24.402908148970656,132.600672854853,0.22553985484867003,0.6304489497289631
1.14,12.9,2.7,13.187977429515701,11.99,126.10535087719299,47.580521519208176,34.59788158867577,0.9443700308620128,100.8387110435408,2.157603041325593,0.5312989196725694,0.32929025293358155,0.3591753495595685,83.53426022831071,30.00344711770346,26.45846375562773,152.5638146328207,0.20981237964514318,0.6304489497289631
1.42,16.4,1.8,15.248335672217,13.861908238045729,135.318661971831,30.128603672925003,38.13281028468481,0.9609785338129639,103.98638039227603,2.1778116594509527,0.5506991930729146,0.34340956894137165,0.4488561808947996,70.37230941259618,31.58704604368508,28.422000544088323,163.74066251591933,0.2100375523067505,0.6304489497289631
1.71,18.6,2.1,16.495778499404032,15.652683476005002,143.27865497076024,33.52998560879517,26.215310784688704,0.8732121743140022,96.98567617611208,2.137042698943685,0.5115609909859374,0.31511445916632924,0.3222868151852058,49.5257737842436,15.961503902506827,15.850414211345242,159.1290691821055,0.11062648664222642,0.6304489497289631
1.99,19.8,2.0,17.99046785748708,17.53046491111973,154.43075376884426,17.67464348004518,16.28961229291243,0.684031973788958,89.18473005414559,2.0996292149766873,0.4756440463776198,0.2898086286782711,0.26785150242212313,30.65588287978523,8.211224287427116,8.210921473002864,162.6416752418471,0.05316895289368,0.6304489497289631
2.28,26.1,0.6,18.88108070240835,18.698804774637335,153.353201754386,2.1627996424699965,7.604090466578629,0.3718381860334906,82.14426513743086,2.093080167514992,0.4693569608143925,0.2854439751517256,0.2242608857973387,13.396655500770349,3.0043458293245484,3.0043458293232197,156.35754758370922,0.019591021216101758,0.6304489497289631
2.55,27.7,2.7,19.873051952773498,19.922020479860972,155.64192156862745,-2.0479709396732,-2.6311665899497885,-0.1343229311827183,73.59104603335086,2.090490725262339,0.4668710962518455,0.28372356826200196,0.19713838946313483,-3.876456867451781,-0.7641984636727529,-0.7641984636727529,154.8777231049547,0.004909978339522708,0.6304489497289631
2.84,29.7,2.6,20.43818707467715,20.791007671587252,152.206338028169,-13.299005458744,-12.487891785670257,-0.5658465979509262,92.31651509112822,2.1406531889878626,0.5150270614283481,0.3175899754537589,0.2784714509651657,-18.393304929225437,-5.122010311686141,-5.122010246654863,147.08432778151413,0.03365175401152092,0.6304489497289631
3.13,33.0,3.4,20.67591785964352,21.517811226981244,147.92849840255593,-17.646299673846915,-20.530107882023152,-0.7835300821546106,107.85234212905442,2.230822313635578,0.6015894210901547,0.38132333387247347,0.420398955020021,-26.998579708928172,-11.350174696658147,-11.349080083474204,136.57941831908173,0.07672003843250606,0.6304489497289631
3.41,34.8,1.2,21.050407850274304,22.01645975174029,142.14794721407625,-31.608982498557154,-23.22775479837185,-0.8315079822752953,113.14443948626683,2.266866799914794,0.636192127918202,0.4078275013758991,0.44229193879113476,-27.58959078677272,-12.202653599535736,-12.200829717627558,129.9471174964487,0.0858319093303167,0.6304489497289631
