galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,projection_mean,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,sigma_flip_severity,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
NGC5055,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5055_normalized.csv,local_structural_coupling_v6,97.60558795612042,127.48371754468111,2.4219274878980035,2.4869658042628737,0.785050388382083,0.5301548091635658,0.3640081739803157,0.0002993906568180044,0.0009774649352999733,0.13910644280489504,baryonic_velocity_components,58.220103924292644,0.2874202156770496,28,ok,
F568-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F568-1_normalized.csv,local_structural_coupling_v6,86.7861453077086,104.37962816194474,2.1386965432164264,2.2149614595398703,0.5131486814877696,0.3168325545804748,0.18739498746635222,0.01784165755812379,0.1369469506257228,1.2532016451845462,baryonic_velocity_components,59.5094874926755,0.5029868207497125,12,ok,
NGC5033,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5033_normalized.csv,local_structural_coupling_v6,98.5385769972322,138.74267939768617,2.460909496390409,2.4861106715493624,0.8224731165347933,0.5609513884705252,0.35748645964862896,0.00038297785724774095,0.001440916020698371,0.2554559763291758,baryonic_velocity_components,61.13684547686648,0.27035452034587615,22,ok,
NGC2903,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2903_normalized.csv,local_structural_coupling_v6,97.83856946926976,129.93726158583067,2.411585875059151,2.485367418563027,0.7751224400567848,0.5224789401425729,0.34460366485154315,0.0003557958497702401,0.001323626561968186,0.2931999196293712,baryonic_velocity_components,61.41051288652973,0.3985449665165274,34,ok,
UGC09133,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC09133_normalized.csv,local_structural_coupling_v6,98.44185843615068,131.3053770241459,2.4321634361449243,2.4830063650870655,0.7948768986991268,0.5380034547357178,0.4186687020919721,0.00020705951294225074,0.0006100749556158042,1.0224325068632703,baryonic_velocity_components,61.89127802899984,0.21736616498772748,68,ok,
UGC02953,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02953_normalized.csv,local_structural_coupling_v6,96.40268719966785,125.84018392781852,2.3890668231086574,2.4874037590913787,0.753504150184311,0.5035068482348376,0.3925259094785636,0.0002532015787872363,0.004626362728391948,1.9521966298792894,baryonic_velocity_components,62.19692204349618,0.20329186321170048,115,ok,
ESO563-G021,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\ESO563-G021_normalized.csv,local_structural_coupling_v6,104.98330746466677,125.12003452476878,2.322599061678704,2.4881715163235434,0.6896950992115555,0.45577591121116323,0.26409411910036784,0.0005173047444821031,0.003003692135885804,0.8390157944833323,baryonic_velocity_components,62.94342469841275,0.3144993050078529,30,ok,
NGC4217,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4217_normalized.csv,local_structural_coupling_v6,104.30937415910424,134.1565174397948,2.4108247779483363,2.484166392599316,0.7743917868304026,0.5231633792338162,0.2992777602367969,0.00037139017579037296,0.0010983099563010718,0.37850296642793246,baryonic_velocity_components,64.35898762466115,0.39302400375397384,19,ok,
UGC06787,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06787_normalized.csv,local_structural_coupling_v6,97.94457998366774,134.30776241657063,2.4364742119699767,2.4857630441101324,0.7990152434911769,0.5414492469849315,0.43673605412315447,0.00026977334645684895,0.000982696349224772,1.6614937562871215,baryonic_velocity_components,64.93800327110532,0.2184978769286983,71,ok,
UGC00128,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC00128_normalized.csv,local_structural_coupling_v6,106.33940329199771,118.55759974930717,2.3781480786211167,2.4907747630196275,0.7430221554762716,0.495971553496363,0.26884170459807555,0.006692269220196087,0.026951655008434192,0.16878281025837083,baryonic_velocity_components,65.24824250097754,0.5139599460634697,22,ok,
UGC02885,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02885_normalized.csv,local_structural_coupling_v6,98.72927453130637,134.74280003761567,2.4332579566073336,2.4759850623398125,0.79592763834304,0.5385211846513522,0.30976567119545056,0.0002857485651582106,0.0011869595117793012,0.3357019796601659,baryonic_velocity_components,69.35860495579242,0.2054964033504405,19,ok,
NGC0891,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0891_normalized.csv,local_structural_coupling_v6,102.22738542347861,133.08235206160717,2.44091227527514,2.4841826640351066,0.8032757842641342,0.545160086347853,0.30918015097781265,0.00021051861826561623,0.0006545033740221979,0.18297202095472975,baryonic_velocity_components,69.79636046253619,0.23588206871961617,18,ok,
NGC7331,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC7331_normalized.csv,local_structural_coupling_v6,98.17463555023043,133.62926473838644,2.443696864974741,2.4872745554173505,0.8059489903757514,0.5476444120062837,0.3284137828053726,0.00016305740547285682,0.000523137811053635,0.13718218770733576,baryonic_velocity_components,70.67834746612907,0.22996234081688746,36,ok,
UGC03546,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC03546_normalized.csv,local_structural_coupling_v6,99.80361425205523,137.68685154627073,2.4507013691344364,2.4894943697041407,0.8126733143690585,0.5523292062711381,0.43320682502380536,0.00024344792999700322,0.0008598217192359671,0.14626340648093694,baryonic_velocity_components,72.06352555601258,0.2789920941185393,30,ok,
NGC6674,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC6674_normalized.csv,local_structural_coupling_v6,99.61586528932703,133.60591984177088,2.4473259470439355,2.4866448033831943,0.809432909162178,0.5502474945993876,0.31574737049121016,0.00041502852596432744,0.0013596491210446538,0.31543601289867595,baryonic_velocity_components,77.71421634474214,0.28810880363546854,15,ok,
UGC12506,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC12506_normalized.csv,local_structural_coupling_v6,103.0631258816075,127.43134881488302,2.347721551448665,2.466701472675809,0.7138126893907177,0.4737852415108842,0.2542248590376229,0.0013266735385040818,0.018894212903010767,1.0280702651000864,baryonic_velocity_components,78.8626608228445,0.3497049851569784,31,ok,
NGC5985,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5985_normalized.csv,local_structural_coupling_v6,109.23904900350261,126.94617718465369,2.328621650095129,2.454986028364204,0.6954767840913234,0.45856843542987413,0.27881459461402003,0.0005663553263679162,0.0020949310427696767,0.24201989186857764,baryonic_velocity_components,80.1910970744636,0.2791569504074517,33,ok,
NGC2841,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2841_normalized.csv,local_structural_coupling_v6,104.02911492597237,132.98713889097195,2.428847027072089,2.485198299022324,0.7916931459892054,0.5348053802245292,0.4035873267686606,0.0003658378199297138,0.0009288311190070003,0.08890073920767427,baryonic_velocity_components,87.89409421333089,0.2527041843513684,50,ok,
UGC06973,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06973_normalized.csv,local_structural_coupling_v6,105.9460087807077,131.7272710201195,2.464348306798809,2.4875269053553315,0.8257743745268563,0.5636576831080222,0.2912991852165525,0.0002644586470634651,0.0007337114723730566,0.2625886292832445,baryonic_velocity_components,88.33762407392992,0.3812579435356135,9,ok,
UGC02487,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02487_normalized.csv,local_structural_coupling_v6,99.77312771422842,127.88098348337279,2.4365716991541513,2.4867170631427244,0.7991088311879853,0.5418329568644866,0.3183344246522747,0.00019944660489682673,0.0006161278324095828,0.18756594440909813,baryonic_velocity_components,109.53510112245904,0.293585690118122,17,ok,
