galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
NGC3972,0.87,39.6,4.9,0.0,48.19,0.0,1802.4827586206898,48.19,-8.589999999999996,8.589999999999996,-0.21691919191919182
NGC3972,1.74,73.0,5.2,5.93,61.19,0.0,3062.6436781609195,61.6216831248044,11.378316875195601,11.378316875195601,0.15586735445473426
NGC3972,2.61,89.4,6.6,7.31,74.23,0.0,3062.2068965517246,74.98417978526652,14.415820214733486,14.415820214733486,0.16125078539970342
NGC3972,3.5,102.0,5.3,13.47,83.56,0.0,2972.5714285714284,85.28622621721092,16.713773782789076,16.713773782789076,0.16386052728224584
NGC3972,4.37,110.0,4.4,16.7,88.18,0.0,2768.878718535469,90.66066887242835,19.339331127571654,19.339331127571654,0.1758121011597423
NGC3972,5.24,116.0,4.4,20.91,99.34,0.0,2567.93893129771,102.5572504388397,13.442749561160298,13.442749561160298,0.11588577207896808
NGC3972,6.11,123.0,4.4,24.68,106.44,0.0,2476.1047463175123,110.3960835717149,12.603916428285103,12.603916428285103,0.1024708652706106
NGC3972,6.98,130.0,3.9,28.34,102.6,0.0,2421.203438395415,107.80763986772831,22.192360132271688,22.192360132271688,0.17071046255593605
NGC3972,7.85,134.0,6.1,30.6,97.1,0.0,2287.3885350318474,103.5216428003259,30.478357199674093,30.478357199674093,0.2274504268632395
NGC3972,8.72,134.0,4.9,30.07,92.41,0.0,2059.1743119266052,99.30618142993544,34.693818570064565,34.693818570064565,0.258909093806452
