galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
UGC07323,0.58,23.9,3.87,1.43,21.96,0.0,984.8448275862069,22.00651040033381,1.8934895996661893,1.8934895996661893,0.07922550626218366
UGC07323,1.17,34.7,3.87,3.24,34.79,0.0,1029.1367521367524,34.96704511905858,-0.2670451190585794,0.2670451190585794,-0.007695824756731395
UGC07323,1.75,42.8,3.87,-0.61,43.08,0.0,1046.765714285714,43.10581218766536,-0.3058121876653601,0.3058121876653601,-0.007145144571620564
UGC07323,2.33,51.3,3.87,-3.66,48.67,0.0,1129.4806866952788,48.86280853994856,2.4371914600514373,2.4371914600514373,0.04750860545909235
UGC07323,2.91,57.7,3.87,9.71,52.39,0.0,1144.085910652921,53.42469050304606,4.275309496953945,4.275309496953945,0.0740954852158396
UGC07323,3.5,67.3,3.87,13.91,55.75,0.0,1294.0828571428572,57.76959169257937,9.530408307420629,9.530408307420629,0.14161082180416984
UGC07323,4.07,75.4,3.87,18.68,58.69,0.0,1396.8452088452088,62.146203090335,13.253796909665006,13.253796909665006,0.1757797998629311
UGC07323,4.65,79.5,3.87,24.75,61.08,0.0,1359.1935483870966,66.70862499879418,12.791375001205822,12.791375001205822,0.16089779875730592
UGC07323,5.23,82.8,3.87,27.13,61.82,0.0,1310.8680688336517,68.57576353321107,14.224236466788923,14.224236466788923,0.17179029549261984
UGC07323,5.82,85.6,3.87,28.72,60.87,0.0,1258.996563573883,68.68183763493442,16.91816236506557,16.91816236506557,0.19764208370403705
