galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
NGC5907,5.03,214.0,6.0,0.0,178.85,0.0,9104.572564612326,178.85,35.150000000000006,35.150000000000006,0.16425233644859816
NGC5907,7.55,220.0,6.0,0.0,207.41,0.0,6410.596026490066,211.9655682745534,8.034431725446609,8.034431725446609,0.0365201442065755
NGC5907,10.07,235.0,4.0,0.0,227.06,0.0,5484.111221449851,232.79018999264022,2.2098100073597777,2.2098100073597777,0.009403446839828841
NGC5907,12.58,235.0,4.0,16.93,232.81,0.0,4389.904610492846,239.64223851383178,-4.642238513831785,4.642238513831785,-0.019754206441837383
NGC5907,15.1,230.0,2.0,24.45,224.63,0.0,3503.311258278146,232.67826980309636,-2.678269803096356,2.678269803096356,-0.011644651317810242
NGC5907,17.61,231.0,2.0,31.1,217.25,0.0,3030.15332197615,227.11449685614434,3.885503143855658,3.885503143855658,0.016820359930111075
NGC5907,20.13,232.0,2.0,42.26,208.93,0.0,2673.820168902136,222.334112892127,9.665887107873004,9.665887107873004,0.04166330649945261
NGC5907,22.65,225.0,7.0,53.67,198.38,0.0,2235.0993377483446,216.5065476325472,8.49345236745279,8.49345236745279,0.03774867718867907
NGC5907,25.16,224.0,7.0,49.79,187.6,0.0,1994.2766295707472,207.42579387336502,16.574206126634976,16.574206126634976,0.07399199163676329
NGC5907,27.68,229.0,2.0,54.3,177.97,0.0,1894.5447976878613,202.28337109459696,26.71662890540304,26.71662890540304,0.11666650177031895
NGC5907,30.2,218.0,2.0,64.08,169.55,0.0,1573.6423841059602,200.21673546643675,17.783264533563255,17.783264533563255,0.08157460795212503
NGC5907,32.71,214.0,2.0,61.58,162.23,0.0,1400.061143381229,195.30038991059504,18.699610089404956,18.699610089404956,0.08738135555796708
NGC5907,35.23,213.0,2.0,64.96,155.53,0.0,1287.7944933295487,192.97508752504882,20.02491247495118,20.02491247495118,0.0940136735913201
NGC5907,37.75,211.0,2.0,61.95,149.39,0.0,1179.364238410596,189.18186475374668,21.81813524625332,21.81813524625332,0.10340348457939962
NGC5907,40.26,217.0,2.0,63.21,143.82,0.0,1169.6224540486837,187.55860680294288,29.441393197057124,29.441393197057124,0.13567462302791303
NGC5907,42.78,216.0,3.0,60.7,138.81,0.0,1090.603085553997,185.4048007802948,30.595199219705194,30.595199219705194,0.14164444083196848
NGC5907,45.29,215.0,3.0,60.57,134.25,0.0,1020.6447339368514,184.4499541732491,30.550045826750903,30.550045826750903,0.14209323640349258
NGC5907,47.81,217.0,5.0,60.07,130.16,0.0,984.9194729136163,183.82685509050114,33.17314490949886,33.17314490949886,0.15287163552764452
NGC5907,50.33,214.0,5.0,62.33,126.52,0.0,909.9145638784025,184.45722222171878,29.54277777828122,29.54277777828122,0.13805036344991226
