galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
UGC12632,0.71,24.1,7.55,0.75,14.22,0.0,818.0422535211269,14.239764745247726,9.860235254752276,9.860235254752276,0.4091383923133724
UGC12632,1.42,33.6,5.02,2.55,19.97,0.0,795.0422535211268,20.59025917296696,13.009740827033042,13.009740827033042,0.38719466747122144
UGC12632,2.14,44.8,3.38,7.39,23.97,0.0,937.8691588785045,26.106429499809074,18.693570500190923,18.693570500190923,0.41726719866497597
UGC12632,2.85,54.4,2.9,10.7,26.52,0.0,1038.3719298245612,30.371982406811355,24.028017593188643,24.028017593188643,0.4416914998747912
UGC12632,3.55,57.4,2.89,12.26,27.06,0.0,928.1014084507042,32.40532875348494,24.99467124651506,24.99467124651506,0.4354472342598443
UGC12632,4.26,61.4,3.44,12.02,28.45,0.0,884.9671361502348,34.49966424095458,26.90033575904542,26.90033575904542,0.43811621757402963
UGC12632,4.97,63.8,3.64,14.16,29.24,0.0,819.0020120724346,36.93373947056738,26.866260529432616,26.866260529432616,0.42110126221681216
UGC12632,5.69,65.5,3.82,15.95,29.3,0.0,753.9982425307556,38.663159815339135,26.836840184660865,26.836840184660865,0.4097227509108529
UGC12632,6.4,67.6,3.54,18.56,30.76,0.0,714.0249999999999,41.75823060584157,25.841769394158426,25.841769394158426,0.3822746951798584
UGC12632,7.11,69.2,2.91,22.61,29.42,0.0,673.507735583685,43.58372166245745,25.616278337542553,25.616278337542553,0.37017743262344727
UGC12632,7.82,70.3,2.79,26.3,28.8,0.0,631.9808184143221,45.949287239247795,24.350712760752202,24.350712760752202,0.346382827322222
UGC12632,8.52,71.4,2.93,28.44,27.59,0.0,598.3521126760564,47.1628886087512,24.237111391248803,24.237111391248803,0.3394553416141289
UGC12632,9.25,73.2,3.0,29.27,27.31,0.0,579.2691891891893,48.201013309734044,24.99898669026596,24.99898669026596,0.34151621161565515
UGC12632,9.95,73.0,2.81,30.7,26.87,0.0,535.5778894472362,49.46767241515191,23.53232758484809,23.53232758484809,0.3223606518472341
UGC12632,10.66,73.1,2.79,31.41,26.73,0.0,501.2767354596622,50.42250921664156,22.677490783358436,22.677490783358436,0.31022559211160655
