galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
IC4202,0.77,35.1,3.96,2.22,20.98,133.76,1600.012987012987,135.41353846643253,-100.31353846643253,100.31353846643253,-2.8579355688442316
IC4202,1.59,77.9,3.95,3.89,40.96,176.62,3816.610062893082,181.3490504524355,-103.4490504524355,103.4490504524355,-1.3279724063213798
IC4202,2.36,115.0,6.7,4.02,58.24,176.92,5603.813559322034,186.30282982284513,-71.30282982284513,71.30282982284513,-0.620024607155175
IC4202,3.13,156.0,3.16,0.9,74.68,172.53,7775.079872204473,188.001365154618,-32.001365154617986,32.001365154617986,-0.20513695611934607
IC4202,3.95,192.0,3.14,0.0,91.45,173.49,9332.6582278481,196.11701252058683,-4.117012520586826,4.117012520586826,-0.021442773544723053
IC4202,4.73,204.0,2.9,0.0,107.35,174.08,8798.30866807611,204.51862726900941,-0.5186272690094142,0.5186272690094142,-0.0025422905343598736
IC4202,5.5,209.0,3.36,0.0,120.52,167.74,7942.0,206.662465563496,2.3375344365040007,2.3375344365040007,0.011184375294277515
IC4202,6.27,220.0,3.25,0.0,132.68,159.21,7719.298245614035,208.05305541158447,11.946944588415533,11.946944588415533,0.05430429358370697
IC4202,7.08,231.0,3.49,0.0,150.86,150.44,7536.864406779661,215.22538456394454,15.774615436055456,15.774615436055456,0.06828837851106258
IC4202,7.86,235.0,4.65,0.24,170.8,142.84,7026.081424936387,225.96809178470698,9.031908215293015,9.031908215293015,0.03843365197997028
IC4202,8.66,245.0,6.0,0.0,187.59,136.33,6931.293302540415,236.06536933486086,8.934630665139139,8.934630665139139,0.03646788026587403
IC4202,9.45,246.0,5.57,3.8,199.82,130.53,6403.809523809524,243.49864783722742,2.5013521627725765,2.5013521627725765,0.01016809822265275
IC4202,10.24,239.0,6.95,0.0,208.12,125.41,5578.22265625,247.94776375294364,-8.947763752943644,8.947763752943644,-0.037438342062525706
IC4202,11.02,240.0,7.16,3.35,212.98,120.9,5226.8602540834845,249.84996287789514,-9.849962877895138,9.849962877895138,-0.04104151199122974
IC4202,11.79,240.0,4.85,15.63,214.9,116.92,4885.496183206107,250.06615994589427,-10.06615994589427,10.06615994589427,-0.04194233310789279
IC4202,12.47,246.0,7.68,22.51,214.77,113.67,4852.927024859663,249.02667179168517,-3.0266717916851746,3.0266717916851746,-0.012303543868638921
IC4202,13.34,241.0,6.21,30.77,213.03,109.94,4353.898050974512,246.79289820817397,-5.792898208173966,5.792898208173966,-0.024036922025618117
IC4202,14.11,250.0,5.62,37.16,210.67,106.85,4429.482636428065,244.5557766722062,5.444223327793793,5.444223327793793,0.02177689331117517
IC4202,14.59,242.0,5.1,39.71,209.26,105.08,4013.9821795750513,243.21797400863508,-1.2179740086350819,1.2179740086350819,-0.005032950448905297
IC4202,14.98,244.0,7.41,41.88,208.03,103.7,3974.365821094793,242.08325291440525,1.91674708559475,1.91674708559475,0.007855520842601434
IC4202,15.75,248.0,5.08,44.73,205.55,101.13,3905.0158730158732,239.90627855054888,8.093721449451124,8.093721449451124,0.03263597358649647
IC4202,16.52,249.0,5.22,46.3,203.07,98.75,3753.087167070218,237.8493202453578,11.150679754642198,11.150679754642198,0.04478184640418553
IC4202,17.1,246.0,6.35,46.79,201.06,97.06,3538.9473684210525,236.14355052379648,9.856449476203522,9.856449476203522,0.04006686778944521
IC4202,17.88,241.0,16.2,46.99,198.19,94.92,3248.37807606264,233.6102204268312,7.389779573168795,7.389779573168795,0.030662985780783383
IC4202,18.65,247.0,14.6,47.18,195.23,92.94,3271.260053619303,231.20610111527583,15.793898884724172,15.793898884724172,0.06394291046447033
IC4202,19.62,234.0,20.9,47.77,191.47,90.61,2790.8256880733943,228.29848873269395,5.701511267306046,5.701511267306046,0.02436543276626515
IC4202,20.78,249.0,10.0,51.51,186.83,88.05,2983.686236766121,225.73806014581527,23.26193985418473,23.26193985418473,0.09342144519752904
IC4202,22.13,236.0,16.1,57.31,181.4,85.32,2516.7645729778583,223.64732228100624,12.35267771899376,12.35267771899376,0.05234185474149899
IC4202,23.0,245.0,22.1,59.87,177.88,83.69,2609.782608695652,222.14540694604688,22.854593053953124,22.854593053953124,0.09328405328144132
IC4202,23.58,243.0,4.2,61.24,175.64,82.65,2504.198473282443,221.32890294127824,21.671097058721756,21.671097058721756,0.08918146937745579
IC4202,25.03,238.0,7.76,61.05,170.07,80.22,2263.044346783859,218.3663865351988,19.633613464801186,19.633613464801186,0.08249417422185372
IC4202,25.9,247.0,6.14,60.16,166.98,78.87,2355.5598455598456,216.8219421614736,30.1780578385264,30.1780578385264,0.12217837181589636
