galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
UGC00128,1.25,34.1,18.8,1.71,29.4,0.0,930.2480000000002,29.44968760445516,4.650312395544841,4.650312395544841,0.1363727975233091
UGC00128,3.75,78.4,6.54,4.27,49.15,0.0,1639.082666666667,56.14526057882927,22.254739421170733,22.254739421170733,0.28386147220881036
UGC00128,6.25,96.9,2.44,7.23,50.52,0.0,1502.3376,70.3140489657216,26.58595103427841,26.58595103427841,0.2743648197551951
UGC00128,8.76,108.0,1.26,11.57,51.47,0.0,1331.5068493150686,84.53590035191655,23.464099648083447,23.464099648083447,0.21726018192669858
UGC00128,11.25,113.0,1.0,13.37,53.63,0.0,1135.0222222222221,97.07336574003662,15.926634259963379,15.926634259963379,0.14094366601737504
UGC00128,13.74,114.0,0.86,16.66,57.25,0.0,945.8515283842795,108.1008500623411,5.899149937658905,5.899149937658905,0.05174692927770969
UGC00128,16.22,121.0,0.68,23.15,57.75,0.0,902.6510480887794,116.57760341390724,4.422396586092759,4.422396586092759,0.036548732116469085
UGC00128,18.71,126.0,0.55,30.33,55.23,0.0,848.5301977552111,123.52122420705264,2.47877579294736,2.47877579294736,0.019672823753550474
UGC00128,21.3,128.0,0.63,35.52,52.6,0.0,769.2018779342723,129.8489910126984,-1.8489910126984057,1.8489910126984057,-0.014445242286706295
UGC00128,23.79,129.0,0.61,39.51,50.52,0.0,699.4955863808323,135.3056423051541,-6.305642305154095,6.305642305154095,-0.048880948101969725
UGC00128,26.28,129.0,0.65,42.0,47.75,0.0,633.2191780821918,139.57797913556783,-10.57797913556783,10.57797913556783,-0.08199983826021573
UGC00128,28.77,131.0,0.73,44.9,45.88,0.0,596.4893986791797,143.92741918950654,-12.927419189506537,12.927419189506537,-0.09868258923287433
UGC00128,31.25,131.0,0.83,45.1,43.92,0.0,549.152,147.1055045957289,-16.10550459572889,16.10550459572889,-0.12294278317350296
UGC00128,33.74,131.0,0.75,43.0,42.1,0.0,508.6247777119146,149.4064242349493,-18.4064242349493,18.4064242349493,-0.1405070552286206
UGC00128,36.23,127.0,1.24,42.3,40.43,0.0,445.18354954457635,151.85536448522444,-24.85536448522444,24.85536448522444,-0.19571153137972003
UGC00128,38.82,126.0,1.4,42.4,38.83,0.0,408.9644513137558,154.32003601670687,-28.320036016706865,28.320036016706865,-0.22476219060878463
UGC00128,41.31,130.0,1.62,41.7,37.43,0.0,409.1019123698862,156.41806741995984,-26.41806741995984,26.41806741995984,-0.20321590323046032
UGC00128,43.8,132.0,2.01,40.21,36.18,0.0,397.8082191780822,158.3641020889432,-26.364102088943213,26.364102088943213,-0.19972804612835768
UGC00128,46.28,134.0,2.1,38.81,35.02,0.0,387.98617113223855,160.32530193202803,-26.325301932028026,26.325301932028026,-0.19645747710468675
UGC00128,48.77,129.0,2.66,37.11,33.97,0.0,341.2138609801107,162.0875298041828,-33.08752980418279,33.08752980418279,-0.2564924791021922
UGC00128,51.26,132.0,4.67,35.72,33.04,0.0,339.9141630901288,163.81290395550712,-31.812903955507124,31.812903955507124,-0.24100684814778126
UGC00128,53.75,125.0,5.95,34.72,32.1,0.0,290.69767441860466,165.46539065872602,-40.46539065872602,40.46539065872602,-0.3237231252698082
