galaxy,source_file,beta_mode,beta,r_kpc,v_obs_kmps,v_err_kmps,a_newton,sigma_profile,a_struct,a_total,v_model_kmps,residual_kmps
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,0.1,6.29,4.62,51.18499999999999,507.7183333333333,1497237.9726521175,1497289.1576521175,386.94820811732905,-380.658208117329
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,0.3,13.9,4.62,152.72866666666664,360.21899529042395,354089.74019020854,354242.4688568752,325.995000969436,-312.095000969436
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,0.49,15.6,4.62,191.6704081632653,351.48167967298417,211531.28150475255,211722.95191291583,322.0935367829177,-306.49353678291766
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,0.69,18.4,4.62,289.80652173913046,176.22426049071314,75315.53984392351,75605.34636566264,228.4024715109432,-210.0024715109432
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,0.89,22.5,4.62,262.16011235955057,-50.22960710011985,-16643.235627608086,-16381.075515248536,9.433981132056604e-07,22.499999056601887
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,1.09,26.5,4.62,269.7146788990825,94.56037801585225,25582.953948949187,25852.66862784827,167.86723564875493,-141.36723564875493
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,1.29,35.3,4.62,299.98426356589147,212.54725438211688,48588.531812579444,48888.51607614534,251.12981849678363,-215.82981849678362
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,1.48,40.5,4.62,352.60810810810807,192.29004458074257,38314.492026896565,38667.10013500467,239.2222987093948,-198.7222987093948
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,1.68,44.2,4.89,374.97738095238105,64.75260207015539,11366.216674256111,11741.194055208493,140.44645247477868,-96.24645247477868
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,1.88,46.3,4.62,378.5091489361702,-35.35258699633714,-5545.380331684518,-5166.871182748348,1.3711309200802088e-06,46.299998628869076
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,2.08,46.4,4.62,360.8363461538462,-113.0396115272859,-16026.375301262633,-15665.538955108786,1.4422205101855957e-06,46.39999855777949
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,2.27,46.3,4.62,334.4237004405287,-123.52966737176709,-16047.722362921291,-15713.298662480762,1.5066519173319362e-06,46.29999849334808
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,2.37,46.4,6.73,325.01274261603373,-98.7284371456543,-12284.624994952097,-11959.612252336063,1.5394804318340654e-06,46.39999846051957
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,294.89539265251096,2.98,46.9,8.65,264.32651006711416,-99.48562712937638,-9844.917139462666,-9580.590629395552,1.7262676501632068e-06,46.89999827373235
