galaxy,source_file,beta_mode,beta,r_kpc,v_obs_kmps,v_err_kmps,a_newton,sigma_profile,a_struct,a_total,v_model_kmps,residual_kmps
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,1.33,175.0,13.6,44287.4830075188,-12529.740982311074,-63936503.050622664,-63892215.567615144,1.1532562594670797e-06,174.99999884674375
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,2.34,237.0,3.65,31632.44461538462,-10249.280813068712,-29725964.977414563,-29694332.532799177,1.5297058540778353e-06,236.99999847029414
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,3.33,247.0,3.81,23788.921381381377,-6256.176858383555,-12750382.426938774,-12726593.505557392,1.8248287590894659e-06,246.99999817517124
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,4.34,242.0,3.56,19120.09089861751,-3939.953742055183,-6161122.16689363,-6142002.075995013,2.083266665599966e-06,241.99999791673332
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,5.35,240.0,4.2,15830.214822429909,-2668.7991638197964,-3385482.224090014,-3369652.0092675844,2.3130067012440753e-06,239.9999976869933
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,6.34,233.0,4.59,13782.492570977916,-1866.8333353850662,-1998364.5475665152,-1984582.0549955373,2.5179356624028345e-06,232.99999748206434
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,7.34,233.0,4.63,12115.216485013627,-1585.754133312468,-1466216.8936547912,-1454101.6771697775,2.709243436828813e-06,232.99999729075657
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,8.32,247.0,6.41,10642.69938701923,-1415.4430604939662,-1154589.235638933,-1143946.5362519138,2.8844410203711914e-06,246.99999711555898
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,9.34,248.0,7.64,9284.330364025695,-1126.6765829198994,-818673.66196583,-809389.3316018044,3.056141357987225e-06,247.99999694385863
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,10.38,242.0,9.05,8321.745626204236,-876.2237979070165,-572896.4323276329,-564574.6867014287,3.2218007387174023e-06,241.99999677819926
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,11.36,252.0,12.5,7514.3582922535215,-783.1883383786046,-467892.74133685976,-460378.38304460625,3.370459909270543e-06,251.99999662954008
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,12.34,245.0,8.72,6786.696482982172,-635.0973889508222,-349287.9429451949,-342501.2464622127,3.512833614050059e-06,244.99999648716638
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,13.32,247.0,4.44,6269.56740990991,-447.01570952779576,-227759.75553228767,-221490.18812237776,3.6496575181789317e-06,246.99999635034249
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,14.3,238.0,9.29,5910.545692307692,-316.27498177436615,-150102.25919324064,-144191.71350093294,3.7815340802378076e-06,237.99999621846592
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,15.47,249.0,9.98,5589.576199095022,-297.4218235020736,-130479.0978360483,-124889.52163695327,3.933192087859427e-06,248.9999960668079
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,16.35,250.0,6.15,5300.830954128441,-311.58878662041747,-129336.91267849965,-124036.08172437121,4.043513323831146e-06,249.99999595648669
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,17.92,253.0,6.96,4826.183671874999,-275.95566156788647,-104510.45300344829,-99684.26933157329,4.233202097703345e-06,252.9999957667979
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,19.1,258.0,15.4,4541.952884816753,-252.1436229691964,-89592.78739326847,-85050.83450845172,4.370354676682432e-06,257.9999956296453
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,22.52,254.0,6.51,3666.3230062166963,-253.66606138983647,-76445.58466635626,-72779.26166013956,4.745524207081869e-06,253.9999952544758
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,26.05,256.0,7.73,2778.9737581573895,-220.1625265291304,-57358.013223789574,-54579.03946563219,5.103920062069938e-06,255.99999489607993
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,29.48,255.0,8.5,2133.9918215739485,-157.778710787852,-36322.80263206839,-34188.81081049445,5.429548784199291e-06,254.9999945704512
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,33.0,244.0,5.75,1682.4117181818183,-104.9984756809213,-21593.720776430233,-19911.309058248415,5.744562646538029e-06,243.99999425543734
