galaxy,source_file,beta_mode,beta,r_kpc,v_obs_kmps,v_err_kmps,a_newton,sigma_profile,a_struct,a_total,v_model_kmps,residual_kmps
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,1.74,59.2,3.5,1818.426724137931,-552.4576782489978,-237568.03122212688,-235749.60449798894,1.3190905958272919e-06,59.19999868090941
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,2.61,71.2,4.0,1337.788544061303,-408.1453140394088,-117007.18749014864,-115669.39894608734,1.6155494421403513e-06,71.19999838445057
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,3.5,84.5,4.4,1100.0909714285715,-204.09135603649545,-43630.96312581672,-42530.87215438815,1.8708286933869708e-06,84.4999981291713
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,4.37,93.5,4.5,978.5877574370709,-142.54191786059,-24406.156613570896,-23427.568856133825,2.0904544960366874e-06,93.4999979095455
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,5.24,97.5,3.5,852.0680343511449,-132.38643056798756,-18903.856799079906,-18051.78876472876,2.2891046284519193e-06,97.49999771089537
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,6.11,100.0,3.5,748.2353682487725,-99.41358559521386,-12174.265274429737,-11426.029906180966,2.471841418861655e-06,99.99999752815859
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,6.98,101.0,4.0,679.0883954154727,-84.26648662075294,-9033.11828763744,-8354.029892221968,2.6419689627245813e-06,100.99999735803104
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,7.85,103.0,3.5,601.6116815286624,-81.52999499254733,-7771.16252567761,-7169.550844148947,2.8017851452243797e-06,102.99999719821486
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,8.72,105.0,4.0,537.2262041284404,-60.7257227782833,-5210.680452429091,-4673.454248300651,2.9529646120466803e-06,104.9999970470354
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,9.6,110.0,4.9,495.34166666666664,-35.107799548357015,-2736.3434711946875,-2241.001804528021,3.0983866769659333e-06,109.99999690161333
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,10.47,111.0,6.0,475.7875549188156,-22.475990514771283,-1606.2398318601536,-1130.452276941338,3.2357379374726872e-06,110.99999676426206
