r_kpc,v_obs,v_model
2.43,62.2,130.72023817572318
3.65,88.2,143.60552531126174
4.86,107.0,147.91739242796282
6.08,120.0,151.30675123939898
7.29,124.0,159.67104920516525
8.51,128.0,158.38975054386944
9.73,133.0,157.08823354408932
10.96,138.0,156.83811720988882
12.19,143.0,157.09673878856233
13.41,146.0,154.44437326176586
14.55,148.0,151.9131692171964
15.78,154.0,150.0882426126174
17.0,158.0,146.2294150777563
18.23,159.0,141.5753718465368
19.46,160.0,137.38423222135546
20.69,158.0,135.79190459035215
21.92,155.0,132.63750937099715
23.14,156.0,129.0469356171118
24.28,154.0,126.83356729293162
25.51,150.0,123.1143194918869
26.73,141.0,123.19588372765246
27.96,152.0,122.33615395990053
