galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_clipped,beta_hit_lower,beta_hit_upper,beta_mode
NGC4100,2.61,120.0,10.5,0.0,6112.6423371647525,0.0,6112.6423371647525,126.30913070716623,0.0,126.30913070716623,28690.15423189102,2000.0,False,True,structural
NGC4100,3.5,148.0,7.5,0.1627259295207588,5242.553714285713,92.98624544043359,5335.539959726147,135.4582518711946,18.040284339264655,136.6542712799037,28690.15423189102,2000.0,False,True,structural
NGC4100,4.37,168.0,6.2,0.1701571261512516,5362.762677345539,77.87511494336457,5440.637792288903,153.08583507300733,18.447608308463813,154.1933434111295,28690.15423189102,2000.0,False,True,structural
NGC4100,5.24,182.0,6.1,0.035591842423064166,6096.409312977098,13.58467268055884,6109.993985657657,178.7321593894059,8.43704242291861,178.93118365686325,28690.15423189102,2000.0,False,True,structural
NGC4100,6.11,190.0,5.2,0.0,6404.190965630114,0.0,6404.190965630114,197.8120491780013,0.0,197.8120491780013,28690.15423189102,2000.0,False,True,structural
NGC4100,6.98,194.0,5.7,0.0,6207.818982808022,0.0,6207.818982808022,208.15997814181284,0.0,208.15997814181284,28690.15423189102,2000.0,False,True,structural
NGC4100,7.85,195.0,6.1,0.0,5108.77152866242,0.0,5108.77152866242,200.25947293449065,0.0,200.25947293449065,28690.15423189102,2000.0,False,True,structural
NGC4100,8.72,193.0,4.8,0.0019905480558148896,4263.171341743118,0.4565477192235985,4263.627889462342,192.80781649092964,1.995268430971076,192.81814021536363,28690.15423189102,2000.0,False,True,structural
NGC4100,9.6,192.0,3.9,0.10169580950767018,3449.8612083333337,21.186626980764622,3471.0478353140984,181.98534995982507,14.261543360216676,182.54330779027572,28690.15423189102,2000.0,False,True,structural
NGC4100,10.47,192.0,3.5,0.20226314622077055,2811.7521489971346,38.63670414914432,2850.388853146279,171.5781017496114,20.112838995068326,172.75291977978705,28690.15423189102,2000.0,False,True,structural
NGC4100,11.35,191.0,4.4,0.2627406109624079,2376.054079295154,46.29790501540228,2422.3519843105564,164.22001644135833,22.923377192831246,165.81222820384755,28690.15423189102,2000.0,False,True,structural
NGC4100,12.19,189.0,4.8,0.28767829647364773,2095.1726004922066,47.199064228654265,2142.3716647208607,159.81287182201564,23.986591941067733,161.6029411642848,28690.15423189102,2000.0,False,True,structural
NGC4100,13.12,185.0,5.3,0.29947084339980723,1835.3579954268293,45.65104320119013,1881.0090386280194,155.1769857291989,24.47328516565797,157.0949986053013,28690.15423189102,2000.0,False,True,structural
NGC4100,13.94,182.0,4.5,0.32285868102000176,1618.3076398852224,46.32118809469179,1664.6288279799141,150.1972319984626,25.410969325076987,152.33163119339332,28690.15423189102,2000.0,False,True,structural
NGC4100,14.86,179.0,6.6,0.34754140273084017,1417.618068640646,46.775424324473775,1464.3934929651198,145.1406369698025,26.36442310124916,147.51571884196503,28690.15423189102,2000.0,False,True,structural
NGC4100,15.68,176.0,6.2,0.3628702745438777,1270.0900510204083,46.284473793861956,1316.3745248142702,141.12055838891797,26.93957217714779,143.6688990320722,28690.15423189102,2000.0,False,True,structural
NGC4100,16.61,174.0,6.6,0.38570664315554354,1132.6758398555087,46.44270236671205,1179.1185422222206,137.16320825935796,27.774327828249724,139.94698634236855,28690.15423189102,2000.0,False,True,structural
NGC4100,17.42,178.0,8.7,0.4453891525072743,1029.8943111366243,51.13537916271805,1081.0296902993423,133.94311815095242,29.84590935144293,137.22804817170046,28690.15423189102,2000.0,False,True,structural
NGC4100,18.35,177.0,6.2,0.47254980328497614,924.867673024523,51.50406575313091,976.371738777654,130.27402580714238,30.74247235617123,133.8522372116729,28690.15423189102,2000.0,False,True,structural
NGC4100,19.16,169.0,5.9,0.44820885916719994,840.2477035490605,46.785893441252604,887.0335969903131,126.88241012843348,29.940235776199223,130.3670346304402,28690.15423189102,2000.0,False,True,structural
NGC4100,20.09,158.0,6.3,0.399971296999427,755.6022896963664,39.817948929758785,795.4202386261252,123.20734556023842,28.283256424939015,126.41199545137658,28690.15423189102,2000.0,False,True,structural
NGC4100,21.02,158.0,7.6,0.4349635464582076,683.7869885823026,41.38568472485325,725.1726733071558,119.88829175528359,29.494526490798513,123.46306975333319,28690.15423189102,2000.0,False,True,structural
NGC4100,21.95,158.0,8.9,0.46647866100665347,622.2926150341686,42.50375043340806,664.7963654675767,116.87310597395793,30.54435008333467,120.79851084352534,28690.15423189102,2000.0,False,True,structural
NGC4100,22.76,159.0,9.0,0.5015147615043322,573.1689367311071,44.0698384450204,617.2387751761275,114.21613283595273,31.67064134192209,118.52575468229959,28690.15423189102,2000.0,False,True,structural
