galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_clipped,beta_hit_lower,beta_hit_upper,beta_mode
UGC11455,0.62,35.1,4.01,0.0,8177.600645161292,0.0,8177.600645161292,71.20472175354666,0.0,71.20472175354666,72186.15845498047,2000.0,False,True,structural
UGC11455,1.23,64.6,4.19,0.0,10316.072845528455,0.0,10316.072845528455,112.64443883299343,0.0,112.64443883299343,72186.15845498047,2000.0,False,True,structural
UGC11455,1.83,80.1,6.32,0.0,10668.443825136614,0.0,10668.443825136614,139.72563186473698,0.0,139.72563186473698,72186.15845498047,2000.0,False,True,structural
UGC11455,2.47,113.0,10.4,0.0,10250.177530364374,0.0,10250.177530364374,159.1161164055986,0.0,159.1161164055986,72186.15845498047,2000.0,False,True,structural
UGC11455,3.08,136.0,7.59,0.0,9520.916168831167,0.0,9520.916168831167,171.24374966695865,0.0,171.24374966695865,72186.15845498047,2000.0,False,True,structural
UGC11455,3.68,150.0,7.75,0.0,8892.620217391304,0.0,8892.620217391304,180.90008955221666,0.0,180.90008955221666,72186.15845498047,2000.0,False,True,structural
UGC11455,4.32,171.0,9.19,0.0,8374.963912037038,0.0,8374.963912037038,190.21,0.0,190.21,72186.15845498047,2000.0,False,True,structural
UGC11455,4.91,192.0,9.16,0.0,8033.802871690429,0.0,8033.802871690429,198.61010069983854,0.0,198.61010069983854,72186.15845498047,2000.0,False,True,structural
UGC11455,5.53,197.0,9.96,0.0,8211.100922242314,0.0,8211.100922242314,213.09009385703504,0.0,213.09009385703504,72186.15845498047,2000.0,False,True,structural
UGC11455,6.17,195.0,12.4,0.0,8591.646288492708,0.0,8591.646288492708,230.24,0.0,230.24,72186.15845498047,2000.0,False,True,structural
UGC11455,6.78,196.0,7.09,0.0,9453.596651917404,0.0,9453.596651917404,253.1706643748442,0.0,253.1706643748442,72186.15845498047,2000.0,False,True,structural
UGC11455,7.38,216.0,5.99,0.0,10287.728631436314,0.0,10287.728631436314,275.54207900064915,0.0,275.54207900064915,72186.15845498047,2000.0,False,True,structural
UGC11455,8.0,225.0,5.24,0.0,10365.1202,0.0,10365.1202,287.96,0.0,287.96,72186.15845498047,2000.0,False,True,structural
UGC11455,8.62,240.0,6.15,0.0,9814.331740139212,0.0,9814.331740139212,290.86,0.0,290.86,72186.15845498047,2000.0,False,True,structural
UGC11455,9.23,247.0,4.37,0.0,9475.603824485373,0.0,9475.603824485373,295.7360703397541,0.0,295.7360703397541,72186.15845498047,2000.0,False,True,structural
UGC11455,9.85,254.0,6.48,0.0,9291.60747208122,0.0,9291.60747208122,302.52658329475776,0.0,302.52658329475776,72186.15845498047,2000.0,False,True,structural
UGC11455,10.43,257.0,7.41,0.0,9127.337842761266,0.0,9127.337842761266,308.54194803948457,0.0,308.54194803948457,72186.15845498047,2000.0,False,True,structural
UGC11455,11.05,273.0,5.38,0.0,8886.996425339366,0.0,8886.996425339366,313.37088329964547,0.0,313.37088329964547,72186.15845498047,2000.0,False,True,structural
UGC11455,11.67,272.0,5.98,0.0,8610.574207369322,0.0,8610.574207369322,316.9943232930205,0.0,316.9943232930205,72186.15845498047,2000.0,False,True,structural
UGC11455,12.19,270.0,20.9,0.0,8417.342247744053,0.0,8417.342247744053,320.3239016995141,0.0,320.3239016995141,72186.15845498047,2000.0,False,True,structural
UGC11455,12.91,279.0,9.4,0.0,8130.340170410534,0.0,8130.340170410534,323.97946169471913,0.0,323.97946169471913,72186.15845498047,2000.0,False,True,structural
UGC11455,14.56,287.0,10.8,0.0,7364.830686813187,0.0,7364.830686813187,327.4628754530809,0.0,327.4628754530809,72186.15845498047,2000.0,False,True,structural
UGC11455,16.63,291.0,10.0,0.0,6050.520006013228,0.0,6050.520006013228,317.20679012278407,0.0,317.20679012278407,72186.15845498047,2000.0,False,True,structural
UGC11455,17.77,286.0,9.67,0.0,5445.929909960609,0.0,5445.929909960609,311.0854778031273,0.0,311.0854778031273,72186.15845498047,2000.0,False,True,structural
UGC11455,18.49,288.0,6.96,0.0,5141.170281233099,0.0,5141.170281233099,308.31840441335964,0.0,308.31840441335964,72186.15845498047,2000.0,False,True,structural
UGC11455,20.24,289.0,6.63,0.0,4576.519723320159,0.0,4576.519723320159,304.3497317232266,0.0,304.3497317232266,72186.15845498047,2000.0,False,True,structural
UGC11455,22.62,288.0,10.0,0.0,3969.508492484527,0.0,3969.508492484527,299.6502663105775,0.0,299.6502663105775,72186.15845498047,2000.0,False,True,structural
UGC11455,24.89,269.0,8.23,0.0,3409.3426275612696,0.0,3409.3426275612696,291.30488839015385,0.0,291.30488839015385,72186.15845498047,2000.0,False,True,structural
UGC11455,27.06,267.0,7.11,0.0,2855.0813008130076,0.0,2855.0813008130076,277.95413290685207,0.0,277.95413290685207,72186.15845498047,2000.0,False,True,structural
UGC11455,29.13,272.0,5.36,0.04643918164665483,2421.8637349811197,3.1884093131929165,2425.0521442943127,265.61041131702655,9.637342128061537,265.7851932732396,72186.15845498047,2000.0,False,True,structural
UGC11455,31.3,274.0,5.78,0.13728020501135188,2069.9094504792333,8.771898083792452,2078.681348563026,254.5351956017085,16.56986451431344,255.07396223453054,72186.15845498047,2000.0,False,True,structural
UGC11455,33.46,259.0,5.81,0.10386085109805031,1796.7982337118947,6.208060436225361,1803.00629414812,245.1955727577478,14.412553632028594,245.6187912237093,72186.15845498047,2000.0,False,True,structural
UGC11455,35.53,272.0,6.69,0.25689228192256813,1551.2021446664787,14.460584403184246,1565.6627290696629,234.76416293804297,22.666816358834698,235.8558813424951,72186.15845498047,2000.0,False,True,structural
UGC11455,37.7,274.0,6.39,0.3317809872287859,1339.2277586206897,17.60111338083745,1356.828872001527,224.69732196891,25.75969670740655,226.16907055222555,72186.15845498047,2000.0,False,True,structural
UGC11455,39.87,272.0,5.59,0.36496831700908017,1189.3351642839227,18.307916579336855,1207.6430808632597,217.75856584759185,27.01733950666054,219.42818787479916,72186.15845498047,2000.0,False,True,structural
UGC11455,41.93,266.0,8.82,0.37578604711888486,1064.3393512997852,17.924447751914375,1082.2637990516996,211.25280826535774,27.41481523260315,213.0242265429868,72186.15845498047,2000.0,False,True,structural
