galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_clipped,beta_hit_lower,beta_hit_upper,beta_mode
ESO079-G014,0.41,33.2,11.6,0.23661360671301362,2056.0648780487804,1060.232778396759,3116.2976564455394,29.034231520741166,20.84935104847801,35.744678473063246,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,0.98,50.4,11.8,0.10046199480763521,2331.8450000000003,188.33068659617388,2520.1756865961743,47.803850263341765,13.585436057199283,49.696802441044944,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,1.78,53.9,9.75,0.0,2191.4216853932585,0.0,2191.4216853932585,62.455829191517424,0.0,62.455829191517424,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,2.69,67.6,5.1,0.0,2145.1051672862454,0.0,2145.1051672862454,75.96270729772604,0.0,75.96270729772604,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,3.36,81.7,5.06,0.0,2036.5346726190473,0.0,2036.5346726190473,82.7209556279423,0.0,82.7209556279423,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,4.39,102.0,5.35,0.2684949201336923,1738.6562642369024,112.36134290660164,1851.017607143504,87.36533065238179,22.20959917152899,90.14414731617346,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,5.65,116.0,6.44,0.3671522955341018,1521.5261769911504,119.38318689347379,1640.909363884624,92.71797506416974,25.97142672145924,96.28674834029928,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,6.34,132.0,9.1,0.477802619689562,1475.86190851735,138.4537224661719,1614.315630983522,96.73140389759676,29.627632379849892,101.16699610265954,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,6.89,137.0,5.25,0.46781165430248167,1487.253671988389,124.73754232797654,1611.9912143163656,101.22834484471234,29.316235546873312,105.38794744485614,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,8.34,154.0,4.2,0.4537179966997454,1588.6797362110312,99.94597827438481,1688.625714485416,115.10685904845114,28.87125661983505,118.67239973476718,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,10.04,163.0,3.28,0.35991824475278344,1708.758097609562,65.85905842403214,1774.617156033594,130.9806523880531,25.71429459614404,133.48092090848522,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,11.65,170.0,2.41,0.35689902998715106,1608.9090643776824,56.28138940605063,1665.1904537837331,136.90796397580382,25.606213827516356,139.28197581374445,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,13.36,175.0,2.18,0.38688556375875793,1421.9146781437125,53.201200774476526,1475.115878918189,137.8288072211321,26.66023335132321,140.3835750447573,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,15.06,177.0,2.23,0.43388784050041757,1199.78462815405,52.929510249606295,1252.7141384036563,134.42007476563907,28.233285752088275,137.35310307510008,22562.959906595264,1837.1531763594182,False,True,structural
ESO079-G014,16.67,178.0,2.03,0.47576314272989234,1024.1471505698862,52.432499631731304,1076.5796502016176,130.66190339957552,29.56433271462356,133.9648564693777,22562.959906595264,1837.1531763594182,False,True,structural
