galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
ESO116-G012,0.25,20.9,3.4,0.31597993945883335,1201.5091999999997,1559.8717505102475,2761.380950510247,17.33139636613276,19.747605870777395,26.274421737263065,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,0.83,40.0,3.29,0.23548498247868796,1476.4356626506026,350.15030901848417,1826.5859716690868,35.00630800298712,17.047719979086406,38.93669678446468,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,1.38,51.5,2.96,0.0052981178413136374,1911.7377536231888,4.738183951619172,1916.475937574808,51.36339260601854,2.557086985856065,51.42700451954435,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,1.85,67.9,3.45,0.1685101133317027,2073.3475675675672,112.41483630668156,2185.762403874249,61.93297183245771,14.421076491280424,63.58978256895804,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,2.68,80.2,2.93,0.4158678937111979,1423.9894402985074,191.5093529305759,1615.4987932290833,61.77614183485401,22.654912620752775,65.7992155413265,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,3.19,83.3,3.08,0.3923590621055078,1338.141473354232,151.79672255625877,1489.9381959104908,65.33506944972203,22.00526175609973,68.9412999946655,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,3.68,91.4,2.83,0.45587472166176435,1263.819483695652,152.88577624325723,1416.7052599389092,68.19718249312064,23.719604899221796,72.20439984222004,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,4.13,102.0,5.4,0.5542350267038193,1185.491162227603,165.62020103296382,1351.1113632605668,69.97198367918405,26.153612183905697,74.69999953324057,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,5.23,105.0,4.21,0.594589072560459,921.5539770554492,140.30870772267053,1061.8626847781197,69.42425584765024,27.089011450947538,74.52208962039086,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,6.05,109.0,2.1,0.6857457133222462,719.8357851239671,139.88692285586052,859.7227079798276,65.99247305564477,29.091508783113262,72.12019400471658,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,6.81,108.0,2.1,0.7279740893861297,576.176798825257,131.92837102942414,708.1051698546812,62.639955300111765,29.97385872239973,69.44203486873336,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,7.56,109.0,2.1,0.7501944524512706,504.83096560846565,122.46766651832317,627.2986321267888,61.778006604292436,30.42787470196568,68.8649232837627,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,8.32,110.0,2.1,0.7655034690574836,452.3871754807692,113.55159188481394,565.9387673655831,61.35031621760397,30.736773488472274,68.61931611785162,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,9.09,111.0,2.33,0.7861371822283754,403.5628712871287,106.73426030565624,510.2971315927849,60.56720647347044,31.14826521940532,68.10727513400029,,1234.1540994515187,1234.1540994515187,formula
ESO116-G012,9.86,112.0,4.74,0.8452714434529511,333.2437322515214,105.8007319560611,439.0444642075825,57.32175154337139,32.29853273891497,65.79497258215679,,1234.1540994515187,1234.1540994515187,formula
