galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
NGC2841,3.44,285.0,14.4,0.0,24436.085726744186,0.0,24436.085726744186,289.9312589218348,0.0,289.9312589218348,,1749.1355972338743,1749.1355972338743,formula
NGC2841,3.77,297.0,13.6,0.07429581364335022,21708.584694960213,34.4704117689756,21743.05510672919,286.07929722368937,11.399712819586203,286.3063355086105,,1749.1355972338743,1749.1355972338743,formula
NGC2841,4.13,303.0,8.47,0.12614163032886297,19560.275278450365,53.42344210685964,19613.698720557226,284.22515177232293,14.853915844023431,284.61302801506,,1749.1355972338743,1749.1355972338743,formula
NGC2841,4.47,306.0,5.93,0.15512457965826232,17889.551454138702,60.70110163002424,17950.252555768726,282.78312361242496,16.472216738684818,283.2624735546278,,1749.1355972338743,1749.1355972338743,formula
NGC2841,4.8,307.0,5.93,0.16934774824011978,16523.603604166663,61.71086974129035,16585.314473907954,281.6261658653187,17.21081563314748,282.1515718098309,,1749.1355972338743,1749.1355972338743,formula
NGC2841,5.13,304.0,8.47,0.15431918681392143,15397.687660818712,52.616994735363406,15450.304655554075,281.0518416591501,16.429399958379925,281.53163744594036,,1749.1355972338743,1749.1355972338743,formula
NGC2841,5.48,308.0,8.47,0.17982431485482891,14410.151021897806,57.39728291254988,14467.548304810356,281.0117926351134,17.735194116805527,281.57088754052813,,1749.1355972338743,1749.1355972338743,formula
NGC2841,5.83,313.0,12.7,0.2138686357601137,13500.819794168096,64.16556499826079,13564.985359166356,280.55263213878425,19.341283409842802,281.21853538474284,,1749.1355972338743,1749.1355972338743,formula
NGC2841,6.16,314.0,9.32,0.22214173031397458,12748.520357142857,63.077274045990286,12811.597631188848,280.233626461922,19.71182406890088,280.9260425950633,,1749.1355972338743,1749.1355972338743,formula
NGC2841,6.51,315.0,6.78,0.21360601815533725,12248.964193548389,57.392609852363385,12306.356803400751,282.3840592172299,19.329404805603446,283.0448423662563,,1749.1355972338743,1749.1355972338743,formula
NGC2841,6.86,317.0,8.47,0.2122422999528414,11788.88357142857,54.11670001258081,11843.000271441151,284.37957257862246,19.26760395291289,285.0315453806584,,1749.1355972338743,1749.1355972338743,formula
NGC2841,7.18,320.0,7.63,0.22275064822182344,11352.194679665738,54.26477550302393,11406.459455168762,285.497386678057,19.7388218521702,286.1789280993828,,1749.1355972338743,1749.1355972338743,formula
