galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
UGC08490,0.34,38.8,3.69,0.5655626564694997,2286.955882352941,1932.5683167379393,4219.52419909088,27.884852518885587,25.633439638310335,37.876618482790924,,1161.8044794411474,1161.8044794411474,formula
UGC08490,0.68,50.1,3.69,0.39551970377234363,2370.9417647058826,675.7596522793301,3046.7014169852127,40.152713482403655,21.436337456523315,45.516557026536454,,1161.8044794411474,1161.8044794411474,formula
UGC08490,1.02,60.2,3.69,0.4822898894871635,2045.7679411764707,549.3397588189828,2595.1076999954535,45.68022876475117,23.671217839295096,51.44909964222273,,1161.8044794411474,1161.8044794411474,formula
UGC08490,1.36,68.2,3.69,0.6020170558157908,1682.6029411764705,514.2839059902624,2196.886847166733,47.83659686892453,26.446665425848245,54.660462055737845,,1161.8044794411474,1161.8044794411474,formula
UGC08490,1.69,72.8,3.69,0.6923291848695686,1364.2463905325444,475.94742498775327,1840.1938155202977,48.01641802550457,28.36108510317091,55.766724381384485,,1161.8044794411474,1161.8044794411474,formula
UGC08490,2.03,75.3,3.69,0.754089218176201,1114.9195073891626,431.5784391996961,1546.4979465888587,47.5740118131738,29.599057950809566,56.03026710248116,,1161.8044794411474,1161.8044794411474,formula
UGC08490,2.37,76.6,3.69,0.7992443405109829,927.1730801687763,391.79985441925976,1318.972934588036,46.876435444687985,30.472375276201323,55.91033763959618,,1161.8044794411474,1161.8044794411474,formula
UGC08490,2.7,77.6,3.69,0.8412879557848,786.6157407407408,362.00448723358016,1148.6202279743209,46.08538271512997,31.263590893092662,55.68908883731773,,1161.8044794411474,1161.8044794411474,formula
UGC08490,3.05,78.5,3.69,0.8918116384852212,662.5842622950819,339.70844472455053,1002.2927070196324,44.954221158863376,32.188674349992716,55.29007828182086,,1161.8044794411474,1161.8044794411474,formula
UGC08490,3.38,78.2,3.69,0.9123737496839042,575.9066568047338,313.6094406234544,889.5160974281882,44.11988780584103,32.557639799396945,54.83214758977872,,1161.8044794411474,1161.8044794411474,formula
UGC08490,3.72,78.8,3.69,0.929174404957438,518.5047849462366,290.1932757692511,808.6980607154876,43.91853595009743,32.856034238197616,54.8484893671796,,1161.8044794411474,1161.8044794411474,formula
UGC08490,4.06,79.2,3.69,0.9464232900660822,467.9960591133005,270.8272950360105,738.823354149311,43.58972355957307,33.1595961653064,54.768812456052046,,1161.8044794411474,1161.8044794411474,formula
UGC08490,4.39,79.2,3.69,0.9903184849091189,405.8559453302962,262.0857521277414,667.9416974580377,42.21027836913659,33.91985335818515,54.15038367214756,,1161.8044794411474,1161.8044794411474,formula
UGC08490,4.74,79.2,3.69,1.0373020409484264,350.7332700421941,254.2494003601954,604.9826704023894,40.773468088942344,34.71515746338084,53.5501433957681,,1161.8044794411474,1161.8044794411474,formula
UGC08490,5.08,78.8,3.69,1.084782349134596,301.9447637795276,248.09153394552447,550.036297725052,39.16477243646387,35.500774533005114,52.86004533145298,,1161.8044794411474,1161.8044794411474,formula
UGC08490,5.41,78.5,3.69,1.1463620775071903,256.70214417744916,246.1827350664165,502.88487924386567,37.26605157512665,36.49450091053875,52.15944014950039,,1161.8044794411474,1161.8044794411474,formula
UGC08490,5.75,80.1,3.69,1.1973931253939591,232.97810434782608,241.93681682343254,474.9149211712586,36.600875672584664,37.29794493983197,52.25668183816053,,1161.8044794411474,1161.8044794411474,formula
UGC08490,6.09,80.1,3.69,1.2110940882314727,215.49720853858787,231.04343788703073,446.5406464256186,36.22675806637961,37.51072562257384,52.14817865210651,,1161.8044794411474,1161.8044794411474,formula
