galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_boost,beta_mode
F568-V1,0.39,17.4,30.4,0.5950311234831752,387.9348717948718,2526.2128529526626,2914.1477247475345,12.30018699044856,31.388262338835172,33.71227688322962,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,1.18,46.3,37.1,0.7679871318665952,718.6760169491525,1077.6228731946057,1796.2988901437584,29.12108686158537,35.65943059514039,46.03946883240113,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,1.95,69.1,13.1,1.0775965254199327,623.879641025641,914.9901863544915,1538.8698273801324,34.879296151155344,42.240157000078234,54.7795232125222,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,2.74,85.2,6.2,1.2803585268317759,501.79828467153277,773.705885249787,1275.5041699213198,37.08001213592034,46.04295956587083,59.11752215362562,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,3.53,93.2,6.2,1.2532304854205196,485.03841359773384,587.829138961572,1072.8675525593058,41.37856449902534,45.55257249085225,61.54041323012341,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,4.3,100.0,12.4,1.2356924031689043,470.3656976744186,475.8135288532109,946.1792265276295,44.97301968958722,45.23271132785218,63.78534842790158,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,5.09,108.0,6.2,1.2972531271645373,423.3848526522593,421.98965945268145,845.3745121049408,46.422288827674144,46.34573730791375,65.59692269164879,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,5.87,112.0,6.2,1.3428069435753187,369.2037649063032,378.76543709372237,747.9692020000256,46.55347570267981,47.15244549055913,66.26144592249818,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,6.4,113.0,24.9,1.3378917791506368,347.208890625,346.12731724133806,693.3362078663381,47.139547091587545,47.066068779371875,66.61345007087205,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,7.44,113.0,15.5,1.2898521302172696,320.5673655913978,287.0528444971321,607.6202100885299,48.83667883875806,46.213343993468634,67.23610907138115,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,8.21,112.0,13.1,1.2425399591451853,305.93629719853834,250.58903989314356,556.5253370916819,50.11723256525644,45.35786610415782,67.59491857767645,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,9.0,111.0,26.4,1.2306369863335012,278.9522777777778,226.40307396555212,505.35535174332995,50.10559350012731,45.14008934073978,67.44033040911032,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,9.72,111.0,19.4,1.2093930714888879,266.4635905349794,206.01368780622286,472.47727834120224,50.89229902450861,44.74877702771872,67.76783267507149,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,11.79,113.0,12.5,1.1723313821850092,240.3635114503817,164.63851900673814,405.0020304571199,53.23425400998872,44.05778182216443,69.10118623503827,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
F568-V1,17.63,118.0,14.6,1.3457900218791456,135.85339194554737,126.3920787745034,262.2454707200508,48.939710869599544,47.204791587237146,67.99549726852871,,1655.7503864407456,1655.7503864407456,False,,1.0,formula
