galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_boost,beta_mode
UGC09133,0.32,284.0,34.7,0.7168923603212437,114945.6753125,4306.3337928533665,119252.00910535337,191.7879456587405,37.12178354703714,195.34749272440914,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,0.63,282.0,18.8,0.0,139512.64428571428,0.0,139512.64428571428,296.4674786549108,0.0,296.4674786549108,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,0.95,281.0,12.6,0.0,113672.19336842108,0.0,113672.19336842108,328.6161646967477,0.0,328.6161646967477,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,1.26,280.0,10.6,0.0,91202.62142857142,0.0,91202.62142857142,338.9915972409936,0.0,338.9915972409936,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,1.58,280.0,10.8,0.0,74628.65569620252,0.0,74628.65569620252,343.38502588202647,0.0,343.38502588202647,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,1.89,279.0,7.67,0.0,62368.22439153439,0.0,62368.22439153439,343.33066291841743,0.0,343.33066291841743,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,2.21,279.0,11.2,0.0,52979.08606334842,0.0,52979.08606334842,342.17507244099477,0.0,342.17507244099477,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,2.52,279.0,4.45,0.0,45959.68083333333,0.0,45959.68083333333,340.32101859861666,0.0,340.32101859861666,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,2.84,279.0,5.03,0.0,40286.147816901415,0.0,40286.147816901415,338.24940472970536,0.0,338.24940472970536,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,3.15,279.0,4.26,0.0,36188.97587301587,0.0,36188.97587301587,337.63186164815664,0.0,337.63186164815664,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,3.47,279.0,4.14,0.0,33189.63763688761,0.0,33189.63763688761,339.3641740078054,0.0,339.3641740078054,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,3.79,279.0,5.73,0.0,30720.355250659635,0.0,30720.355250659635,341.21861965607917,0.0,341.21861965607917,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,4.1,280.0,4.52,0.0,28556.788414634153,0.0,28556.788414634153,342.17368762077547,0.0,342.17368762077547,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
UGC09133,4.42,280.0,4.86,0.0,26466.278619909503,0.0,26466.278619909503,342.02478199686055,0.0,342.02478199686055,,1922.2227631154772,1922.2227631154772,False,,1.0,formula
