galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_boost,beta_mode
NGC7814,0.63,265.0,15.0,0.0,191670.82634920639,0.0,191670.82634920639,347.4947778024873,0.0,347.4947778024873,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,1.72,250.0,15.0,0.0,55851.10808139536,0.0,55851.10808139536,309.9417782423015,0.0,309.9417782423015,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,2.79,233.0,7.29,0.0,27293.98336917563,0.0,27293.98336917563,275.9532815532368,0.0,275.9532815532368,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,3.91,230.0,6.45,0.0,16607.3647314578,0.0,16607.3647314578,254.82306822577897,0.0,254.82306822577897,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,5.03,228.0,5.37,0.0,11233.976163021867,0.0,11233.976163021867,237.71180050641152,0.0,237.71180050641152,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,6.14,228.0,5.16,0.05648541875076791,7997.666742671011,18.39915920220453,8016.065901873216,221.59800044224227,10.628774035679553,221.85275440593824,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,7.26,227.0,5.94,0.17420909959996758,5936.658581267217,47.99148749310402,5984.650068760321,207.60573522906344,18.665963655807733,208.4431805053836,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,8.37,226.0,3.0,0.2653064656338914,4633.69898446834,63.39461544417955,4697.0935999125195,196.93669160418025,23.035037036388346,198.27928139689175,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,9.5,223.0,3.92,0.3340580389591291,3690.1624947368423,70.32800820192192,3760.490502938764,187.23392774815147,25.84794146384308,189.00968170418747,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,10.65,219.0,2.9,0.3876934807008003,2993.5917652582157,72.80628745554935,3066.398052713765,178.55461993462953,27.84577097876086,180.71286412815664,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,11.74,216.0,2.55,0.4403316647030753,2492.317453151618,75.01391221517466,2567.3313653667924,171.0549820964008,29.675972257133388,173.61010981335775,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,12.82,214.0,2.55,0.4994099417418958,2097.1736817472697,77.91106735442992,2175.0847491017,163.9687976415025,31.60411181292383,166.9867853558592,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,14.01,214.0,3.07,0.5807057066299777,1750.5805067808708,82.89874470092471,1833.4792514817955,156.60661831480814,34.07948669302335,160.27178264828763,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,15.09,214.0,3.61,0.6443335262736224,1511.3684956925117,85.39874437026141,1596.7672400627732,151.01837835177545,35.89800903319354,155.22634329438816,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,16.18,214.0,4.46,0.7014820892870368,1319.8117799752781,86.70977617886734,1406.5215561541454,146.13197665124494,37.45616342571772,150.85595373923454,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,17.36,214.0,5.07,0.7636684972426605,1144.5575115207373,87.98024161781802,1232.5377531385552,140.95927922630705,39.081159072951266,146.27663994802901,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,18.44,214.0,4.78,0.8168337010413466,1012.7530911062906,88.59367690253215,1101.346768008823,136.65711470684576,40.41865166086931,142.50906778897507,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
NGC7814,19.53,214.0,4.87,0.8662941169378839,902.3928417818739,88.71419528293741,991.1070370648114,132.75440557661352,41.624370672429,139.12699390799676,,1933.3311439255822,2000.0,True,2.9164128567651426,1.1992240775826886,formula
