galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
DDO161,0.6,16.0,3.53,0.2036479457098643,341.7008333333333,567.914838701467,909.6156720348004,14.318536936433135,18.459385234099216,23.36170805443986,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,0.73,16.6,4.83,0.026979803929655533,367.318904109589,61.84012548767968,429.1590295972687,16.375066412079065,6.718875769502378,17.69988959304566,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,0.85,18.6,2.5,0.0765531889881199,376.07400000000007,150.69498315331901,526.7689831533191,17.879119105817267,11.31771777702206,21.160189878172673,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,0.98,20.0,7.58,0.003176595926028316,406.8670408163265,5.423633468047237,412.2906742843737,19.968217246414362,2.305463250343907,20.100867165341057,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,1.07,21.4,4.03,0.012823378747642654,422.51757009345795,20.05271239835939,442.57028249181735,21.26249750146958,4.63210559748421,21.761208658212084,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,1.54,28.9,2.74,0.12117703381934763,477.40389610389616,131.66005430167775,609.0639504055739,27.1146086086449,14.239258534930242,30.62610787587257,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,2.02,32.9,2.65,0.10283529969277062,481.28415841584155,85.1814996547692,566.4656580706107,31.18002565746218,13.117417020992882,33.82692166459481,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,2.49,35.2,2.88,0.08764767954255717,454.35056224899597,58.89731663112298,513.247878880119,33.63529247680181,12.110091593852468,35.74894709514528,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,2.96,37.6,3.05,0.14009747617388774,411.64814189189195,79.1941375736775,490.84227946556945,34.90671138907245,15.310605710359253,38.11683548273762,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,3.43,40.6,3.68,0.25022165708554167,363.789416909621,122.06332865222375,485.85274556184476,35.32418010371932,20.461603487437817,40.822480538021296,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
