galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode,beta_ceiling_theory
NGC5055,0.72,125.0,17.6,0.0,56387.54222222222,0.0,56387.54222222222,201.4920107597321,0.0,201.4920107597321,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,1.43,162.0,8.5,0.0,40333.04566433567,0.0,40333.04566433567,240.15881266362055,0.0,240.15881266362055,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,2.16,178.0,5.22,0.0,32096.213425925915,0.0,32096.213425925915,263.30176793937403,0.0,263.30176793937403,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,2.87,193.0,1.88,0.0,27471.589965156792,0.0,27471.589965156792,280.7907818999762,0.0,280.7907818999762,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,3.59,192.0,3.59,0.0,20818.99256267409,0.0,20818.99256267409,273.3865089941345,0.0,273.3865089941345,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,4.3,190.0,0.97,0.0,17234.433604651163,0.0,17234.433604651163,272.2279642138184,0.0,272.2279642138184,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,5.03,195.0,0.99,0.0,14910.33982107356,0.0,14910.33982107356,273.85946998415085,0.0,273.85946998415085,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,5.75,201.0,0.45,0.0,13303.369808695652,0.0,13303.369808695652,276.5761674475948,0.0,276.5761674475948,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,6.46,204.0,0.81,0.0,12168.493885448917,0.0,12168.493885448917,280.372021607007,0.0,280.372021607007,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,7.18,204.0,0.65,0.0,10650.847423398329,0.0,10650.847423398329,276.53767284042874,0.0,276.53767284042874,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
