galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode,beta_ceiling_theory
UGC05764,0.36,21.45,1.99,1.739130562984628,101.10944444444445,249654216315.7826,249654216416.89203,6.033191526878622,299792.4579999999,299792.4580607076,,37190847230.47267,51678418967.83234,True,1.2287121036965467,1.5682554473510473,formula,51678418967.83234
UGC05764,0.73,31.3,1.58,1.3715736050498615,193.22041095890413,97096925215.0506,97096925408.27101,11.87648517028502,266234.39936827647,266234.39963317633,,37190847230.47267,51678418967.83234,True,1.2287121036965467,1.5682554473510473,formula,51678418967.83234
UGC05764,1.09,41.7,1.16,1.4528610649120206,201.13174311926605,68882167719.79306,68882167920.9248,14.806539095953518,274010.1509334544,274010.15133350086,,37190847230.47267,51678418967.83234,True,1.2287121036965467,1.5682554473510473,formula,51678418967.83234
UGC05764,1.45,48.35,0.44,1.461859452391915,200.2991034482759,52101093277.78989,52101093478.08899,17.042115479012576,274857.39075527026,274857.39128360554,,37190847230.47267,51678418967.83234,True,1.2287121036965467,1.5682554473510473,formula,51678418967.83234
UGC05764,1.81,50.6,0.37,1.339812409432397,214.50132596685083,38253804990.579185,38253805205.08051,19.703994518878655,263133.7816262829,263133.78236402053,,37190847230.47267,51678418967.83234,True,1.2287121036965467,1.5682554473510473,formula,51678418967.83234
UGC05764,2.17,54.05,0.59,1.3017034315419203,217.24262672811062,30999988620.77807,30999988838.020695,21.712127947301713,259364.56062285844,259364.5615316497,,37190847230.47267,51678418967.83234,True,1.2287121036965467,1.5682554473510473,formula,51678418967.83234
UGC05764,2.54,55.8,0.76,1.2674014607165127,209.1864960629921,25786340034.390015,25786340243.57651,23.05067677965226,255924.410104528,255924.41114259567,,37190847230.47267,51678418967.83234,True,1.2287121036965467,1.5682554473510473,formula,51678418967.83234
UGC05764,2.9,54.55,0.71,1.2090149820440907,192.5546551724138,21544821648.43476,21544821840.989418,23.63066863209757,249959.96235489557,249959.96347189145,,37190847230.47267,51678418967.83234,True,1.2287121036965467,1.5682554473510473,formula,51678418967.83234
UGC05764,3.26,50.0,2.65,1.1275685911216213,164.21426380368098,17874528241.39619,17874528405.610455,23.137383170963822,241393.79044820432,241393.79155705325,,37190847230.47267,51678418967.83234,True,1.2287121036965467,1.5682554473510473,formula,51678418967.83234
UGC05764,3.62,49.9,2.77,1.1549424908889196,140.91320441988947,16487735339.201511,16487735480.114716,22.585521911171323,244306.3689876084,244306.37003159634,,37190847230.47267,51678418967.83234,True,1.2287121036965467,1.5682554473510473,formula,51678418967.83234
