galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_cinfo_limit,beta_mode
F563-V2,0.28,11.9,7.89,1.272426979406692,141.39607142857142,103077.51640079173,103218.91247222031,6.2921300050142,169.88732911027145,170.00381022854071,,13076.17097569238,22682.405402689074,True,1.9811018964096665,1.7346366489742269,51967706352.578835,formula
F563-V2,0.87,34.8,7.89,1.3296329371669675,367.533908045977,34665.831399528004,35033.36530757398,17.881680569789854,173.66425457643655,174.5824384569919,,13076.17097569238,22682.405402689074,True,1.9811018964096665,1.7346366489742269,51967706352.578835,formula
F563-V2,1.46,58.5,8.68,1.4874015146710928,528.581712328767,23108.112433111994,23636.69414544076,27.78001619869938,183.6786437023736,185.76752528992657,,13076.17097569238,22682.405402689074,True,1.9811018964096665,1.7346366489742269,51967706352.578835,formula
F563-V2,2.05,81.5,14.2,1.6383473276223797,628.3246829268292,18127.638183191742,18755.96286611857,35.88963081448456,192.77359330453712,196.08601142239357,,13076.17097569238,22682.405402689074,True,1.9811018964096665,1.7346366489742269,51967706352.578835,formula
F563-V2,2.35,91.8,17.5,1.7308153746807333,634.017744680851,16705.981279027907,17339.99902370876,38.599762952640006,198.13898154001797,201.8638097968915,,13076.17097569238,22682.405402689074,True,1.9811018964096665,1.7346366489742269,51967706352.578835,formula
F563-V2,4.76,114.0,8.68,1.726935929185871,484.58571428571435,8229.214464341067,8713.800178626781,48.02736719829643,197.91680284974157,203.66071994929084,,13076.17097569238,22682.405402689074,True,1.9811018964096665,1.7346366489742269,51967706352.578835,formula
F563-V2,7.86,116.0,8.68,1.5421741907695035,365.4827608142493,4450.409694223644,4815.892455037893,53.59752326367329,187.02999811954723,194.5582552774306,,13076.17097569238,22682.405402689074,True,1.9811018964096665,1.7346366489742269,51967706352.578835,formula
F563-V2,8.7,117.0,16.6,1.4598915553694003,364.71183908045987,3806.18989687943,4170.901735959889,56.32932628746771,181.9721190261053,190.4910630524462,,13076.17097569238,22682.405402689074,True,1.9811018964096665,1.7346366489742269,51967706352.578835,formula
F563-V2,10.18,118.0,51.9,1.5269618725968965,296.4790766208252,3402.27585743537,3698.7549340561955,54.93775568768714,186.1052611526393,194.04464751363813,,13076.17097569238,22682.405402689074,True,1.9811018964096665,1.7346366489742269,51967706352.578835,formula
F563-V2,10.47,118.0,40.3,1.535297012113362,285.8751957975167,3326.0963937242136,3611.9715895217305,54.70935294810203,186.6125109479333,194.46681604400408,,13076.17097569238,22682.405402689074,True,1.9811018964096665,1.7346366489742269,51967706352.578835,formula
