galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_cinfo_limit,beta_mode
NGC2915,0.34,13.5,10.1,-2.3883472363450458,5946.749411764707,-132627.35007531755,0.0,44.96548454092317,0.0,0.0,,10568.457232974702,18880.54565073021,True,1.7363949062993909,1.7864996975926548,37875779591.571785,formula
NGC2915,0.67,31.3,12.5,-0.9103478590975965,3653.3983582089554,-25653.528823487588,0.0,49.47501288529393,0.0,0.0,,10568.457232974702,18880.54565073021,True,1.7363949062993909,1.7864996975926548,37875779591.571785,formula
NGC2915,1.0,35.3,13.4,-0.6094043818566828,2299.442,-11505.887251400125,0.0,47.95249732808501,0.0,0.0,,10568.457232974702,18880.54565073021,True,1.7363949062993909,1.7864996975926548,37875779591.571785,formula
NGC2915,1.34,50.5,9.38,0.2090627168985987,1542.940895522388,2945.6852016937905,4488.626097216178,45.47021882507275,62.826890502950086,77.55487715334013,,10568.457232974702,18880.54565073021,True,1.7363949062993909,1.7864996975926548,37875779591.571785,formula
NGC2915,1.68,61.0,10.1,0.7177560757194832,1078.438392857143,8066.444258161116,9144.882651018259,42.56496799012071,116.41145284597505,123.94919464728552,,10568.457232974702,18880.54565073021,True,1.7363949062993909,1.7864996975926548,37875779591.571785,formula
NGC2915,2.01,66.5,11.9,1.0147385069678299,795.777960199005,9531.74960415917,10327.527564358174,39.99392078803977,138.41537741291583,144.07751526299975,,10568.457232974702,18880.54565073021,True,1.7363949062993909,1.7864996975926548,37875779591.571785,formula
NGC2915,2.34,74.4,11.6,1.3519868778546777,610.6355555555556,10908.65383184763,11519.289387403187,37.800624333468356,159.76936491869603,164.1801972423089,,10568.457232974702,18880.54565073021,True,1.7363949062993909,1.7864996975926548,37875779591.571785,formula
NGC2915,2.67,83.0,9.17,1.674868766309084,482.3030711610486,11843.609064150132,12325.91213531118,35.88522258534841,177.82698389524816,181.4116462669386,,10568.457232974702,18880.54565073021,True,1.7363949062993909,1.7864996975926548,37875779591.571785,formula
NGC2915,3.01,86.4,7.66,1.8644509666534064,383.5762458471761,11694.967305464355,12078.543551311532,33.97888314821427,187.62156483050586,190.6735851906281,,10568.457232974702,18880.54565073021,True,1.7363949062993909,1.7864996975926548,37875779591.571785,formula
NGC2915,3.35,83.6,8.18,1.9016658417720667,310.89041791044775,10717.757832242329,11028.648250152777,32.27201419186599,189.48479817128288,192.21334927109461,,10568.457232974702,18880.54565073021,True,1.7363949062993909,1.7864996975926548,37875779591.571785,formula
