galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_cinfo_limit,beta_mode
UGC05716,1.03,39.15,4.06,1.1526819811556475,468.4253398058252,10612.778271421694,11081.203611227518,21.96538413049041,104.55219567070003,106.83463726509461,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
UGC05716,2.07,49.15,1.65,1.0813169927535233,394.54618357487925,4953.81169018883,5348.357873763709,28.578148995342577,101.26396298136311,105.21929860387246,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
UGC05716,3.09,55.05,0.6,1.2706941720725207,274.3529126213592,3899.7733747496536,4174.126287371013,29.116155309381078,109.77385721553392,113.56958319892007,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
UGC05716,4.13,59.35,0.41,1.4091791359626984,207.73549636803872,3235.735130028223,3443.4706263962617,29.290742564844614,115.60097788088369,119.25407199343996,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
UGC05716,5.16,63.85,0.46,1.4979136116389666,176.10418604651161,2752.9218121582876,2929.025998204799,30.144611458766555,119.18505170841168,122.93809072348881,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
UGC05716,6.2,68.2,0.86,1.5861988509087064,153.09253225806452,2426.178515663813,2579.2710479218777,30.808662742806607,122.64708230168235,126.45742563058779,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
UGC05716,7.23,71.7,1.07,1.6027884855846426,142.71734439834023,2102.300181110087,2245.0175255084273,32.12236603987944,123.28678075700546,127.40281280029076,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
UGC05716,8.26,73.5,1.07,1.5854417281134563,133.56731234866828,1820.233271039985,1953.8005833886534,33.21544821314323,122.61780791871251,127.03697421928105,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
UGC05716,9.28,73.15,1.0,1.547633323870401,122.29156250000001,1581.5280808170216,1703.8196433170217,33.68776780969615,121.14693801323234,125.74357355341051,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
UGC05716,10.34,72.5,0.74,1.536491126631213,109.02035783365571,1409.179539896805,1518.1998977304606,33.57484921782971,120.71005112472186,125.29240576560481,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
UGC05716,11.4,73.0,1.07,1.600113572332238,94.07593859649123,1331.0757421944227,1425.1516807909138,32.748522104058374,123.1838603917592,127.46265790817489,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
UGC05716,12.37,74.7,2.09,1.728617225768635,79.84388843977364,1325.2137948558966,1405.0576832956701,31.42720000254556,128.034739982426,131.83536529462586,,5301.488405952766,9483.2415169751,True,1.7215754076630299,1.788788504437143,55012694709.25876,formula
