galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,dsigma_dr,a_bar_kmps2_per_kpc,a_topo_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_topo_kmps,v_model_kmps,g_scale,lambda_reorg,l0_kpc
NGC6503,0.76,77.0,10.0,0.12295472465970259,-0.3812561186497416,6602.1578947368425,36.886417397910776,6639.044312134753,70.83530193342865,5.294683864255938,71.03290559467783,300.0,0.0,1.0
NGC6503,1.52,100.0,5.0,-0.16679992551410108,-0.19170585842718424,10019.021907894738,-50.03997765423033,9968.981930240507,123.40548326553404,0.0,123.09692333265511,300.0,0.0,1.0
NGC6503,2.28,110.0,2.0,-0.16843818014961753,0.0073397031803440205,8965.19649122807,-50.53145404488526,8914.665037183184,142.97079422035816,0.0,142.56730440314027,300.0,0.0,1.0
NGC6503,3.04,118.0,2.0,-0.15564357667997814,0.09427056381554605,5994.405526315788,-46.69307300399344,5947.712453311795,134.99256572122775,0.0,134.46577950567146,300.0,0.0,1.0
NGC6503,3.79,121.0,2.0,-0.0276281510837726,0.1780499265429344,3972.270026385224,-8.28844532513178,3963.981581060092,122.69842460276334,0.0,122.57034793218851,300.0,0.0,1.0
NGC6503,4.55,121.0,2.0,0.11336004794046795,0.11097613179335555,2781.8438021978022,34.00801438214038,2815.851816579943,112.50506344160692,12.439311292782198,113.19066112289804,300.0,0.0,1.0
NGC6503,5.31,117.0,2.0,0.1410555692421278,0.029513218507008512,2064.865423728814,42.316670772638346,2107.1820945014524,104.7111999740238,14.990047424965326,105.77871677139363,300.0,0.0,1.0
NGC6503,6.07,116.0,2.0,0.1582201400711209,0.015224540095502614,1599.6478583196047,47.46604202133627,1647.113900340941,98.53863455518349,16.974064777463035,99.98990636594031,300.0,0.0,1.0
NGC6503,6.83,116.0,2.0,0.16419687018729182,0.005591210512305142,1298.6750366032209,49.25906105618755,1347.9340976594085,94.18041463064388,18.342284127495162,95.94993427310807,300.0,0.0,1.0
NGC6503,7.59,116.0,2.0,0.1667187800498247,0.0023593523409395634,1073.3096179183137,50.015634014947416,1123.3252519332611,90.25752046228614,19.483805125628077,92.33655106280206,300.0,0.0,1.0
NGC6503,8.35,115.0,1.0,0.16778308574551995,0.00109551255909221,892.2091736526946,50.334925723655985,942.5440993763506,86.31307316971167,20.501137280466356,88.71439133417152,300.0,0.0,1.0
