galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,dsigma_dr,a_bar_kmps2_per_kpc,a_topo_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_topo_kmps,v_model_kmps,g_scale,lambda_reorg,l0_kpc
UGC08286,0.47,22.2,2.81,0.21869572142731455,0.013234728353648853,585.7917021276597,65.60871642819437,651.4004185558541,16.59283279009344,5.5530259067693315,17.4973768525814,300.0,0.0,1.0
UGC08286,0.95,43.4,3.47,0.225048391037066,0.006784651155306992,627.1592631578949,67.5145173111198,694.6737804690147,24.409041357660897,8.00866976754341,25.689299162210787,300.0,0.0,1.0
UGC08286,1.42,60.2,3.04,0.22526879780274003,0.00020463393312461498,634.5049295774648,67.580639340822,702.0855689182869,30.016612067320324,9.796147603214605,31.57469727272088,300.0,0.0,1.0
UGC08286,1.9,69.6,2.05,0.22523745070331028,-0.00018856406868256181,671.1044736842105,67.57123521099308,738.6757088952036,35.70852139195909,11.330725788796006,37.46309980368532,300.0,0.0,1.0
UGC08286,2.37,72.5,2.0,0.22509210141105324,-0.00013963378984441221,680.907341772152,67.52763042331597,748.4349721954679,40.17151229416189,12.65071081415028,42.11639685565776,300.0,0.0,1.0
UGC08286,2.84,74.3,2.02,0.2251061949408565,-2.5645710536148503e-05,590.4491901408451,67.53185848225695,657.981048623102,40.94967277036533,13.848843926104797,43.2280716443564,300.0,0.0,1.0
UGC08286,3.3,75.8,2.01,0.22506935170255396,-3.4460481494691386e-05,543.2208484848486,67.5208055107662,610.7416539956148,42.33944732752189,14.927111515143459,44.893735177478035,300.0,0.0,1.0
UGC08286,3.78,77.2,2.05,0.2250756671101613,2.7193171021150375e-05,489.7908201058201,67.52270013304839,557.3135202388685,43.028005996095146,15.97610110455373,45.89820373939401,300.0,0.0,1.0
UGC08286,4.25,79.3,2.08,0.22509490741776889,6.758800672301835e-05,453.32990588235293,67.52847222533066,520.8583781076836,43.89364532594667,16.94095649476898,47.04942196199285,300.0,0.0,1.0
UGC08286,4.73,81.3,2.08,0.2251404144106529,0.00013728692657913322,412.4932346723044,67.54212432319588,480.0353589955003,44.171178385911325,17.87384256528843,47.650469546991,300.0,0.0,1.0
UGC08286,5.2,81.6,2.03,0.225224489234335,0.00013465047767702298,343.7350961538461,67.5673467703005,411.3024429241466,42.27791976907094,18.744337897230796,46.246866955563185,300.0,0.0,1.0
UGC08286,5.67,82.1,2.02,0.2252669858596693,9.001405098227333e-05,296.6681128747795,67.58009575790079,364.2482086326803,41.01351240749809,19.574962144211096,45.44543258620494,300.0,0.0,1.0
UGC08286,6.15,82.9,2.0,0.22530999441073088,5.8330216701929505e-05,248.39430894308936,67.59299832321926,315.9873072663086,39.08484360976771,20.388647323640637,44.08312533938353,300.0,0.0,1.0
UGC08286,6.62,83.2,2.0,0.2253230184693856,-9.499051731309827e-08,220.4322658610272,67.59690554081568,288.02917140184286,38.20028272146687,21.15399524156607,43.66638426387282,300.0,0.0,1.0
UGC08286,7.1,83.5,2.02,0.2253093421385494,2.5075614079606012e-06,218.79415492957747,67.59280264156482,286.38695757114226,39.41368417187107,21.90682310959556,45.09265348984366,300.0,0.0,1.0
UGC08286,7.57,83.8,2.0,0.2253247871126929,2.222436373697234e-05,193.9337384412153,67.59743613380788,261.53117457502316,38.315511219348224,22.62106521658354,44.49484230259644,300.0,0.0,1.0
UGC08286,8.04,84.3,2.0,0.22533023304046215,1.1587080360091795e-05,179.68203980099506,67.59906991213865,247.2811097131337,38.00846747765556,23.313011862339767,44.58856492525404,300.0,0.0,1.0
