r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.76,206.0,16.0,271.27720940893465,113163.5680263158,-47495.833708448765,42.758960810611256,2.2418379772576063,0.4759639943834213,-16332.878099080288,96830.68992723551
2.28,214.0,10.0,237.31691575732552,40969.900789473686,-29866.13094702216,128.23182324887284,2.624352255614384,0.7561552290390633,-16268.44530501336,24701.455484460326
3.8,222.0,8.0,222.55952169550494,22370.52994736842,-9109.96690603111,125.34871432570023,2.607454704773408,0.7477736395846994,-9335.59818491265,13034.931762455772
5.33,224.0,8.0,184.68855947097484,13184.5017260788,-4518.10916067841,131.81507230211855,2.6462058339144643,0.7665834369275192,-6784.902476648442,6399.599249430359
6.85,225.0,8.0,152.6190732271697,8590.29700729927,-2553.8078749358806,135.63446104057255,2.670666453984933,0.7777276478335451,-5189.9201441284395,3400.376863170831
8.0,222.0,6.0,143.68015757181792,6365.8347,-1288.1638391803976,127.18547217177928,2.618152529887553,0.7531128647947062,-3785.3362400171973,2580.498459982803
10.28,220.0,3.0,123.97801904598062,4171.895038910507,-736.3869991060453,131.5736691343367,2.644701788497752,0.7658802415963013,-2676.7054273768945,1495.1896115336122
12.56,218.0,2.0,123.48857131565377,3007.9099840764334,-422.1882878285647,130.4989950275826,2.6380632159553876,0.7627510723477544,-1793.783611020597,1214.1263730558364
14.91,219.0,2.0,118.95514336154703,2217.163266264252,-278.2296109162502,132.68950191923818,2.6516942877033265,0.7691316178081279,-1268.1138945562568,949.0493717079951
17.15,217.0,2.0,122.95417187043799,1730.8360699708455,-179.7828274983405,130.88971846725948,2.6404661487721492,0.7638885234080224,-849.3358728661689,881.5001971046767
19.39,218.0,2.0,130.84269464448641,1411.7361990716863,-113.32259976132107,125.58804348689995,2.6088356391584773,0.7484692945964104,-528.8166146554764,882.9195844162099
21.64,220.0,2.0,136.58767189606212,1222.0175970425137,-81.4018693483703,122.34101488577603,2.590415465358003,0.7390300102872291,-359.9015104442549,862.1160865982588
24.01,222.0,2.0,130.58303663263885,1035.6595626822154,-75.51309924483819,130.2353429039686,2.636448558211181,0.7619836823056957,-325.45841915030786,710.2011435319075
26.25,218.0,3.0,125.09705668956255,873.9022095238097,-66.32171481610706,134.88929281375707,2.66579224908906,0.7755502500195862,-277.7394060041287,596.162803519681
28.5,217.0,3.0,121.52349901712155,737.8750631578948,-54.350602428561636,136.64237308921932,2.6773424129250465,0.7806756852536121,-219.7009995310758,518.174063626819
30.87,207.0,3.0,118.59930622151606,622.8024263038549,-43.150929532053716,137.2493329649866,2.6814100631331828,0.7824527163011802,-167.15631563897188,455.646110664883
33.12,199.0,3.0,116.60876462198998,538.5177687198068,-34.58067509311989,137.06676887143308,2.6801827644282388,0.7819180693990738,-127.96209279388094,410.5556759259258
35.36,191.0,3.0,113.93685812980516,467.5351951357466,-28.361214852869484,137.34176716678695,2.682032719332801,0.7827234620145042,-100.40828222592341,367.1269129098232
37.73,193.0,3.0,111.66559112862618,407.77256824807847,-22.954051709443203,137.02230590867313,2.6798843583427714,0.7817878766021717,-77.28743063595235,330.4851376121261
39.98,192.0,3.0,109.70232906497445,361.4874762381191,-18.86409628340822,136.43965173853528,2.675991856539148,0.7800824647287955,-60.471943414708946,301.0155328234101
42.22,194.0,4.0,107.71489915759318,323.0727759355755,-15.784818271743305,136.06428113514852,2.673501538001277,0.7789844030455965,-48.26227142277426,274.81050451280123
44.59,196.0,5.0,104.68380333155596,288.71946400538235,-14.495068324975994,138.69205647214085,2.691227147413559,0.7866824171312583,-42.953626823057014,245.76583718232533
