r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.13,232.0,33.4,480.4518596077933,173621.79923076925,186243.43641025625,16.057858126100957,2.122383991318266,0.33454676369898706,1602024.2730814365,1775646.0723122058
0.25,233.0,16.9,210.1981919150966,195971.0116,-9749.703238866408,0.8382988385692989,2.0122848899045724,0.17062983973008847,-19237.892062496892,176733.1195375031
0.38,234.0,14.6,0.0,171184.37342105265,-200490.50690799407,59.316802923855334,2.307984625033835,0.5409004369888403,-2034573.6604022617,-1863389.286981209
0.51,235.0,10.6,0.0,143843.47980392154,-191641.43082706776,83.17798089968089,2.4045735703444215,0.6215480150092766,-2119413.654352108,-1975570.1745481864
0.63,236.0,9.12,0.0,123274.0157142857,-157100.84289989667,92.69053219403659,2.4453301396490876,0.6511730094565791,-1883845.9573021305,-1760571.9415878449
0.76,237.0,10.3,0.0,104568.26907894737,-126498.43986911957,100.19178646292967,2.4790006046710396,0.6738898720418672,-1655348.3463495087,-1550780.0772705614
0.89,238.0,9.95,0.0,90384.42134831462,-94921.34522668057,101.08468385362752,2.4831171368542586,0.6765637355670373,-1380565.292979448,-1290180.8716311334
1.01,239.0,3.51,0.0,80837.93277227723,-73378.1050423813,100.03842124501394,2.4782960485893546,0.6734300223801771,-1160322.584241971,-1079484.6514696938
1.14,240.0,3.18,0.0,72039.8950877193,-63781.92919682644,105.17698046248036,2.502319510162502,0.6887497256702169,-1055457.695603704,-983417.8005159848
1.27,240.0,5.19,0.0,64254.631181102355,-51939.63042281958,106.06444914203676,2.5065609207517223,0.6913788391737269,-917876.827414981,-853622.1962338786
1.39,241.0,3.54,0.0,59054.9874820144,-40633.20656651474,102.32055951329673,2.4888569388852964,0.6802554257102382,-764046.657966544,-704991.6704845296
1.52,242.0,2.6,0.0,54096.32953947367,-36322.56280961245,105.75852739899777,2.5050956011633994,0.6904730552944944,-700928.300669223,-646831.9711297493
1.65,242.0,1.75,0.0,49611.121151515166,-32313.278157894645,108.4281525753445,2.51800183975627,0.6983604776051237,-639979.8647541915,-590368.7436026763
1.77,243.0,1.94,0.0,46018.01000000001,-27746.23176395535,108.07031583688673,2.5162559546346657,0.6973053806906636,-566518.2352321034,-520500.2252321034
1.9,244.0,3.09,0.0,42674.56321052633,-23841.64399393711,107.79512774149214,2.5149167351821373,0.6964935449050226,-499079.6982649474,-456405.1350544211
2.03,244.0,1.6,0.0,39819.18256157637,-20381.84817438899,106.69284983546994,2.5095817598899144,0.6932378076373822,-435091.73297064565,-395272.5504090693
2.16,244.0,3.0,0.0,37375.282685185186,-17372.09936911249,104.89777217285067,2.5009910140173046,0.6879216364647875,-375595.95163734973,-338220.66895216453
2.28,245.0,2.19,0.0,35476.157719298244,-14634.10650837564,101.42056088107009,2.4846721673140157,0.6775680794581201,-317579.57365249924,-282103.415933201
2.41,245.0,3.01,0.0,33716.756058091276,-12532.007733218557,98.77236375676061,2.472507210600269,0.6696271291412871,-270470.3368791659,-236753.58082107463
2.54,246.0,2.64,0.0,32217.835708661416,-11005.774006801192,97.0205653019065,2.464575432199599,0.6643444500819267,-234920.45659858594,-202702.62088992452
2.66,246.0,2.38,0.0,30965.312556390978,-9899.5709350041,95.90640544552423,2.459575901213379,0.6609713737408659,-208713.62575581702,-177748.31319942605
2.79,246.0,3.72,0.0,29742.94297491039,-9129.163019838828,96.29337039485573,2.4613084388548456,0.662144100487306,-190396.08039915908,-160653.13742424868
2.92,247.0,3.54,0.0,28591.730171232884,-8585.891768062618,97.60101733141934,2.467193813474224,0.6660976040631365,-177599.3858849608,-149007.6557137279
3.04,247.0,3.74,0.0,27596.470032894737,-8127.0835871397285,98.74247229505372,2.4723711187609037,0.6695371947991692,-166757.97870506495,-139161.50867217022
3.17,247.0,5.11,0.0,26559.959274447952,-7802.000592718685,100.88282115228937,2.482184291263663,0.6759597401215185,-159195.49045099967,-132635.5311765517
3.3,247.0,3.63,0.0,25567.94987878788,-7507.296162119281,103.0173532035666,2.4921152108116047,0.6823322809416127,-152325.87783954584,-126757.92796075795
3.42,247.0,3.84,0.0,24683.135233918132,-7221.408754588119,104.71915363307347,2.5001425942289583,0.6873916400142018,-145661.0795250375,-120977.94429111936
3.55,248.0,5.12,0.0,23762.59769014085,-6675.648265905841,104.54685680188993,2.499325276068126,0.6868802211564701,-132936.75072623004,-109174.15303608918
3.68,248.0,2.77,0.0,22947.466684782612,-6204.123497405511,104.42119524958675,2.4987298420027804,0.686507114674541,-121825.64669591379,-98878.18001113117
3.8,248.0,3.24,0.0,22211.566815789472,-6089.594372718246,106.82955896251165,2.510240907563546,0.6936419443639777,-119148.84474782982,-96937.27793204035
3.93,248.0,6.79,0.0,21425.06809160305,-5902.145862168679,108.80337807175553,2.5198380239346676,0.699466177530967,-114798.66830922838,-93373.60021762532
4.06,248.0,8.39,0.0,20677.008891625617,-5702.195715694509,110.50220063405233,2.5282229400423675,0.7044640553944755,-110144.45259516692,-89467.4437035413
4.18,248.0,2.73,0.0,19999.519162679426,-5533.573478335413,112.11486464764715,2.536295251656201,0.7091970627561035,-106245.98614931463,-86246.4669866352
4.31,248.0,13.7,0.0,19293.615522041764,-5287.556290970749,113.14940444512642,2.5415340338484853,0.7122280627769788,-100640.18189948879,-81346.56637744702
4.44,248.0,4.89,0.0,18624.754527027028,-5059.784895184595,114.16703144399268,2.546734871793181,0.715205859312347,-95456.72297838412,-76831.9684513571
4.56,248.0,5.71,0.0,18028.669298245615,-4869.221604909821,115.16563797983792,2.5518859121120947,0.718124770270871,-91140.65195315225,-73111.98265490663
4.69,248.0,15.1,0.0,17407.449125799572,-4646.772675984569,115.94538989345382,2.555941629670213,0.7204019348856202,-86157.54845361598,-68750.09932781641
4.82,248.0,10.5,0.0,16820.508402489624,-4431.1552886233985,116.61082702554866,2.559426628394099,0.7223439568796127,-81346.243536745,-64525.735134255374
4.94,248.0,1.58,0.0,16299.660303643723,-4301.203617143974,117.83437973741644,2.5658934892192065,0.7259119593423226,-78405.52954156802,-62105.86923792429
4.99,248.0,4.77,0.0,16089.303787575149,-4156.843634461666,117.32086143205905,2.5631699584630323,0.7244149113703752,-75283.63863974622,-59194.33485217107
5.07,248.0,4.36,0.0,15759.270631163707,-4038.3277430318453,117.6783753837931,2.565064636546204,0.7254572253286793,-72678.50299200467,-56919.23236084096
5.2,248.0,8.45,0.0,15241.254961538461,-3791.5252727388765,117.47806244849895,2.5640022398840983,0.7248732584891311,-67342.02685750414,-52100.77189596568
5.45,247.0,8.25,0.0,14318.491027522934,-3638.3460127261933,120.57826014562963,2.5806867045347577,0.7339024581057034,-63835.65591640853,-49517.16488888559
5.58,247.0,2.34,0.0,13858.683476702508,-3466.0409521969996,120.92018712877378,2.582559615279406,0.7348973474940658,-60153.79716743504,-46295.113690732534
5.7,247.0,2.34,0.0,13451.980789473684,-3383.4040268786484,122.10355787883417,2.5890942020533116,0.7383394781722477,-58322.85823385611,-44870.87744438242
5.83,247.0,6.13,0.0,13012.832469982846,-2923.101448823689,118.04709058852313,2.5670256885178016,0.7265319017538346,-48928.02208253564,-35915.18961255279
