r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.22,12.4,7.0,187.15467337998925,6668.047727272727,4919.477501665,19.445174407607315,2.1396436877509144,0.35712585509553485,152545.00576350206,159213.0534907748
0.78,37.5,4.0,133.63208171831593,9422.955128205127,1329.4767477662208,11.855955730032273,2.0991393038706625,0.302879874954852,13471.318287654698,22894.273415859825
1.33,56.5,4.0,0.0,8143.766917293232,-2444.4600162586034,53.604751193622555,2.2853146742340327,0.5196058076115463,-51327.94500646065,-43184.17808916742
2.33,69.1,4.0,0.0,5634.042103004292,-2265.886103754094,101.22308694816762,2.483757472921124,0.6769776862538024,-53143.59224114586,-47509.55013814157
3.44,85.5,7.5,0.0,3362.747238372093,-1913.85605717136,134.29068863545277,2.661913540983266,0.77380232898035,-43440.77279125051,-40078.02555287841
3.78,87.1,8.4,0.0,2858.95082010582,-1182.1829774175826,125.76137619759992,2.609838166035939,0.7489731219125403,-27225.22444877435,-24366.27362866853
4.77,105.0,4.0,0.0,1790.4438784067086,-886.1870970694164,140.30529985279534,2.702463295764133,0.7914226912355151,-19549.80288993754,-17759.35901153083
5.44,112.0,6.7,0.0,1387.8802389705884,-515.5596644923892,135.37495182449194,2.668963142591491,0.7769691585638728,-10745.869264001098,-9357.989025030509
6.11,116.0,4.0,0.0,1099.5939279869067,-319.0156498309665,130.7057232274171,2.6393330804962734,0.7633528558419416,-6093.250985975707,-4993.657057988801
7.22,124.0,4.0,0.0,820.0323822714682,-181.29490949910593,126.61824916213989,2.6148241153623815,0.7514638969817681,-2976.425686001054,-2156.393303729586
9.33,135.0,4.0,0.0,515.8243193997856,-112.29548256741195,135.5470877845091,2.670092269574703,0.7774722505776112,-1565.3210761341068,-1049.496756734321
11.1,140.0,4.0,0.0,384.32590990990985,-49.84796338609677,122.28667939064037,2.5901128308462713,0.7388720054235015,-539.0586020022793,-154.7326920923694
15.55,144.0,5.0,0.0,205.76998713826367,-40.12492646553846,146.9491543579315,2.75199847669388,0.8110959156376567,-373.54698320504303,-167.77699606677936
