r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.47,15.3,4.4,12.992405473968244,72.61514406794372,359.15446808510643,434.1791157386451,80.05220721979062,2.3289072699845645,0.5628223511664829,10859.907548953663,11219.062017038768
1.41,41.0,4.36,32.891774047624736,73.30584254342996,767.2828368794328,192.6659800814848,79.70386871652772,2.3279713233150074,0.5622167386155931,3043.8849297887564,3811.167766668189
2.35,60.7,4.4,41.172943785937875,0.0,721.3665106382979,-115.18261872426665,80.05569833065358,2.3156482364606714,0.5542429765333756,-1544.0867106757805,-822.7202000374826
3.29,74.9,4.4,42.56680631665946,0.0,550.7395136778115,-132.54744087153324,81.02083634959241,2.310733657978414,0.551062955162503,-1176.8885767354122,-626.1490630576008
4.22,83.0,6.28,44.701026833843535,0.0,473.50279620853075,-62.40248422921576,81.15292991896891,2.3149592165664816,0.5537971401312528,-653.9772915418297,-180.47449533329893
5.17,86.8,4.4,47.33704785894448,18.29155199123978,433.42284332688587,-34.44660802692463,80.84443003103279,2.3433299066750704,0.5721546454956338,-368.7070069152364,64.71583641164949
6.11,89.4,4.4,49.95313904050475,24.684801647558707,408.3987070376432,-33.82171008409122,80.99768055911652,2.369286427486644,0.5889500413148874,-308.6704856989661,99.72822133867709
7.05,92.5,4.4,51.06229626642343,27.4647585517562,369.83802836879437,-32.609796103558246,81.61952948939577,2.334282569803201,0.5663004863432477,-262.8432819423737,106.99474642642065
7.99,94.7,4.4,52.661821085108706,31.00529287307663,347.0922903629537,-31.23581647020727,82.25309376361936,2.315621173048574,0.554225464913783,-226.77587157130708,120.31641879164661
8.92,96.3,4.4,52.706065115885856,35.125326707775386,311.4270515695068,-25.12358564974202,82.12322134032677,2.321751431485458,0.5581921027258845,-173.10994660000466,138.3171049695021
9.87,97.8,4.4,54.40236851461524,47.340520766918985,299.8599493414387,-10.020616555980144,81.31527140061162,2.3356838776776208,0.5672072149678722,-72.79562244345617,227.06432689798254
10.79,98.8,4.62,56.197054193258204,50.30459465640288,292.6884986098239,-8.603346018660607,81.34036591045881,2.3405736129199894,0.5703711613011696,-58.16095055190018,234.52754805792372
11.8,99.5,4.4,57.813621232370494,50.1242541687039,283.25549152542374,-11.735446044189297,81.82917398614431,2.3379666082875157,0.5686842759507453,-70.33677491789577,212.91871660752798
12.6,99.7,5.14,58.48278806623364,49.06623341483268,271.4473412698413,-14.760187819478096,82.16404841832306,2.3353091208143493,0.5669647252328143,-80.37628876834576,191.0710525014955
