r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
2.61,120.0,10.5,126.30913070716623,87.77502458072435,6112.6423371647525,-977.6276661562241,22.744389920252154,2.0689886713625922,0.39463972852873613,-3160.743892664076,2951.8984445006763
3.5,148.0,7.5,135.4582518711946,110.04191394373133,5242.553714285713,-426.0679885336442,25.465574880190488,2.060449403068091,0.3891143196322942,-1782.7757644572641,3459.777949828449
4.37,168.0,6.2,153.08583507300733,177.0340230892918,5362.762677345539,490.7216084433248,29.820415022379745,2.0705047485890664,0.39562071967527823,1809.1012428329275,7171.863920178466
5.24,182.0,6.1,178.7321593894059,205.85389069557812,6096.409312977098,598.5220047612502,35.51577462910888,2.101511591080911,0.4156839706994128,1990.5800600204245,8086.989372997523
6.11,190.0,5.2,197.8120491780013,203.8602076745822,6404.190965630114,64.02854587984139,42.15504024681875,2.1374551448889623,0.4389415643399167,397.60678774530095,6801.797753375415
6.98,194.0,5.7,208.15997814181284,164.41146137292628,6207.818982808022,-744.4939292917786,50.15925163001553,2.1844650930706875,0.4693597661045624,-2335.164451177474,3872.6545316305483
7.85,195.0,6.1,200.25947293449065,133.85792405953453,5108.77152866242,-1117.61358681891,58.32517328854776,2.2272229925509404,0.49702664223884374,-2826.230912926354,2282.540615736066
8.72,193.0,4.8,192.80781649092964,117.17228767370135,4263.171341743118,-947.9487544737634,65.39125959529038,2.2598655999169757,0.5181483293580431,-2688.705172168735,1574.4661695743835
9.6,192.0,3.9,181.98534995982507,94.41004193611961,3449.8612083333337,-829.3823958548479,71.16103193274103,2.296787665996689,0.5420390779978576,-2521.397039752098,928.4641685812358
10.47,192.0,3.5,171.5781017496114,84.2614127250177,2811.7521489971346,-613.6040737361026,75.14591555290674,2.32003465861111,0.5570812496895416,-2133.625532529534,678.1266164676003
11.35,191.0,4.4,164.22001644135833,90.47433389349496,2376.054079295154,-416.6160165726328,77.65587722152175,2.327263014449071,0.5617584211141048,-1654.8553926456732,721.198686649481
12.19,189.0,4.8,159.81287182201564,98.57531847082383,2095.1726004922066,-305.47801348492936,79.23749906754023,2.3305181312303893,0.5638646731490754,-1298.0361434270433,797.1364570651633
13.12,185.0,5.3,155.1769857291989,96.29283143076108,1835.3579954268293,-272.49426320399095,80.01970943518411,2.3244058953430597,0.5599096969866857,-1128.6270971834626,706.7308982433667
13.94,182.0,4.5,150.1972319984626,94.55316608733294,1618.3076398852224,-240.08041769320877,80.34386696905707,2.319025902640535,0.5564285252379932,-976.9660891579076,641.3415507273148
14.86,179.0,6.6,145.1406369698025,95.37086882813242,1417.618068640646,-200.12505107173226,80.57191149122846,2.319646502665289,0.5568300899598929,-805.5317549776016,612.0863136630444
15.68,176.0,6.2,141.12055838891797,98.28163042700616,1270.0900510204083,-162.8241307343642,80.77169739304856,2.3275845797040016,0.561966492749648,-654.0646122837613,616.025438736647
16.61,174.0,6.6,137.16320825935796,98.82115628028335,1132.6758398555087,-138.04352866884122,81.23638492133345,2.333115939752775,0.565545608075325,-544.7396009288269,587.9362389266818
17.42,178.0,8.7,133.94311815095242,99.12512333979905,1029.8943111366243,-119.42998093734795,82.0201936347744,2.3365474418963927,0.5677659918153128,-465.84206790296344,564.0522432336609
18.35,177.0,6.2,130.27402580714238,96.77625473990915,924.867673024523,-108.99230321124368,82.97129122278126,2.338688130120699,0.5691511430192758,-414.4783824804474,510.3892905440756
19.16,169.0,5.9,126.88241012843348,95.50223207956,840.2477035490605,-97.2789559357223,83.83849881036619,2.343385182997098,0.572190412527534,-364.220755105525,476.0269484435355
20.09,158.0,6.3,123.20734556023842,94.68593194988007,755.6022896963664,-84.11866396062256,84.65643750116033,2.3510939867123772,0.5771784619903617,-309.3391881922688,446.26310150409756
21.02,158.0,7.6,119.88829175528359,94.49701228105394,683.7869885823026,-71.67186809795578,85.39049620117032,2.3588178244282703,0.5821762393359395,-258.9684666962103,424.81852188609224
21.95,158.0,8.9,116.87310597395793,93.43847204149435,622.2926150341686,-63.573593017928346,86.07246427916431,2.3636710479474727,0.5853165604366,-224.53643929616757,397.75617573800105
22.76,159.0,9.0,114.21613283595273,91.05434114988712,573.1689367311071,-60.646516423532574,86.64076426572753,2.3674034240320267,0.5877316273148409,-208.89419849560502,364.2747382355021
