r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.71,24.1,7.55,14.239764745247726,13.948198268852593,285.59281690140847,-0.23646101963903754,35.133591712759724,2.054476408743697,0.3852494409518038,-11.575584581376816,274.01723232003167
1.42,33.6,5.02,20.132148419878092,24.66452419136477,285.42492957746475,5.883397108354315,43.81438066831297,2.1498320297623064,0.4469501369050217,142.98264337071694,428.4075729481817
2.14,44.8,3.38,25.08332115171354,26.124983160780335,294.00607476635514,1.0647406954300964,52.54283444500183,2.2199420761381052,0.4923154610305387,24.92604913600753,318.93212390236266
2.85,54.4,2.9,28.597209654090378,3.671247305274374,286.9475087719298,-32.19865456409166,61.839659542880305,2.284039043562779,0.5337899693641511,-282.2183660433388,4.729142728591
3.55,57.4,2.89,29.707763295138864,0.0,248.6059718309859,-44.70307451277278,70.97011231396212,2.312957769511566,0.5525020861545427,-293.1454294817901,-44.53945765080417
4.26,61.4,3.44,30.88499473854577,7.385288138603477,223.91617370892018,-25.51768073228102,76.45786715256718,2.3148405154287337,0.55372033351271,-211.11277443892084,12.803399269999346
4.97,63.8,3.64,32.48820093510873,14.961656505314316,212.37086519114686,-19.81030742238942,80.09094582445476,2.3377641596279193,0.5685532797592419,-167.33038925895085,45.04047593219602
5.69,65.5,3.82,33.3600434651995,25.58341198903453,195.5874340949033,-7.4871434903125005,82.22872472506185,2.3309631881716295,0.5641526511698779,-80.55914428810618,115.02828980679712
6.4,67.6,3.54,35.92563430198554,34.36290575191804,201.66424999999998,-1.374592065803221,84.94245401970664,2.33728958599802,0.5682462027046011,-17.16279816949966,184.50145183050032
7.11,69.2,2.91,37.10456171416124,31.81939664931156,193.63551336146273,-5.0326388638737685,89.07600225694517,2.3561460479489575,0.580447442790502,-51.23410645200848,142.40140690945424
7.82,70.3,2.79,39.001666631055656,32.32374167128787,194.51790281329923,-6.637105337434034,93.59172605340765,2.3702043315644805,0.5895439792476049,-60.908660405095645,133.60924240820358
8.52,71.4,2.93,39.623751715353755,26.35990411423079,184.27719483568075,-14.87216790950806,98.95562711549988,2.43013218917409,0.6283208282891171,-102.72267078504208,81.55452405063866
9.25,73.2,3.0,40.03209962017981,28.30551858940879,173.2507027027027,-11.882572907546358,104.16470561632917,2.5023474953617226,0.6750483793517028,-86.63422890644685,86.61647379625586
9.95,73.0,2.81,40.798123731367845,30.54773265320405,167.28511557788946,-9.698314825144099,108.92153554668094,2.5527363918856683,0.7076529594554324,-73.49979193450966,93.7853236433798
10.66,73.1,2.79,41.24416322341865,29.65248104237488,159.57607879924953,-10.857798279774531,113.3497133137141,2.590812757600649,0.7322906078592435,-77.09299887726063,82.4830799219889
