r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.91,33.1,3.9,26.268760536354364,1091.7696703296704,-128.36070530776445,23.57103941871698,2.066643347789158,0.39442889852610524,0.3071171433968667,-2614.8382503880835,-333.47540646557326,0.30544483468282935,758.294263864097
1.36,46.7,2.7,31.102655671308995,1034.0073529411764,-132.6284265185365,27.71622180163815,2.0790916130271593,0.4027277420181062,0.31458764055137917,-2097.1169966497555,-322.70206631763995,0.3120887539143043,711.3052866235364
1.82,53.9,4.7,34.669313299137386,971.0778021978022,-100.8236874553278,32.791293532070924,2.0946822255078485,0.413121483671899,0.3242941183412207,-1551.3665311230345,-310.6595139375031,0.3199120742276259,660.418288260299
2.27,58.8,2.5,37.82935427301806,942.2577973568281,-100.86385701716581,38.48065793371838,2.1124529268140346,0.4249686178760231,0.33611877524070516,-1460.05102760691,-311.8348701702598,0.3309443244141917,630.4229271865682
2.72,65.6,2.6,39.55114498719889,880.3003308823529,-153.7625017950034,44.465989936572555,2.131293858977156,0.43752923931810395,0.3499968828856207,-1820.0221183328283,-305.192584632931,0.3466914346459768,575.1077462494219
3.17,70.8,2.7,40.33361630355096,803.871545741325,-174.48109499680368,50.59457472914987,2.150644283465728,0.45042952231048533,0.36452914666199315,-1880.3674064012976,-290.68523529272187,0.36160657362819565,513.1863104486031
3.63,82.1,4.9,40.411551235325426,721.5225344352616,-169.66098540848054,56.30176398312341,2.1689752404815463,0.46265016032103085,0.3793517745186437,-1806.1085087762706,-271.6345252767679,0.37647407019571083,449.88800915849373
4.08,84.1,6.6,40.17789405235222,649.4800490196077,-143.42842773299296,61.663851956527786,2.186746031052198,0.47449735403479865,0.3940456574669951,-1624.10047106643,-253.82731115636258,0.3908161790951327,395.6527378632451
4.54,83.4,6.2,39.960822936267,591.002665198238,-129.57771468383842,66.8835787795744,2.2048554360270516,0.48657029068470103,0.4083622527247685,-1495.5425387400192,-239.26976437363825,0.40485395153570214,351.7329008245997
4.99,81.5,2.7,39.25646473557674,531.5643286573147,-127.21385731029292,71.84249721984885,2.2229588914728535,0.49863926098190237,0.4223771507112137,-1445.6370952472807,-222.73266061411223,0.4190135579201027,308.8316680432025
5.45,80.8,4.0,38.33232525929728,475.2380550458714,-108.45623748894718,76.18810416152972,2.23961542005904,0.5097436133726934,0.4365481724342579,-1266.8677435953482,-205.6294018743925,0.43268715476614034,269.6086531714789
5.9,82.8,12.4,37.68773336269472,432.8691525423728,-69.20027819679011,80.04570321744455,2.2551912626897908,0.5201275084598604,0.4513254048530335,-867.712675898192,-192.12928033600454,0.4438507091752105,240.73987220636823
6.36,88.2,11.7,38.10585173533859,412.2658018867924,-40.02493566564344,83.94588508236794,2.2719307655205427,0.5312871770136951,0.46686531213704036,-514.0394560848088,-183.9551200510052,0.44620514049215027,228.31068183578722
6.81,88.5,8.5,38.212298569315934,396.44646108663727,-38.09727910898575,88.25852394048201,2.2916128346740074,0.5444085564493383,0.4831024594293218,-481.6418317233608,-182.02946226864248,0.45915269812148163,214.4169988179948
7.26,88.4,8.9,37.60175747039861,377.97825068870526,-50.058569675453725,93.03530738677816,2.3146298398614453,0.5597532265742968,0.4999196283212819,-614.9061321310207,-183.2272637930196,0.4847561029217039,194.75098689568566
7.71,88.2,10.8,36.500107773934594,351.3937483787289,-67.132313089529,97.96772942302626,2.3393395177348237,0.5762263451565491,0.5171459920276629,-791.8707437282949,-178.59765661363932,0.5082550769262646,172.79609176508959
8.17,89.5,3.1,34.974975017040386,316.88784577723385,-73.9988285643716,102.62773136180519,2.363476965567391,0.5923179770449272,0.5344783286604166,-850.0403137480765,-167.16338097397815,0.5275159120223589,149.7244648032557
8.62,89.7,9.5,33.42769025876176,284.0548143851508,-65.8873773367035,106.67015578787486,2.38515306542758,0.6067687102850534,0.5513408638795363,-758.8580985336636,-154.4248287661582,0.5436444691156445,129.62998561899258
9.07,93.7,7.3,32.18277134190638,257.5892061742007,-53.53904743729888,110.12311358460238,2.4042701253803673,0.6195134169202449,0.56696186213621,-619.4472565374316,-143.39617737095585,0.5566855051914747,114.19302880324483
9.53,97.0,5.7,31.052598192516683,235.3342812172088,-50.68657703793135,113.22310635771676,2.4219267296730935,0.631284486448729,0.5806820448630634,-576.6392111532247,-134.15234475279217,0.5700501603885422,101.18193646441662
9.96,96.2,1.5,29.74385816743222,212.47815261044175,-49.11412926147615,115.88743010305271,2.437543085270945,0.6416953901806302,0.5921233029349094,-548.6183108524208,-123.65314270237707,0.5819569738498396,88.82500990806469
10.45,94.8,2.1,28.560513734420198,190.14928229665074,-42.58037634356675,117.89487836816544,2.4498156918432987,0.6498771278955324,0.6012851233205108,-465.7793702458723,-112.09158423215268,0.5894925443751047,78.05769806449806
10.93,92.5,13.9,27.524229483958013,171.17518755718206,-37.90748503290748,119.19390203888074,2.458075501236005,0.6553836674906701,0.608237928814263,-403.3525835384466,-101.86290862894934,0.5950798715784754,69.31227892823271
11.32,92.8,10.6,26.85755155022139,157.1697703180212,-30.089958423412067,119.88552833169082,2.4624908822692873,0.6583272548461915,0.613150478017642,-313.7427186669162,-93.44820889816259,0.5945685910787881,63.7215614198586
11.8,93.5,12.1,26.411201272075765,144.99692372881353,-25.36009706084928,120.21109839819837,2.4644404755009464,0.6596269836672976,0.6162585257884126,-255.49982135571008,-85.8823853699918,0.5923048790374124,59.11453835882173
