r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
1.07,22.1,7.17,19.898688810401485,316.6452336448598,42.21592349434218,15.989450499422377,5.080196679397921,45.55489215499129,2.132160857559826,0.43810723837321736,0.3189437845893784,125.81537764245137,53.40880034878245,0.16867078570550734,370.05403399364224
1.78,42.7,10.66,24.65911685473954,346.61853932584273,1.1647627762596997,-5.399841643576638,-2.083912740688685,47.089306170464354,2.1370123632684637,0.44134157551230907,0.32697898611098253,-7.244844559939104,-5.005031429382186,0.014439595294345027,341.61350789646053
2.49,60.6,7.69,25.15527218700316,318.29919678714856,-47.86528076217435,-30.6415581600992,-9.281202812689285,49.06729862597484,2.1433413737776337,0.4455609158517558,0.3379955138450975,-145.59588432015195,-64.16758281035548,0.2015951766704121,254.13161397679306
2.97,76.8,11.1,24.119512081207752,289.65885521885525,-64.73053722065289,-44.76987516421511,-11.423531624305888,51.67695858177021,2.1518573195743302,0.45123821304955347,0.3521209916564669,-196.85417780775285,-93.78314375908198,0.3237710225990605,195.87571145977327
3.04,81.6,17.5,23.926812384719863,282.6974013157895,-83.99265908827063,-49.151455863975166,-11.453740088321915,55.446382524179455,2.1646883546777307,0.45979223645182044,0.368310255927679,-206.23328954038993,-94.37754904816319,0.333846539122367,188.3198522676263
3.19,87.0,8.93,24.429269799300627,271.18047021943573,-28.425661526237352,-40.9122601882763,-11.405020138553642,59.02547610651321,2.176757134723165,0.4678380898154432,0.38551236623489443,-171.6895959327985,-84.09920911378632,0.3101226612880136,187.08126110564942
6.95,90.0,24.8,26.629247544733783,171.55306474820142,-20.74314072254063,-28.586288337345323,-10.548477075694034,62.68050106626903,2.189342552077752,0.47622836805183455,0.40389320684647223,-124.43500693515958,-69.52186693543736,0.4052499268228097,102.03119781276406
8.58,97.8,9.4,30.139580709456887,159.37494172494172,-6.669302383679985,-11.853390485001853,-8.853081717429248,65.06932253928751,2.197697016859253,0.48179801123950194,0.42378656609174337,-70.34181165291126,-53.501477232882785,0.3356956661682654,105.87346449205893
9.26,93.7,25.3,31.951347348325022,156.14697624190066,-3.1006779659980097,-7.167860176458248,-6.6814875415188695,67.56457478633993,2.206648649543972,0.4877657663626479,0.4441693663388739,-51.96209051022964,-45.89982749748202,0.2939527143092074,110.24714874441864
9.89,103.0,23.8,33.600243348942215,155.31305358948433,-0.3281698265532795,-5.107129981594724,-5.605165984347793,70.56928073854263,2.2177493072202785,0.49516620481351903,0.4645631418447837,-43.014516247172416,-41.159731738307805,0.2650114126730078,114.15332185117651
10.08,97.4,11.0,34.438924118519694,155.87787698412697,-4.998009983519341,-6.203494218126197,-5.4584148626,74.41718684958869,2.232388116938428,0.5049254112922854,0.48377432100096623,-39.92523029298446,-38.21522872607566,0.24516133697386133,117.66264825805132
11.84,106.5,9.48,36.07898940508265,145.5669341216216,-10.439489748223002,-6.5502698574107745,-5.979752122094886,78.17670877779965,2.247200470212202,0.5148003134748013,0.5030363657430044,-37.96487426415737,-35.626606715197106,0.24474381445329452,109.9403274064245
14.56,112.0,11.0,33.45213249289745,109.10896291208792,-12.151123566337354,-7.165219877470479,-6.116611679027544,81.20537848721555,2.2593136794729274,0.5228757863152849,0.521848060842938,-34.92787227905317,-32.25146508774965,0.2955895118693002,76.85749782433827
15.43,111.5,9.4,33.81509929411254,101.94440051847052,-4.834556162420894,-6.759933508888961,-5.7925176119161055,83.0742842100176,2.2671117994269485,0.528074532951299,0.5399085343782493,-29.364913379172677,-27.83805312568433,0.27307093851261177,74.10634739278619
17.93,111.0,24.3,35.374067933763,92.81650864472951,-3.402919926851801,-5.294208503961127,-4.800653607143969,85.13352029289511,2.275672174438936,0.5337814496259572,0.5543528124929481,-23.77287871139337,-23.027067362940347,0.24809236739425575,69.78944128178917
19.02,112.5,7.75,36.75219645269341,89.72791798107255,-2.971578140611752,-3.4861567354104235,-3.798346292688623,86.81917682311264,2.2828007356491913,0.5385338237661275,0.5651380250751056,-18.04347543815884,-18.711937744617757,0.2085408662726901,71.0159802364548
20.1,106.0,10.7,37.60405883095922,86.368184079602,-3.110864723583836,-3.1414184476430123,-3.1709020004377866,88.73426675679406,2.2908603548135873,0.5439069032090582,0.5729309361859729,-15.11160359744791,-16.016679574017832,0.18544652460512448,70.35150450558417
