r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.92,234.0,12.0,240.27774300781107,86727.61967391304,-26974.06057373099,-22447.816358309705,-2558.3557236909623,44.29212386862257,2.1286258891939234,0.4357505927959489,0.3284203207635149,-99746.16584183082,-23973.930777252488,0.27642786539503805,62753.68889666055
2.32,192.0,12.0,261.926128794779,48963.934870689656,-19968.876269619817,-19235.905776661017,-2558.3439946730314,47.97303722296568,2.140793963420294,0.44386264228019606,0.34204084373934895,-72381.9709433965,-19392.68618731933,0.3960606156048133,29571.248683370326
3.24,212.0,6.3,294.7312230681207,40399.826728395055,-11348.023800735738,-15201.581218061523,-2557.9296513249683,52.02876686572391,2.1543669846614923,0.4529113231076615,0.3594355981276914,-42848.82897166729,-13589.180478015323,0.33636729606229115,26810.64625037973
4.17,223.0,4.41,267.9920893443745,27970.09083932854,-10914.507665487541,-10645.799037737741,-2551.9836858301437,56.48664140155824,2.169501617103913,0.46300107806927543,0.3801624825478167,-35300.738887215004,-10747.12682226302,0.38423639322442116,17222.96401706552
5.1,222.0,4.01,246.12933387203842,20098.842470588235,-6802.437780733524,-7234.219551083158,-2527.0229616327883,61.06473414368233,2.18509727212899,0.47339818141932655,0.4038162365487965,-30413.071341766125,-8220.479923079733,0.4090026545115333,11878.362547508503
6.03,224.0,3.85,229.49348897128883,15317.556567164182,-4195.149672112077,-5384.2274071421125,-2425.6301070024947,65.66120213494987,2.200745428059527,0.48383028537301787,0.42707050159842913,-26265.733015721486,-6583.3506832147505,0.42979117813916196,8734.205883949431
6.96,224.0,3.23,218.18841305239647,12295.86408045977,-2910.978836346908,-3526.728973089114,-2212.1421820008595,69.6176974951495,2.214560609117413,0.4930404060782754,0.4492740568742667,-22049.556567680942,-5455.895173804142,0.44371791507312547,6839.968906655628
7.89,226.0,3.4,203.5584319353975,9903.135931558934,-2098.0630810305074,-2446.916570596678,-1903.2481415636776,72.99774470676562,2.226695559676557,0.5011303731177046,0.46953165071326824,-17769.5034745525,-4651.420442078851,0.46969166880320024,5251.715489480083
8.8,226.0,3.21,198.29984613452893,8435.428011363636,-1627.0154952225537,-1807.5656795168986,-1574.9164823602846,75.83901892476479,2.237207332335809,0.5081382215572059,0.4876020589141922,-13846.063963127193,-3966.924718525244,0.4702695243420099,4468.503292838392
9.73,227.0,2.75,184.37618711375214,6909.427420349434,-1403.3757682713451,-1390.379705121552,-1287.9134610796436,78.24358421000599,2.2464240572662946,0.5142827048441964,0.5032766957948632,-10610.016246716024,-3415.6372482419993,0.4943444717549777,3493.790172107435
10.64,227.0,2.65,176.5268243931582,5853.216597744361,-998.3952167131795,-1102.5923496290582,-1050.4304838152473,80.02639633088259,2.25349063434319,0.5189937562287934,0.5170546046273674,-8088.069714937544,-2924.4835403822453,0.4996369930183766,2928.7330573621157
11.58,224.0,2.35,171.4865809226037,5062.396269430053,-825.0489643701741,-877.133152358258,-852.1188909753403,81.63170556164576,2.2600181061614184,0.5233454041076122,0.529328382992487,-6165.922334615476,-2522.875765412375,0.49835604151478485,2539.5205040176775
12.52,220.0,2.43,162.54682474737655,4302.124544728435,-659.1263035680388,-689.2073663833872,-692.3945690719972,83.00235729200637,2.265733272008469,0.5271555146723127,0.5403623374270021,-4717.13045178689,-2191.7834716090783,0.509465369684557,2110.341073119356
13.46,218.0,2.3,160.75700264395402,3823.238818722139,-499.7195088685522,-569.0746419654736,-566.7826574496728,84.4055188306101,2.271684521841266,0.5311230145608439,0.5503118678352928,-3661.608293587225,-1903.2675037839342,0.4978154894388923,1919.9713149382048
14.4,217.0,2.77,156.20175134959194,3362.651868055556,-463.7468383969917,-472.7814506651107,-476.7534410415783,85.79030512007037,2.2775832707686017,0.5350555138457345,0.5595215502021694,-2913.4770317637876,-1668.2777621750176,0.4961196780503165,1694.3741058805383
15.33,216.0,4.43,151.3053769944559,2956.032230919765,-397.73159462361076,-406.298882617055,-413.1644880518634,87.04167355268918,2.2829546701777628,0.5386364467851752,0.5671568496647613,-2399.374764301873,-1462.665165855549,0.4948069072306573,1493.367065064216
16.27,210.0,4.47,146.60999649926345,2618.893786109404,-343.5830078683595,-371.6976735088967,-371.4163166758419,88.1317379802505,2.2876753177874614,0.5417835451916408,0.5734136890350979,-2061.830083779993,-1297.7818578049146,0.4955458158281719,1321.1119283044895
17.11,208.0,4.35,139.77584478130825,2344.4544769140853,-326.7134633277606,-344.2909984950505,-351.18642919038143,89.0466140433093,2.291674447150743,0.5444496314338287,0.5782351264218185,-1889.0996276129822,-1202.5908425290254,0.5129512448934173,1141.8636343850599
