r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.12,134.0,41.1,206.2857752222803,267683.32416666666,467903.9826388893,197730.62597754522,2925.3975574243923,28.05456270860537,2.079445884115769,0.40296392274384585,0.3094653653646151,497825.9788144377,86931.8513254764,0.324756320163412,354615.175492143
0.24,208.0,35.5,295.37329516019105,323831.8020833334,31402.55828157356,24567.357391655984,975.1324531281584,30.920628023625063,2.0880269033228767,0.4086846022152511,0.3166534694938834,237890.08880698544,39690.6291407889,0.12256556917956779,363522.4312241223
0.35,252.0,27.1,303.80251957762636,274905.9125714286,-446461.3763105152,-128889.91475544061,-975.1326511680754,34.41548788505629,2.0986397087741726,0.4157598058494484,0.32592406255857087,-69397.73100154757,-11203.138566531241,0.04075262864206436,263702.77400489734
0.47,272.0,11.6,271.9856487683231,221145.68553191487,-397912.3602905569,-266918.0946812172,-2925.397656444351,38.22798514112647,2.1103039352807524,0.42353595685383494,0.33708423838907553,-181030.12666177773,-63749.52992356249,0.2882693812010292,157396.1556083524
0.59,276.0,12.6,263.8045536932771,179406.94610169492,-299382.37809659366,-307844.1639706573,-2925.397656444351,42.20499444408096,2.122517513733583,0.4316783424890553,0.34988139569204324,-212605.28388069588,-61452.97567913706,0.34253398218095243,117953.97042255786
0.71,271.0,16.3,261.0562319366967,149293.9147887324,-222236.91698999386,-244407.72085419996,-2925.397656444351,46.26149339448798,2.1349959350942798,0.43999729006285315,0.3626660762192227,-191904.7001677523,-53307.49755917412,0.35706410160528107,95986.41722955828
0.83,266.0,11.9,256.57489575289696,126070.0860240964,-173227.78816562655,-184234.42608602726,-2925.397656444351,49.889355076849746,2.1463184490086356,0.4475456326724237,0.3748106678624463,-177115.78504287946,-46756.017192036205,0.37087320764657444,79314.06883206019
0.94,262.0,12.2,252.46583687541346,109451.52351063829,-129279.16072822872,-139905.9110266989,-2925.397656444351,52.985762691748015,2.156127358062424,0.4540849053749492,0.38608050291740986,-164752.05230982558,-41644.07799020969,0.38047965578260806,67807.44552042859
1.06,260.0,12.1,249.35497785123292,96335.87905660378,-97045.88644969348,-108424.48266570177,-2925.397656444351,55.626685463674825,2.164633615544338,0.4597557436962253,0.396330919491804,-153827.09198321664,-37677.47813284071,0.39110535453465545,58658.40092376307
1.18,260.0,11.9,247.12043888583003,86160.51076271186,-77739.8027999517,-84938.17798424538,-2925.397656444351,57.70682896063699,2.1714109630172262,0.46427397534481746,0.40547574135758474,-143588.47408741154,-34407.535071927734,0.3993422829942005,51752.97569078412
1.3,259.0,8.04,244.53584672589932,77678.32638461537,-64829.77518500829,-68714.4446500426,-2925.397656444351,59.62854759872514,2.1778335860220057,0.46855572401467044,0.41378230557929213,-134574.7595878393,-31680.033820036508,0.4078362046985466,45998.292564578864
1.42,257.0,10.2,241.95715207754074,70601.36471830987,-55796.26475834473,-57308.09618916639,-2925.3976564443446,61.392885549449254,2.1839387366570113,0.47262582443800755,0.42160491954279267,-127074.57909157351,-29373.71440741255,0.4160502353546535,41227.65031089731
1.53,254.0,9.68,239.65072882133583,64845.18549019608,-48160.49405721475,-48867.914378458896,-2925.3976564436716,63.05534712872865,2.1897923561310875,0.4765282374207249,0.42915487633200683,-120421.86404526018,-27307.622206145472,0.4211202728423701,37537.563284050615
1.66,244.0,4.95,237.9794063961702,59042.846144578325,-40014.14414531247,-41971.847785702965,-2925.3976564112277,64.81593431293216,2.19609197080518,0.48072798053678656,0.4367502180639074,-112688.31275022548,-24925.8594767027,0.4221656153849139,34116.98666787562
1.89,228.0,9.83,228.82149015590488,50440.0935978836,-35538.893746414265,-36303.41120308165,-2925.397654567957,66.72391206872838,2.203001015597117,0.4853340103980779,0.44443921986293206,-105782.8123463284,-22736.773832185783,0.4507678755207502,27703.319765697815
2.01,220.0,18.6,227.6550921989306,46604.23333333334,-30349.442221228615,-30394.422790098622,-2925.3975921383585,68.60339877345761,2.2098734919578473,0.48991566130523156,0.4523910420436497,-99989.91930131087,-20819.735321341497,0.44673485287119474,25784.49801199184
2.13,215.0,4.11,223.7866742022746,43156.22746478873,-27454.08184523809,-25242.058194207948,-2925.3954482124245,70.51396400402345,2.216922789225349,0.49461519281689925,0.46036936505797754,-97076.49026664461,-19644.267112434274,0.455189627695379,23511.960352354457
2.24,213.0,16.1,230.08797090215225,40289.794508928564,-18615.551992299654,-20069.42871581012,-2925.3428400434027,72.38904186757657,2.2239066299933383,0.4992710866622255,0.4678528124071963,-87200.17336904649,-16655.65417237961,0.4133963544710702,23634.140336548953
3.1,228.0,9.59,193.52221179975248,25099.142032258063,-14252.321165859097,-15388.38510878268,-2924.4095516995753,74.43402153713717,2.231586618990827,0.504391079327218,0.47456371900442634,-74434.88240433918,-13018.223819397334,0.5186720646732058,12080.91821286073
3.79,236.0,7.22,180.36424576558477,18198.696701846966,-9675.746354425148,-11181.185913792373,-2918.98684811141,76.0207762431693,2.2375990333389466,0.5083993555592977,0.48026246933347666,-61987.48750386113,-9615.250487971436,0.5283483012822339,8583.44621387553
3.9,236.0,7.24,188.72779778232845,17358.544948717947,-6944.224186091401,-8603.514535219905,-2900.689091994238,76.89882401479362,2.2409333179383597,0.5106222119589064,0.4847345782848886,-56468.23505802032,-8225.67785749552,0.4738690876335834,9132.867091222426
4.14,237.0,8.26,181.85035395483033,15768.218236714978,-6418.085870286568,-6811.228749447536,-2866.612371266232,77.49673136153089,2.243213243767087,0.5121421625113912,0.4878869755359454,-54162.2052741822,-7780.403929106989,0.4934231510692165,7987.814307607989
4.25,237.0,4.07,181.75745151884047,15112.214894117647,-5727.195099437312,-5853.677256458866,-2823.7362425274664,77.71075050885906,2.2440208080015616,0.5126805386677077,0.4894900702943136,-51522.1321390903,-7339.092262912084,0.4856397499858732,7773.122631205563
4.37,237.0,4.04,180.05507280553448,14450.963363844394,-5290.892236997247,-5372.771600184731,-2773.5440598193295,77.63704332459912,2.2437199831587837,0.5124799887725224,0.48972228681136865,-49237.056250947666,-7032.238136611825,0.4866276357883615,7418.725227232569
4.49,237.0,1.94,178.76535352274274,13842.400757238307,-4887.9888894818005,-4845.172587981034,-2715.106025755733,77.40182994080477,2.2427960178435886,0.5118640118957257,0.4889488881405159,-46695.53245855565,-6725.017322915102,0.48582738217563415,7117.383434323205
4.61,237.0,1.49,177.58780513264492,13277.84603036876,-4539.695904720731,-4372.317984164865,-2634.920815755008,76.99388691390386,2.2411924764510087,0.5107949843006725,0.4873989494865001,-43934.12397086293,-6436.755242553085,0.48477405354988284,6841.090787815676
4.72,236.0,2.38,179.30001186597465,12798.270699152541,-3780.090809268078,-3878.7077142931626,-2531.237619721388,76.4346678819961,2.2389904911745404,0.5093269941163603,0.4854650366033941,-40087.823255820666,-5987.14903492825,0.46780922014133514,6811.121664224291
5.16,235.0,2.4,171.45306323462998,11198.796085271319,-3362.92208035647,-3414.612588557865,-2402.02383393267,75.7580945631147,2.236299058264485,0.5075327055096567,0.4833635299707346,-35886.24968844151,-5501.867230128291,0.4912909555844453,5696.928855143027
5.43,234.0,4.05,170.74785209931298,10410.596022099448,-2822.8408876387302,-2996.8298149050975,-2268.7766401611516,75.15724215613028,2.2339259014532384,0.5059506009688256,0.48126827328324473,-31846.939201961748,-5041.382578908129,0.4842549425802675,5369.213443191318
5.56,233.0,3.03,171.26581269460144,10069.659730215828,-2567.513260805312,-2726.892276497826,-2146.9460902230385,74.77154492541604,2.2324326648811668,0.5049551099207779,0.47928328906922485,-29077.397200489773,-4794.124011161457,0.4760959297140721,5275.535719054371
5.67,233.0,2.48,171.1196227899056,9794.392839506172,-2450.782036456894,-2528.297145506601,-2053.516003667406,74.43259156092529,2.2311276064077665,0.504085070938511,0.4774803898495199,-27063.193559432395,-4630.032115739051,0.47272272938283477,5164.360723767121
5.79,233.0,3.03,170.6366555277935,9505.979861830741,-2430.4031172317214,-2403.0079075225103,-1978.9013674085418,74.1993219498186,2.2302410912071826,0.5034940608047884,0.47594103616183336,-25412.271940677427,-4477.159791068935,0.4709835131300905,5028.820070761806
5.91,232.0,6.7,169.89069649019302,9211.096091370558,-2369.9464254003465,-2293.911211386016,-1911.594876140748,73.95132369480822,2.2292983102945456,0.5028655401963638,0.47463606410856696,-23892.042018554206,-4327.365337745705,0.46979917425894724,4883.730753624854
6.03,232.0,7.44,169.58292893408236,8937.192719734658,-2196.394697718278,-2166.1345215060223,-1833.457126191199,73.6598770441037,2.2281873912148185,0.5021249274765456,0.4734570898543626,-22284.410335931454,-4167.977166523708,0.46636312958992043,4769.21555321095
6.2,232.0,1.64,169.0389075557641,8574.141629032258,-2022.0297801228387,-2008.2308373551014,-1735.4808330346882,73.36796736699897,2.227075141819413,0.5013834278796085,0.47250983207365016,-20397.550602108568,-3965.4073923151354,0.4624844752841692,4608.734236717122
6.5,233.0,14.3,166.59691776435906,7986.838723076924,-1811.8985870569263,-1828.3735352777185,-1623.27421147537,73.11382348911152,2.2261064163805298,0.5007376109203532,0.47184092679827144,-18286.219473477977,-3716.9105679100603,0.4653794444566076,4269.928155166864
6.85,235.0,7.57,163.44133787040727,7396.407547445257,-1640.8846964771162,-1663.4743504004823,-1508.8594090317752,72.9224221903225,2.2253681675543593,0.5002454450362395,0.47155317526194557,-16336.578668074666,-3496.689164252756,0.47275506951486523,3899.7183831925004
6.98,236.0,3.05,163.9816511528451,7199.2140687679075,-1470.6599150134316,-1523.8012500800448,-1405.4541892251252,72.94581034507273,2.225451570620067,0.5003010470800445,0.47182271030034406,-14788.657783695064,-3346.781129682896,0.46488145757494787,3852.4329390850116
7.09,236.0,2.91,163.60199198782126,7043.449167842033,-1371.8987733320978,-1412.6539751671098,-1319.6473142591728,73.15010739045056,2.226232963368132,0.5008219755787546,0.4728410178737983,-13699.169639756812,-3268.3276188458212,0.4640237390748671,3775.1215489962115
7.21,237.0,4.07,162.4181523750526,6883.677350901526,-1323.6642785206511,-1332.337082171763,-1255.0729269037465,73.4990247920633,2.22757408268575,0.5017160551238333,0.47476145605965875,-12944.769008516945,-3224.9178195664626,0.46848764914063107,3658.759531335063
7.22,238.0,2.02,162.99525081956418,6871.372811634348,-1256.1622124922515,-1281.95070690344,-1211.0729770646822,74.07215777163515,2.2298024642763856,0.5032016428509237,0.4776838866184075,-12421.8032686398,-3191.6703476824596,0.46448801937779366,3679.7024639518886
7.33,238.0,6.76,161.6811007887864,6732.937885402455,-1239.3002315003816,-1251.3257319068643,-1178.4016735135326,74.93199948381246,2.233176913003034,0.5054512753353559,0.4815870923639872,-12062.519583231515,-3166.6652588985385,0.4703244427316225,3566.272626503917
7.45,239.0,3.49,160.5464730165032,6586.33375838926,-1218.7280386718182,-1214.5394761563284,-1147.6895101883483,76.05477626536837,2.2376138181596006,0.5084092121064003,0.4863250206152675,-11698.176314780598,-3126.5793962364023,0.4747070997205329,3459.7543621528575
7.56,240.0,10.1,162.11835917165087,6452.630436507938,-1218.7738983492193,-1172.6172044427447,-1107.117656043154,77.37922184077843,2.242879578678424,0.5119197191189494,0.49164242300623434,-11033.697724725784,-2976.127476123229,0.4612270151541272,3476.502960384709
8.26,247.0,0.85,154.0673400843603,5599.126900726393,-1139.732999767972,-1108.6929689348713,-1052.867631417791,78.86779745985389,2.2488398562058585,0.5158932374705723,0.4973024479193206,-10042.616951617449,-2725.4289248583623,0.4867596275599297,2873.6979758680304
8.98,252.0,8.91,145.58571160127192,4834.2095768374165,-1046.5508539243317,-1026.6781345212698,-977.7001765186241,80.30443794419011,2.254622965394396,0.5197486435962639,0.5030949071444295,-8900.057666723798,-2473.9423805736387,0.5117573703108077,2360.267196263778
9.09,253.0,7.13,148.1422621506151,4730.489691969197,-919.6790539610155,-917.0011164566828,-881.6063985940831,81.4965304986727,2.2594363348448483,0.5229575565632322,0.5087143770263969,-7821.75445123741,-2316.1739785366817,0.4896266833577033,2414.3157134325156
9.3,254.0,0.73,149.28278992658443,4539.912279569891,-808.6538666038097,-788.7879905025977,-768.1150028837532,82.54982282012033,2.263717734881803,0.5258118232545355,0.513879695563851,-6657.045271042503,-2143.637938896264,0.47217607012868346,2396.274340673627
10.32,253.0,0.96,138.2096291500347,3735.845436046511,-670.3888080262846,-656.8509691174272,-648.25492123138,83.56298185474283,2.267885739396396,0.5285904929309305,0.5183285432653065,-5337.1177105883235,-1884.8859796714996,0.5045406754478032,1850.9594563750115
11.38,247.0,1.99,133.5722146173291,3145.5035588752194,-498.66736999754704,-534.387509864995,-531.9401936111507,84.38133277320588,2.2712860801429837,0.5308573867619891,0.5219624234208705,-4040.1640564165928,-1577.7059738332314,0.5015750083580872,1567.797585041988
12.4,238.0,3.15,129.999440101373,2698.6173064516133,-386.8657469984789,-424.21687250808276,-427.0817269705023,84.98841860313374,2.2738305336037112,0.5325536890691408,0.5248066544571013,-3012.664830556688,-1335.7258204298014,0.49496674361217036,1362.891486021812
13.41,229.0,1.67,128.033739795543,2360.1660924683074,-307.36175769885466,-332.88461362992007,-340.26134530503106,85.38542734348641,2.2754976670802067,0.5336651113868045,0.5269177597828556,-2238.7772237016643,-1137.7471121526614,0.4820623073026117,1222.418980315646
14.43,223.0,3.52,126.19166917716592,2074.6729383229385,-257.80067981924844,-268.8147150857997,-273.52689832727657,85.60130519741226,2.2763974329481798,0.5342649552987865,0.5283671062846583,-1679.216618536903,-971.1152550437088,0.4680811308160744,1103.5576832792299
15.44,220.0,1.13,124.9291110650754,1836.8307124352332,-213.7275136354715,-221.48703896360988,-225.12624627515436,85.6265014701655,2.2764791688852197,0.5343194459234798,0.5292924748687611,-1281.3329843274387,-825.9963347467651,0.4496856074731437,1010.8343776884681
16.57,220.0,1.12,123.0918926230956,1617.2960591430294,-178.317877276945,-186.5055585425605,-188.3160780997995,85.60525145368345,2.2763676276824434,0.5342450851216289,0.5297733661402052,-999.1002429110177,-702.8956952603683,0.434611641626591,914.4003638826612
17.58,224.0,1.93,122.73606933169323,1455.230455062571,-150.2273663875297,-157.78297576104944,-159.2513194999405,85.65408219827412,2.2765703264016595,0.5343802176011063,0.5299889736016808,-790.5192129156678,-598.3395156431052,0.4111647839430203,856.8909394194659
18.6,228.0,2.04,122.12516399000958,1312.334505376344,-132.45435559360766,-133.96408754007552,-135.135039340603,85.71572331546247,2.276830954312536,0.5345539695416907,0.5301561811157065,-633.767614063235,-510.4766731404981,0.38898365550032266,801.8578322358458
19.61,234.0,2.55,121.4299857588539,1186.3481132075474,-114.18776591169325,-113.96205417578831,-115.02516865662338,85.6920706928649,2.2767120681999815,0.534474712133321,0.5305333288944748,-510.9619979735484,-434.4235114025773,0.36618552899116585,751.92460180497
20.62,239.0,2.91,121.23964466149219,1081.6752182347236,-94.63307253060208,-97.33644628652469,-98.02847673462094,85.7153113904851,2.276789602277098,0.5345264015180653,0.5312469866059153,-414.35193613104445,-368.8211232955921,0.3409721486431964,712.8540949391315
21.64,243.0,3.08,121.4074333810862,994.242975970425,-78.30771045550883,-82.90263328500093,-83.90806134173567,85.86112107740945,2.277399352228133,0.5349329014854218,0.5324893114968817,-338.3927358301655,-313.1078151486653,0.31492082188768616,681.1351608217598
22.77,245.0,3.6,121.30947704120132,913.3136407553798,-67.09932694121166,-71.5574624615141,-72.60212757815016,86.17254629329531,2.278739065117405,0.5358260434116033,0.5344289108236483,-280.38302647607037,-267.0251374611439,0.2923695930351964,646.2885032942359
23.78,247.0,2.67,121.46641402208911,850.650416316232,-60.28529058598885,-63.39266171894974,-64.09919581291001,86.61281988231302,2.2806439152915643,0.5370959435277095,0.5372622066603394,-237.27126960134677,-230.20930044635966,0.27062738820876403,620.4411158698724
24.79,249.0,3.37,120.94629204976445,791.5373537716823,-57.46191179425914,-57.37900923209245,-57.7625529134635,87.37363715677486,2.284014425235846,0.5393429501572307,0.5410820469132016,-205.89843013997836,-201.46048565603422,0.25451797656304315,590.076868115648
25.81,250.0,2.08,119.74215977220842,734.0027353738861,-53.80906881778025,-52.53891356246136,-52.76548192032692,88.3605116116205,2.288453171006544,0.5423021140043627,0.5459517112016478,-181.77416928254053,-178.47445846907834,0.24315230702535062,555.5282769048079
26.82,251.0,1.68,118.50832414165295,682.3049440715884,-48.23944802122238,-48.39594256206223,-48.26858538874559,89.50976042141839,2.2936893777493466,0.5457929184995644,0.5517063966597998,-161.46847597409436,-158.65755813336747,0.23253174333838758,523.6473859382209
27.84,251.0,2.78,117.5085769810847,636.0766558908047,-42.89884859305619,-43.884254145452054,-43.74064890976625,90.80646045374061,2.2996783559194647,0.5497855706129764,0.5581630027765512,-142.02205554825557,-140.09010186352347,0.22024091053511757,495.98655402728116
29.41,248.0,3.4,114.93980284525405,571.1969262155728,-39.57043558399319,-38.95175786251629,-38.97818489032656,92.2808642887016,2.3065787259298878,0.5543858172865919,0.5649761064355402,-122.98877892831422,-121.9905923799431,0.21357011353016836,449.2063338356297
30.99,246.0,2.91,112.22332686825304,511.42978380122616,-34.90346971120826,-34.105681067082166,-34.3962738967229,93.69453413586177,2.313221548420798,0.5588143656138653,0.5718942206287502,-104.94279282494075,-105.03820285967194,0.20538147402947576,406.39158094155425
32.57,249.0,3.46,109.89917501839508,460.9019619281547,-29.14658740310142,-30.136295655506512,-30.357068657204124,94.98576610609403,2.319332356951234,0.5628882379674893,0.5779384788837564,-89.73590346962408,-90.07516826147264,0.1954323819422438,370.8267936666821
34.03,252.0,3.23,108.25956073585641,422.82415809579777,-24.00906404405176,-26.83259284574346,-27.142927699517426,96.13961379031709,2.3248390254461966,0.5665593502974644,0.5829832532767236,-77.06937621600379,-78.41826650835773,0.18546307018387248,344.40589158744
37.19,255.0,4.16,101.72692087107586,349.98008604463564,-23.051921535177915,-24.46228321053739,-25.25175550416312,97.19304348606062,2.3299070017837584,0.5699380011891723,0.5868764441655253,-69.55649101389693,-71.72339258106659,0.20493563902924225,278.25669346356904
