galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,projection_mean,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,sigma_flip_severity,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\CamB_normalized.csv,local_structural_coupling_v5,89.22942226736478,103.16149046878975,2.3655700800168846,2.452183121879319,0.5862280320067538,0.49180220509582095,0.8203991083370737,0.4380311574203358,0.7178660567320103,104.2082801709764,baryonic_velocity_components,6.814622697074007,0.8343753602949026,9,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D512-2_normalized.csv,local_structural_coupling_v5,77.61897008233908,87.88649754331085,2.340735733970039,2.4130569657181313,0.5762942935880155,0.48457766806401126,0.8150254010442762,0.4930548815423883,0.5578266893992392,7.401292595317933,baryonic_velocity_components,18.487864606339112,0.5504034835074724,4,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D564-8_normalized.csv,local_structural_coupling_v5,82.57238630111671,91.97892658130539,2.3449656315426815,2.433132656204097,0.5779862526170727,0.48580818372150736,0.8102835391922869,0.4926965510220624,0.5586468030373639,3.475274918227111,baryonic_velocity_components,12.933909156819013,0.5867390897106384,6,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D631-7_normalized.csv,local_structural_coupling_v5,83.71320805005428,104.01303050298257,2.3535112356133796,2.4209811824225245,0.581404494245352,0.4882941776329833,0.7994947614571649,0.4508711650524054,0.521206975358989,50.63849887478859,baryonic_velocity_components,30.29249439790684,0.5783619738473549,16,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO064_normalized.csv,local_structural_coupling_v5,90.70962282888902,110.74044719284791,2.357350056548548,2.414309824028456,0.5829400226194192,0.48941092554139587,0.8209994918406709,0.46087015516341767,0.8313675351902527,50.87454233192099,baryonic_velocity_components,15.902990931578127,0.3681348605607394,14,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO154_normalized.csv,local_structural_coupling_v5,91.82816352255735,108.83349411831506,2.384793517838909,2.4658678840768506,0.5939174071355636,0.49739447791677366,0.8112538358575425,0.5013730194700287,0.5498070101217296,6.815368822929354,baryonic_velocity_components,27.691312481916786,0.639867096174082,12,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO161_normalized.csv,local_structural_coupling_v5,91.27877622558103,109.51569609712023,2.37146782911678,2.472953315070548,0.5885871316467121,0.49351791392488153,0.8093591310595796,0.4458851260311301,0.49471569435456886,25.42966848179865,baryonic_velocity_components,29.022639064445563,0.43817252534333,31,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO168_normalized.csv,local_structural_coupling_v5,92.89992157403236,104.96203469147753,2.36914683745959,2.4403813256386253,0.5876587349838359,0.49284271635188076,0.8126975832933343,0.4308909731735371,0.5366309797215695,73.8002281637965,baryonic_velocity_components,25.220062222165783,0.42840627808215226,10,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO170_normalized.csv,local_structural_coupling_v5,88.45597239340185,91.82433795793243,2.377407459248813,2.4741621490260703,0.5909629836995254,0.49524580632692755,0.8149467007543102,0.4681151919957051,0.5347720207694082,1.2001015238505683,baryonic_velocity_components,32.389483312406064,0.5870186751003337,8,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\ESO079-G014_normalized.csv,local_structural_coupling_v5,84.40062676892181,99.65772557724435,2.3537048334880377,2.478373526491733,0.5814819333952153,0.4883504970147019,0.8093522475884459,0.2796458176718692,0.4775139877037775,87.47837630904579,baryonic_velocity_components,42.29899408899186,0.27715737233469,15,ok,
