r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
0.41,33.2,11.6,35.291989076089905,29.034231520741166,2056.0648780487804,483.8247753530172,288.21406696544614,151.8987757987785,99.65772557724435,2.2472129093764903,0.5388851637505963,0.4573710281822518,0.8176321256522203,28199.821960736645,981.7997388947541,3037.8646169435347,0.4775139877037775,0.0
0.98,50.4,11.8,57.17596047211759,47.803850263341765,2331.8450000000003,98.80058930253873,171.84316091076536,106.91418227882635,98.59304413811643,2.2500771535912545,0.5400308614365018,0.45820426286291044,0.8154762611662805,16249.568305802188,1003.9615876624011,3335.8065876624014,0.43054387734279126,44.984593519952156
1.78,53.9,9.75,70.45028978727132,62.455829191517424,2191.4216853932585,-109.20458053435955,27.26068783435683,19.435805969780553,98.07805044719579,2.2764693409340704,0.5505877363736282,0.4658819900899115,0.8116215001457907,3144.5054374278097,596.9172646688228,2788.3389500620815,0.27238813444602006,87.47837630904579
2.69,67.6,5.1,74.92874993625777,75.96270729772604,2145.1051672862454,-98.02975492038681,-114.48317515134676,-66.77480826934405,96.42188892126957,2.311493313490425,0.5645973253961701,0.4760707821063056,0.8082054540644285,-1528.2173126368684,-57.99826505195182,2087.1069022342936,0.027037492583790162,86.2106142391246
3.36,81.7,5.06,68.11438041872479,82.7209556279423,2036.5346726190473,-239.08759002902534,-161.19656026514195,-115.36344741478354,95.00836127178576,2.349818225038327,0.5799272900153308,0.487219847283877,0.804619296755118,-2687.738585912143,-655.7106190991785,1380.8240535198688,0.3219737075509322,48.58863914543949
4.39,102.0,5.35,64.74887471138918,87.36533065238179,1738.6562642369024,-224.89453957550083,-144.88346754581218,-115.25473776496739,91.70629585926667,2.3530866443552174,0.581234657742087,0.4881706601760633,0.8025049893746947,-2335.3669306587262,-783.6638322571362,954.9924319797663,0.45072959409897323,0.10870964981614861
5.65,116.0,6.44,69.78345386718702,92.71797506416974,1521.5261769911504,-134.76633626643712,-113.99573379236669,-89.81841742836434,84.06578271764093,2.3666052423412176,0.5866420969364871,0.49210334322653604,0.8043850342272638,-1453.0178371752545,-659.6269851975543,861.8991917935961,0.4335298302274236,25.436320336603046
6.34,132.0,9.1,78.85651585248807,96.73140389759676,1475.86190851735,-27.639116937710792,-52.114442731249056,-52.21362864657363,74.67638353415383,2.364942877317187,0.5859771509268749,0.49161974612863624,0.8085712047046766,-709.3451419810193,-495.04959110509424,980.8123174122558,0.3354308341777184,37.60478878179071
6.89,137.0,5.25,89.56091759587689,101.22834484471234,1487.253671988389,56.40891384684062,-5.913218914840663,-17.588841598389493,69.19138843395143,2.323158738149105,0.5692634952596419,0.47946436018883054,0.8110575039420267,-278.65529814603735,-323.0798025231567,1164.1738694652322,0.21723247930611192,34.62478704818414
8.34,154.0,4.2,107.67549841242773,115.10685904845114,1588.6797362110312,70.31886527656285,3.760324274238968,-5.6079434351826905,65.92604987690149,2.3279492595222777,0.5711797038089111,0.4808579664064808,0.8129306104856457,-116.88807438659077,-198.5103167428386,1390.1694194681927,0.12495301111870517,11.980898163206803
10.04,163.0,3.28,123.93353138118869,130.9806523880531,1708.758097609562,6.111579506541134,-14.707420445176776,-19.868980442723483,65.53988758202242,2.3695603718109934,0.5878241487243974,0.4929630172541072,0.8142090005961581,-156.25362915558924,-178.92540830556973,1529.832689303992,0.10471078882135183,14.261037007540793
11.65,170.0,2.41,126.49112958047787,136.90796397580382,1608.9090643776824,-86.39862032103896,-50.02349491084859,-47.64424697666374,72.06729783136059,2.3980955993294226,0.599238239731769,0.5012641743503775,0.8110451923842468,-291.49869893772086,-235.51800321500048,1373.391061162682,0.1463836635826883,27.775266533940254
13.36,175.0,2.18,122.18859615080527,137.8288072211321,1421.9146781437125,-119.97784053478952,-85.90558816295169,-74.9781981446479,80.19487150096515,2.4184449703239186,0.6073779881295674,0.5071839913669581,0.8077965450039453,-422.49645955409346,-304.39573882450713,1117.5189393192054,0.21407454575396256,27.333951167984168
15.06,177.0,2.23,113.41928785802551,134.42007476563907,1199.78462815405,-120.17145848151844,-108.94622426105045,-92.0040640940889,85.55920892229057,2.4702843302489277,0.6281137320995711,0.5222645324360516,0.8058090539245789,-500.61228085679625,-345.60568670506916,854.1789414489809,0.28805643829326844,17.025865949441
16.67,178.0,2.03,105.33255024323175,130.66190339957552,1024.1471505698862,-109.09160098395265,-113.48482039363319,-98.73926478968582,89.32316491966225,2.478373526491733,0.6313494105966931,0.5246177531612314,0.8044199413996136,-526.9494508758801,-358.5834948564524,665.5636557134338,0.3501288800705238,6.735200695596916
