r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
0.64,12.4,8.6,16.912735826338878,13.611245350811954,289.47812500000003,171.0408231324546,139.64638904612113,36.11414171829823,111.48594364859389,2.3709104033549044,0.5883641613419618,0.4933557537032449,0.796368020869661,5315.725232857692,157.46036426801027,446.9384892680103,0.5439456410324969,0.0
1.18,21.9,6.2,25.732414617275392,21.226667190117247,381.8401694915255,119.68284243295007,115.45064419809317,35.967347173885955,110.4052551106367,2.3594174264807606,0.5837669705923043,0.4900123422489486,0.8001696919566494,3922.4881013713343,179.3099678265832,561.1501373181087,0.4695943018917049,0.14679454441227335
1.8,32.3,1.88,33.66815039230803,27.76613765002255,428.31022222222214,65.42663340029175,90.88869100491354,35.181564522726035,108.01853052871654,2.352154298898575,0.58086171955943,0.4878994324068582,0.8062999166099398,2388.0801612791056,201.43663935503974,629.7468615772618,0.4703054676349225,0.78578265115992
2.03,37.9,6.2,36.33833351934134,29.79981879139536,437.4528078817735,50.06209889231475,61.08193654596965,32.8010387789662,104.45155694873631,2.3312500124386646,0.5725000049754658,0.4818181854367024,0.8134299997277679,1602.061345086914,213.02723298664355,650.4800408684171,0.4869719182239574,2.380525743759833
2.78,53.1,9.5,43.853429731581286,36.42926845271532,477.3710791366906,48.2310571665565,39.664794036930566,27.665346433546453,101.20865448649957,2.306219287588777,0.5624877150355108,0.474536520025826,0.8182985292162117,1085.5182147115809,214.3998918067404,691.7709709434309,0.44912626922115884,5.1356923454197485
3.0,62.4,11.0,44.842365276226104,38.11444345651658,484.2369333333333,22.007050837735164,22.948925819605154,17.170392000184723,98.12705473938493,2.2947281297244295,0.5578912518897718,0.4711936377380159,0.8214860673217761,544.5753174340656,186.04230785549623,670.2792411888295,0.38419685705268297,10.49495443336173
3.64,68.0,6.2,45.60902455418198,42.50319517401015,496.29714285714283,12.59712988775464,2.3050523444486473,2.491156023162036,94.85169724537852,2.3135792768273085,0.5654317107309235,0.47667760780430796,0.8233012208692435,127.41555573568125,75.18173647911385,571.4788793362567,0.1514853300309138,14.679235977022687
4.19,78.0,7.98,43.054054225437845,45.735798888835426,499.2275178997613,-18.15270768633528,-16.11228373825213,-10.938299410839383,93.57906073625736,2.327819460577513,0.5711277842310052,0.4808202067134584,0.8215809402587041,-194.10323371133535,-56.82857154010918,442.39894635965214,0.11383301100705681,13.429455434001419
4.6,82.3,6.2,38.2726785512408,46.93404414707942,478.87054347826097,-53.15726848346779,-22.506828992511267,-19.753246160872635,93.83149580592375,2.326197995816804,0.5704791983267217,0.4803485078739794,0.8168915367995503,-352.9917302625347,-160.43621228552013,318.43433119274084,0.33503044710204305,8.814946750033252
5.14,85.7,6.3,36.836253303898815,48.025644191410905,448.72811284046696,-43.855623246947395,-29.15748135630591,-22.88317090271888,92.48708760047296,2.345935467849566,0.5783741871398265,0.4860903179198738,0.8138203252368108,-399.0924102336422,-184.73792656245212,263.99018627801485,0.41169233947267897,3.1299247418462457
5.39,85.5,6.51,37.76147228253794,48.93230630166536,444.2246011131725,-9.9656754335605,-29.8367519362135,-22.930864774726217,89.93109175741284,2.373544458605289,0.5894177834421157,0.49412202432153873,0.8124252640771173,-361.24441609875174,-179.67380539056012,264.5507957226124,0.40446613028706546,0.047693872007336324
6.31,89.5,15.6,41.65356394057174,52.515719551387654,437.0682725832012,-20.656131931218564,-22.713469213969447,-20.459605643239247,89.25020010061083,2.3732441627167886,0.5892976650867154,0.4940346655176112,0.8082255282131607,-282.41685107953884,-162.10481950058647,274.9634530826147,0.370891299298619,2.4712591314869705
9.1,95.2,15.5,45.72263406829032,57.83659913929933,367.59035164835166,-21.549060585873224,-18.102699382664195,-18.271538396916057,87.2908155802861,2.3818491407559987,0.5927396563023996,0.4965379318562906,0.8044734617691525,-202.37282254032482,-137.85856416013377,229.7317874882179,0.3750331409460212,2.1880672463231896
10.17,97.5,6.2,49.66821536892815,59.992083644427616,353.8888987217305,-17.540854872247536,-19.689106758086513,-17.208161716650093,84.1965554273515,2.421762786115701,0.6087051144462805,0.5081491741427494,0.8030059161992282,-144.44195228056435,-111.31941809889565,242.56948062283487,0.31456035637452473,1.0633766802659643
11.99,101.0,10.2,52.069729675331715,61.64088253748481,316.89728106755626,-20.801774090421137,-18.377793325504815,-16.870890936844802,82.15104899788014,2.4449604730713044,0.6179841892285218,0.5148975921661977,0.8011583761470111,-116.49855365402033,-90.77077994477725,226.12650112277902,0.2864359695324325,0.33727077980529074
14.02,107.0,10.7,52.95479721881684,61.95728367189769,273.80206847360915,-17.897712310672095,-16.83597389943804,-15.924497270144135,80.50213275550291,2.4556171371618016,0.6222468548647206,0.5179977126288877,0.7992885033125913,-93.31820733598218,-73.78705074992783,200.01501772368132,0.26949047960548883,0.9463936667006667
15.94,117.0,11.7,54.2152345481242,62.64542281763289,246.2013174404015,-14.099564768310081,-16.095795616096407,-14.92426949229853,77.88697481610022,2.4675762724209824,0.627030508968393,0.5214767337951949,0.7998714539819776,-74.94329190335527,-61.80409930312925,184.39721813727226,0.25103074161286854,1.0002277778456055
17.98,120.0,12.0,54.08360797348065,62.60240330849927,217.96779199110122,-13.839963455539351,-14.703433489120048,-14.333147306765099,75.85362479929796,2.47101124781317,0.628404499125268,0.5224759993638313,0.8012136158231208,-64.62019310959852,-55.28499713964739,162.68279485145382,0.2536383776457416,0.5911221855334308
