r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
0.87,39.6,4.9,35.69723718257821,48.19,2669.282873563218,-571.5227903289731,-418.95061409563016,-284.9584126802281,94.19652069346164,2.3290284845887186,0.5716113938354874,0.4811719227894454,0.8287223420903862,-24763.890036693392,-1204.578571874431,1464.704301688787,0.4512742294211938,0.0
1.74,73.0,5.2,42.85077083473436,61.47667037177599,2172.0580459770113,-309.00147531598157,-337.4258131409131,-254.6313171229799,86.00333286469436,2.3389498043420014,0.5755799217368006,0.4840581248994914,0.831961555694367,-16340.925675746043,-1116.7772637178612,1055.28078225915,0.5141562702646488,30.327095557248185
2.61,89.4,6.6,54.14844565686818,74.58906756355115,2131.62030651341,-71.18322417524985,-232.32192837260283,-190.2534831786585,76.60549421070665,2.328617742905503,0.5714470971622012,0.4810524342997827,0.8345107653108944,-6927.3573001539935,-1008.227905342986,1123.392401170424,0.4729866300589416,64.3778339443214
3.5,102.0,5.3,62.30512154558368,84.6387293146583,2046.7755714285715,-163.89878555538797,-105.28380920382115,-129.46709119180017,70.61992049840438,2.326545603107527,0.5706182412430109,0.48044962999491697,0.8342476807371211,-3277.393774752488,-937.6532369114415,1109.1223345171302,0.458112384181425,60.78639198685835
4.37,110.0,4.4,64.57205251457141,89.74743673219866,1843.1584439359272,-46.003366487421566,-82.97002406896522,-106.17736396575556,67.32647148823342,2.345323215567459,0.5781292862269837,0.4859122081650791,0.8331757786110378,-1968.1201232799053,-889.0280169463235,954.1304269896036,0.4823394428575932,23.289727226044604
5.24,116.0,4.4,75.9558759816633,101.51681486335158,1966.729713740458,63.66780551493529,-141.55953547413094,-125.0659955910514,69.39395531297356,2.3877136129772962,0.5950854451909185,0.49824396013884986,0.8276541157321028,-1780.7689339651527,-865.7191992095771,1101.0105145308808,0.44018209170343725,18.888631625295844
6.11,123.0,4.4,82.1805973871978,109.26379089158493,1953.9404255319146,-197.43254964170194,-170.87069783227696,-162.35019933498654,77.15938205089181,2.406633906999409,0.6026535627997637,0.5037480456725554,0.8191445410087028,-2046.9011369070467,-848.5966306191971,1105.3437949127174,0.4343001554861564,37.28420374393514
6.98,130.0,3.9,76.71767030395816,106.4420762668598,1623.1970773638966,-364.1307812010786,-216.23250459465163,-196.23131963993205,86.58584221457245,2.445810269808874,0.6183241079235497,0.5151448057625816,0.8120302438067221,-2378.555620027634,-779.9877740878476,843.209303276049,0.480525615136372,33.88112030494551
7.85,134.0,6.1,71.471736922156,101.80751445743088,1320.352866242038,-310.45459734611796,-283.5285457574976,-224.7530041674506,92.60003743656767,2.4767267109798157,0.6306906843919263,0.5241386795577646,0.807728240795042,-2593.6306577706046,-669.6255823350474,650.7272839069907,0.5071565332689604,28.521684527518545
8.72,134.0,4.9,65.38153459351359,97.17928277158666,1083.0060779816513,-272.81240029929484,-298.60451588901617,-241.82607549592706,97.19496482291304,2.4799803446669535,0.6319921378667814,0.5250851911758411,0.8041290658270283,-2680.705596613312,-592.7830199767413,490.22305800490994,0.5473496705406159,17.07307132847646
