galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,projection_mean,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,sigma_flip_severity,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F563-V1_normalized.csv,local_structural_coupling_v6,94.11141958428597,100.45567728441635,2.216334237998222,2.3126278820405384,0.48653369519928874,0.20386226629866921,0.308297683964927,0.1363321656920623,0.21891015535844835,7.156700740577511,baryonic_velocity_components,0.6347092055863509,0.0292213866354349,6,ok,
NGC3953,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3953_normalized.csv,local_structural_coupling_v6,102.56279674332615,110.38055702733962,2.3486822097647035,2.476347058762699,0.5394728839058813,0.24122829253360292,0.3840825188846979,0.21916130477878942,0.26657114554886385,101.63346221867982,baryonic_velocity_components,12.739752961170066,0.04926458201105652,8,ok,
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC6195_normalized.csv,local_structural_coupling_v6,104.88196178220348,110.9142759847202,2.384932850833647,2.485637378760535,0.5539731403334589,0.253228362225133,0.4422601309661248,0.1839141895576918,0.2377650189579877,94.38946182275163,baryonic_velocity_components,20.319047228660896,0.07498651020652913,23,ok,
NGC5371,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5371_normalized.csv,local_structural_coupling_v6,105.94072992257061,111.27492618426069,2.4035517785957667,2.491946606580105,0.5614207114383069,0.26103098146222253,0.44330632446849993,0.14366075759479696,0.25470345835577424,59.13388590091182,baryonic_velocity_components,21.96362836882637,0.07940016752330238,19,ok,
NGC4051,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4051_normalized.csv,local_structural_coupling_v6,103.51811927351844,109.71035813353424,2.3635699466585254,2.46475847712691,0.5454279786634103,0.24757826511344813,0.4024441771591002,0.2571014403627219,0.38892018631236314,372.72785459850604,baryonic_velocity_components,14.130864402384729,0.0812191320687772,7,ok,
NGC5005,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5005_normalized.csv,local_structural_coupling_v6,105.09083758661384,110.53506382206052,2.388642297458654,2.4790308505054,0.5554569189834616,0.2558200746290836,0.43307165093087874,0.25477970644300574,0.2832638965099518,893.0297604133693,baryonic_velocity_components,23.81970412212541,0.0826570113200427,18,ok,
NGC2955,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2955_normalized.csv,local_structural_coupling_v6,104.01723495354503,110.6846359472937,2.373785243647212,2.481633318431864,0.5495140974588848,0.25609967972422537,0.44195838659484554,0.21489862060656847,0.27932351929871635,202.45240854979102,baryonic_velocity_components,23.771384796779483,0.08587388538227025,24,ok,
UGC11914,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC11914_normalized.csv,local_structural_coupling_v6,104.05019490234811,110.31761529637082,2.3714920769644805,2.475255073666574,0.5485968307857921,0.2475821711327473,0.43419203322671096,0.24687256443164537,0.3013082349709501,403.62058464271195,baryonic_velocity_components,27.075784975503936,0.08710048826699594,65,ok,
UGC06628,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06628_normalized.csv,local_structural_coupling_v6,90.00985708905525,93.41418560972488,2.15549886583995,2.205122153744587,0.4621995463359801,0.19999999999999998,0.2764169879939812,0.18642975708047577,0.20589573956963855,10.317965934512813,baryonic_velocity_components,4.9671562685378925,0.09873990593383161,7,ok,
UGC05253,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC05253_normalized.csv,local_structural_coupling_v6,105.9284860299297,110.71573312651086,2.40266693682146,2.4821749357211176,0.5610667747285839,0.26167122189471753,0.4886301299701994,0.22597788705263314,0.28779212572012247,4972.402752782878,baryonic_velocity_components,37.172165008289774,0.10094248194040256,73,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F561-1_normalized.csv,local_structural_coupling_v6,87.45542425792314,88.93608281266165,2.1187041248553586,2.139700669195973,0.4474816499421434,0.19999999999999998,0.255934157902848,0.15182281092949484,0.18899963431798214,2.983417155858916,baryonic_velocity_components,4.633985306322775,0.10199168028690457,6,ok,
PGC51017,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\PGC51017_normalized.csv,local_structural_coupling_v6,100.46268742474676,109.40772036187273,2.3188307222233755,2.459553279870081,0.5275322888893502,0.24282297054275828,0.3746440814513547,0.24842470909558634,0.29287954048613857,35.76240270916307,baryonic_velocity_components,4.115496398231132,0.11307739152096279,6,ok,
NGC3521,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3521_normalized.csv,local_structural_coupling_v6,104.56494266126828,111.11246873916647,2.38122863131854,2.4891014032287675,0.5524914525274162,0.25354369171235774,0.4595283742786392,0.25386342917879867,0.3182045138352748,631.6317606787843,baryonic_velocity_components,29.48686108106167,0.12073419369445265,41,ok,
NGC3949,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3949_normalized.csv,local_structural_coupling_v6,102.89882092771113,110.47572583917079,2.3566609608248092,2.477999602346038,0.5426643843299238,0.2520480953467425,0.3893329956002934,0.2548112790388392,0.30577040726509663,207.9050188162987,baryonic_velocity_components,21.206518639518972,0.12589720882593664,7,ok,
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0801_normalized.csv,local_structural_coupling_v6,101.46302402084986,110.82144677310188,2.3372998794444766,2.484017548489318,0.5349199517777905,0.255126029871391,0.41191731491310873,0.1949445070805974,0.3886136191770592,320.55953150561726,baryonic_velocity_components,30.344851919935845,0.1437311018260151,13,ok,
