r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
0.45,8.41,1.58,14.393483672569513,13.052206709978202,378.578,204.12419753086422,150.29970781893005,79.99117513246011,85.55320655133872,2.0915626310447157,0.4366250524178863,0.2,0.2884384866039423,11678.582159427937,3368.552563745194,81.80504940561144,460.3830494056114,0.21608505884021642,50.63849887478859
0.9,17.8,2.22,22.423255812455295,20.57645499108143,470.4338888888889,163.6109465020576,70.92708888888889,48.200609830848926,86.26790680618078,2.101648166125603,0.4406592664502412,0.2,0.2889550665656133,6554.00395966345,1893.8126504358454,88.23544581201126,558.6693347009001,0.1875618400290279,50.63849887478859
1.35,26.0,2.35,27.41939568178089,26.643340631384795,525.8278518518518,-24.48500000000005,-5.77589072096476,-2.4378890439396628,91.89799856892529,2.1827391402030254,0.4730956560812102,0.2,0.33313488278472125,551.0500683719998,183.5739999356188,31.07826633634412,556.9061181881959,0.059103499799208425,50.63849887478859
1.8,30.9,2.22,27.439417339238666,28.40977472631559,448.3973888888888,-192.7388971193416,-73.46087704997848,-50.94446530439234,98.96943405493846,2.289410885999662,0.5157643543998648,0.2144364338295228,0.39666266623849167,-2209.140731638714,-876.2836527078645,-30.107597823938033,418.2897910649508,0.06714489997041125,50.63849887478859
2.25,34.7,1.82,24.404412911265236,28.156995578363823,352.3628444444444,-179.390700518404,-127.56721360416645,-78.13701286023277,105.40297493304884,2.3922178836847126,0.5568871534738851,0.2544345863568579,0.461096336676994,-3275.6086920453035,-1510.3711682894093,-87.66268020287576,264.70016424156864,0.24878525527028764,50.63849887478859
2.69,38.8,1.81,23.86244597974054,27.869512015821158,288.7396654275093,-134.30073411420435,-138.57081162256702,-84.16320113339796,107.56258117635024,2.428180837926771,0.5712723351707084,0.26922484741432334,0.47801452054180854,-3253.185904386107,-1555.0701003184947,-77.06073303493103,211.67893239257825,0.26688654958727115,50.63849887478859
3.14,42.5,1.57,22.946175049662287,27.03890715247197,232.83519108280254,-106.92073626888222,-112.81215877662314,-79.2133587094023,108.36770778408216,2.4417946314059575,0.5767178525623831,0.2749316962079283,0.4778228757350037,-2740.9081546440784,-1309.668616577556,-65.1514492325656,167.68374185023694,0.27981787860150387,50.63849887478859
3.59,45.6,1.59,22.261666323293973,26.289056658617476,192.5110027855153,-79.50299009200286,-87.3241333827939,-69.91121189555628,109.04635062723118,2.453360251439559,0.5813441005758236,0.27982655321673094,0.47582189714409806,-2157.411183468722,-1026.5434822379812,-54.465936632400826,138.04506615311448,0.2829237593919951,50.63849887478859
4.04,48.8,1.83,21.580797463158746,25.52609057415569,161.28249999999997,-63.945632889622274,-68.81058890447454,-59.580019378605044,109.50080739966845,2.461152500099669,0.5844610000398677,0.28314856056361537,0.470837856891958,-1654.5292192802879,-779.0149917710552,-46.002594270822016,115.27990572917795,0.2852299181301259,50.63849887478859
4.49,51.8,1.91,20.750591156380615,24.616459940454476,134.95993318485523,-51.9505735492577,-54.305154946934834,-50.04665299201373,109.91736923968583,2.468328858894368,0.5873315435577473,0.2862251877021513,0.46520549993877447,-1256.752578031531,-584.648211362502,-39.06081662822686,95.89911655662837,0.2894252813146038,50.63849887478859
4.94,54.8,2.19,20.03702176979929,23.785779364990336,114.52698380566802,-41.73301172260765,-44.01487314019502,-41.68382793902152,110.24208205657945,2.4739456394479475,0.5895782557791791,0.28864469410970117,0.4582987244987838,-955.5776359995016,-437.9400117381347,-33.25527501955251,81.27170878611551,0.29037065252657673,50.63849887478859
5.39,56.6,2.73,19.27206606321309,22.912599154177162,97.40022263450837,-34.393566481183676,-35.85635970356111,-34.71298464710449,110.45235906456999,2.477593692238639,0.5910374768954556,0.2902215514054007,0.44990395177607617,-729.9736614895432,-328.4180349965972,-28.492517561252413,68.90770507325595,0.29253031246314287,50.63849887478859
5.84,58.4,3.27,18.574079838694736,22.092193191261025,83.57277397260273,-28.05158105830378,-29.322172044052067,-28.94854678809494,110.62348848573546,2.480568864725896,0.5922275458903585,0.2915107115222808,0.44095556327357227,-563.3316946017776,-248.40424470298282,-24.49804077838932,59.07473319421341,0.2931342303705319,50.63849887478859
6.29,58.5,3.95,17.899770158252274,21.303694515271285,72.15379968203496,-23.153065706452754,-24.50129720233121,-24.44093950403829,110.73968517716708,2.4825922348936027,0.5930368939574411,0.2923890681989451,0.43130437536199584,-442.6624383482897,-190.92224646802708,-21.21552118946601,50.93827849256895,0.29403193293988517,50.63849887478859
6.74,57.7,4.07,17.330748539284933,20.562927807099843,62.735014836795244,-19.279635251712467,-21.148311408895143,-21.222151339008228,110.94585842951307,2.486188862864477,0.5944755451457908,0.29395361926180613,0.42257365929671264,-358.20544278787713,-151.3681847388725,-18.171981464105798,44.563033372689446,0.2896625036493591,50.63849887478859
7.19,57.3,3.94,16.655614114752115,19.850120906432785,54.80212795549373,-17.628637514003355,-19.063722700035058,-19.495842891353824,108.78884194338856,2.4489618382281173,0.579584735291247,0.27795999185350007,0.3891439888268555,-313.100155253392,-121.84104331761272,-16.219446239286512,38.58268171620722,0.29596380367672503,50.63849887478859
