r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
2.5,206.0,75.0,205.57382281271862,210.99533857410216,17807.61316,-2030.319093952926,-1569.2581594631417,-83.24176250379337,95.54022751122635,2.236940302033419,0.4947761208133676,0.2,0.3866053489660918,-2504.3746250831496,-968.2046258720962,-903.3745096659864,16904.238650334013,0.05072967957857336,14.221693856084656
7.49,285.0,8.0,228.29323091056267,239.78249185459725,7676.3208811749,-1291.5008048062934,-1219.4840461739198,-83.24176241977827,103.54537797132792,2.3618968986702216,0.5447587594680887,0.242286230070402,0.46953538904860664,-1683.2378512291739,-790.3397393382309,-718.003220349335,6958.317660825565,0.09353481068126493,14.221693856084656
12.54,291.0,7.0,233.59782218612355,246.38476271880126,4840.945079744816,-463.8327106506369,-845.2598822494773,-83.24085876877703,108.12918477575526,2.437749442998093,0.5750997771992372,0.27322977601468856,0.5180687105095511,-795.6461796979929,-412.1993903379897,-489.43451115631535,4351.510568588501,0.10110309104810485,14.221693856084656
17.45,274.0,5.0,219.32005517665038,230.94749749672545,3056.5470830945565,-281.4485275068157,-458.884163621217,-82.91675211587898,109.09828861211,2.454248861086019,0.5816995444344077,0.2802044055517567,0.5198931347366892,-543.5300094524885,-282.57752043771654,-300.0263608774237,2756.520722217133,0.09815859292233327,14.221693856084656
22.47,266.0,4.0,202.9027795077791,214.4230449368724,2046.1612016021363,-159.19827433071384,-213.8110140636686,-80.56504598610152,110.00736254213452,2.4698835265895567,0.5879534106358227,0.28689387201471406,0.5203710449275333,-402.5912975680102,-209.49685419419694,-213.9610266140446,1832.2001749880917,0.10456704312764506,14.221693856084656
27.48,255.0,2.0,189.2790314657976,200.287256209675,1459.7883915574964,-98.44050081162491,-129.76731319562205,-73.39989253537738,110.42495280109158,2.4771177451583437,0.5908470980633376,0.29001558348353346,0.5139936453565693,-299.44147253755676,-153.91101404051784,-156.05652283004366,1303.7318687274528,0.10690352364258891,14.221693856084656
32.5,250.0,2.0,175.5336025106092,185.50228246574216,1058.8029784615383,-66.13505701855163,-79.44031317254705,-61.36536447784533,110.66314373990095,2.481259099917888,0.5925036399671552,0.2918101993776127,0.5050359644633099,-214.37436506437425,-108.26676421649593,-110.74003660453681,948.0629418570014,0.10458984235711566,14.221693856084656
37.51,242.0,2.0,164.4719352863915,172.84380492224764,796.4537696614237,-43.61420631040414,-52.02610156487639,-47.14367062176068,110.77438207901038,2.483196931635232,0.5932787726540929,0.2926518248165375,0.494343534063245,-146.12795720107312,-72.2374107882211,-75.28561458675138,721.1681550746723,0.094526032086904,14.221693856084656
42.42,237.0,2.0,156.43917719996395,162.976333251181,626.1500518623291,-29.813527391440637,-35.53331658452389,-34.53166974649253,110.81623458842138,2.4839266479366664,0.5935706591746666,0.29296906151558155,0.48295996320980134,-95.92987036580527,-46.330286662590325,-49.22369252706942,576.9263593352597,0.07861325313423782,14.221693856084656
47.44,235.0,2.0,149.14737486207454,154.0754172475285,500.4054426644182,-22.127216292360597,-24.599532268651522,-24.97940992456268,110.8276635016665,2.484125975222425,0.5936503900889701,0.29305574664388934,0.47091278079890037,-62.36191225021497,-29.367021513685742,-31.498625036926846,468.90681762749136,0.06294620791734763,14.221693856084656
52.45,236.0,2.0,141.9152652183682,145.60572825270302,404.21407244995225,-15.976575909862394,-17.77437561062243,-18.2385046694789,110.77699811661019,2.4832425333694887,0.5932970133477955,0.2926716447126347,0.4581457109439145,-41.11158731050373,-18.835097396403544,-20.23042131554251,383.98365113440974,0.05004878032307334,14.221693856084656
57.47,242.0,2.0,137.04580395136816,139.81780072651694,340.1603862884984,-11.466135439189824,-13.413757226058637,-13.730003777935568,110.74635723510812,2.4827084972179807,0.5930833988871923,0.2924395781468652,0.4456179833287594,-28.032937012372564,-12.4919808582356,-13.354185128295864,326.80620116020253,0.03925849589366897,14.221693856084656
62.48,246.0,2.0,132.25528979942408,134.42381373848906,289.2087339948784,-9.488423020258706,-10.436427177401454,-10.779578137152342,110.82270259338496,2.484039453372591,0.5936157813490365,0.2930181177317234,0.4343353197858903,-20.1125991493971,-8.735612183278814,-9.255762165018432,279.95297182985996,0.03200374358397607,14.221693856084656
67.4,242.0,4.0,126.95392175049253,128.74928854172362,245.94034569732938,-8.010435468621663,-8.689225205243911,-8.953621080675958,111.10564328360921,2.4889820294264156,0.5955928117705662,0.29517151625571253,0.4254937278147071,-15.369666156570766,-6.539696548226837,-6.811291575219939,239.12905412210944,0.027694893068103472,14.221693856084656
72.41,242.0,5.0,121.55238765784382,123.21465253775624,209.66510979146528,-7.240566049074682,-7.844111327220883,-8.099917567775437,109.32516396309813,2.4581365389704644,0.5832546155881858,0.2818604850461038,0.3946045574027748,-13.072748317311309,-5.158566063790498,-5.618942890170631,204.04616690129464,0.026799608650954276,14.221693856084656
