galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,projection_mean,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,sigma_flip_severity,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F563-V1_normalized.csv,local_structural_coupling_v6,97.73393112900625,104.72852349300062,2.1945775072444484,2.26168895570326,0.5667944069546706,0.35588724263403776,0.3043960506541143,0.05182591254547433,0.1707539307475486,0.7471124723093192,baryonic_velocity_components,1.6483511730131446,0.06038744940326728,6,ok,
UGC07577,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07577_normalized.csv,local_structural_coupling_v6,100.67041510710501,108.78695951518114,2.2220735357996078,2.300904287849489,0.5931905943676236,0.37570938202377546,0.32764111087097464,0.16565426931407934,0.3431806079766434,0.5764610119755053,baryonic_velocity_components,2.333827323719607,0.2270379205548931,9,ok,
NGC2976,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2976_normalized.csv,local_structural_coupling_v6,107.3924046845307,127.07893356275042,2.2696950416532977,2.413163462946197,0.6389072399871658,0.412347982037267,0.4011637189330393,0.01925930064497169,0.0722286138434414,0.48069804612334766,baryonic_velocity_components,3.952524680391203,0.12750982903563146,27,ok,
PGC51017,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\PGC51017_normalized.csv,local_structural_coupling_v6,111.96914197496864,128.1160542200789,2.324645151912574,2.4169591655607086,0.6916593458360714,0.4538047203158049,0.4252144334891356,0.0752859195571492,0.12709552498756008,0.26626074624963625,baryonic_velocity_components,4.1783199018002914,0.1664317207570777,6,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F561-1_normalized.csv,local_structural_coupling_v6,88.43099336980914,97.41372590742199,2.1068134407484624,2.15373477291456,0.48254090311852366,0.2947623741451914,0.2456189230771191,0.009480517330894733,0.020616620361054924,0.2630928536974843,baryonic_velocity_components,4.393724303156776,0.0994866422516237,6,ok,
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\CamB_normalized.csv,local_structural_coupling_v6,102.74361659795714,117.14996247539734,2.2704596407805857,2.398407368122621,0.6396412551493618,0.4120093741853604,0.3830615302250715,0.12892530610701985,0.3456649745814622,0.5169404285418484,baryonic_velocity_components,4.969999038126988,0.6498756193190771,9,ok,
UGC04305,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC04305_normalized.csv,local_structural_coupling_v6,105.51352900279726,122.94014071246092,2.3205491799883813,2.438353766807771,0.6877272127888457,0.4495399994668025,0.42435547232558374,0.0555883253346942,0.3838896561740118,0.8911549130303211,baryonic_velocity_components,5.068981398147805,0.2194709961350644,22,ok,
NGC4068,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4068_normalized.csv,local_structural_coupling_v6,87.44106899115495,96.22017216551718,2.1392249883092256,2.1878636903993645,0.5136559887768563,0.31681538632821404,0.2596418294793467,0.06516471352012465,0.26107112078977174,0.688619842579957,baryonic_velocity_components,6.224659078598882,0.27427342781805897,6,ok,
UGC09992,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC09992_normalized.csv,local_structural_coupling_v6,107.21920869575354,119.17176176651576,2.2612169501411388,2.328381576378541,0.6307682721354928,0.40444968200086445,0.3625761051961291,0.04119237881796231,0.06472261952377738,0.21861218535738902,baryonic_velocity_components,6.424708829033037,0.20159845949587146,5,ok,
UGCA281,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGCA281_normalized.csv,local_structural_coupling_v6,103.11687972558953,112.50320000107047,2.2792850616356417,2.334783164509238,0.6481136591702162,0.4176748366342888,0.37992212552843946,0.12079242728698374,0.34553225865527276,0.7034200150288298,baryonic_velocity_components,6.860704637047846,0.25589328948435586,7,ok,
